week	AlbeniFalls
1	384800
2	384800
3	384800
4	384800
5	384800
6	384800
7	384800
8	384800
9	384800
10	384800
11	384800
12	384800
13	384800
14	384800
15	384800
16	384800
17	384800
18	384800
19	384800
20	384800
21	384800
22	384800
23	384800
24	384800
25	384800
26	384800
27	384800
28	384800
29	384800
30	384800
31	384800
32	384800
33	384800
34	384800
35	384800
36	384800
37	384800
38	384800
39	384800
40	384800
41	384800
42	384800
43	384800
44	384800
45	585527
46	786254
47	986981
48	1187708
49	1275781
50	1363854
51	1451927
52	1540000
