week	AFFloodCurve
1	1539558
2	1539558
3	1539558
4	1539558
5	1539558
6	1539558
7	1539558
8	1539558
9	1539558
10	1492547
11	1445718
12	1399079
13	1352617
14	1306330
15	1183839
16	1062492
17	942435
18	942435
19	942435
20	942435
21	942435
22	942435
23	1014348
24	1086685
25	1159457
26	1232670
27	1306332
28	1306332
29	1306332
30	1306332
31	1306332
32	1214325
33	1123016
34	1032392
35	942437
36	942437
37	942437
38	942437
39	942437
40	1059508
41	1177717
42	1297094
43	1417713
44	1539558
45	1539558
46	1539558
47	1539558
48	1539558
49	1539558
50	1539558
51	1539558
52	1539558
