week	AFFloodCurve
1	1519400
2	1519400
3	1519400
4	1519400
5	1519400
6	1519400
7	1519400
8	1519400
9	1519400
10	1417340
11	1315280
12	1213220
13	1111160
14	1009100
15	930993
16	852885
17	774778
18	696670
19	696670
20	696670
21	696670
22	696670
23	732140
24	767610
25	803080
26	838550
27	874020
28	874020
29	874020
30	874020
31	874020
32	829683
33	785345
34	741008
35	696670
36	729850
37	763030
38	796210
39	829390
40	883532
41	937674
42	991816
43	1045960
44	1100100
45	1146200
46	1192300
47	1238400
48	1284500
49	1343230
50	1401950
51	1460680
52	1519400
