week	Max	Min
1	1540000	1493700
2	1540000	1493700
3	1540000	1493700
4	1540000	1493700
5	1540000	1493700
6	1540000	1447400
7	1540000	1401100
8	1540000	1354800
9	1540000	1308500
10	1493700	1199300
11	1447400	1090100
12	1401100	980900
13	1354800	871700
14	1308500	762500
15	1185067	674667
16	1061633	586833
17	938200	499000
18	938200	499000
19	938200	499000
20	938200	499000
21	938200	499000
22	938200	499000
23	1012260	499000
24	1086320	499000
25	1160380	499000
26	1234440	499000
27	1308500	499000
28	1308500	499000
29	1308500	499000
30	1308500	499000
31	1308500	499000
32	1215925	499000
33	1123350	499000
34	1030775	499000
35	938200	499000
36	938200	564875
37	938200	630750
38	938200	696625
39	938200	762500
40	1058560	762500
41	1178920	762500
42	1299280	762500
43	1419640	762500
44	1540000	762500
45	1540000	762500
46	1540000	762500
47	1540000	762500
48	1540000	762500
49	1540000	945300
50	1540000	1128100
51	1540000	1310900
52	1540000	1493700
