week	CRC1	CRC2	CRC3	CRC4
1	1540000	1540000	1540000	1539973
2	1540000	1540000	1540000	1539973
3	1540000	1540000	1540000	1539973
4	1540000	1540000	1540000	1539973
5	1540000	1540000	1540000	1539973
6	1482126	1482126	1482126	1482105
7	1424251	1424251	1424251	1424238
8	1366377	1366377	1366377	1366370
9	1308502	1308502	1308502	1308502
10	1199292	1199292	1199292	1199292
11	1090082	1090082	1090082	1090082
12	980873	980873	980873	980873
13	871663	871663	871663	871663
14	762453	762453	762453	762453
15	696602	696602	696602	696602
16	630751	630751	630751	630751
17	564899	564899	564899	564899
18	499048	499048	499048	499048
19	499048	499048	499048	499048
20	499048	499048	499048	499048
21	499048	499048	499048	499048
22	499048	499048	499048	499048
23	499048	499048	499048	499048
24	499048	499048	499048	499048
25	499048	499048	499048	499048
26	499048	499048	499048	499048
27	499048	499048	499048	499048
28	499048	499048	499048	470486
29	499048	499048	499048	441924
30	499048	499048	499048	413362
31	499048	499048	499048	384800
32	499048	499048	499048	0
33	499048	499048	499048	0
34	499048	499048	499048	0
35	499048	499048	499048	0
36	499048	499048	499048	0
37	499048	499048	499048	0
38	630751	630751	630751	0
39	762453	762453	762453	0
40	797600	797600	797600	0
41	832747	832747	832747	0
42	867894	867894	867894	0
43	903041	903041	903041	0
44	938188	938188	938188	0
45	1088641	1088641	1088641	0
46	1239094	1239094	1239094	0
47	1389547	1389547	1389547	0
48	1540000	1540000	1540000	0
49	1540000	1540000	1540000	0
50	1540000	1540000	1540000	0
51	1540000	1540000	1540000	0
52	1540000	1540000	1540000	0
