Elevation	Volume 
2049.7	384800 
2049.8	393600 
2049.9	402400 
2050	411200 
2050.1	419900 
2050.2	428700 
2050.3	437500 
2050.4	446300 
2050.5	455100 
2050.6	463900 
2050.7	472600 
2050.8	481400 
2050.9	490200 
2051	499000 
2051.1	507800 
2051.2	516600 
2051.3	525400 
2051.4	534100 
2051.5	542900 
2051.6	551700 
2051.7	560500 
2051.8	569300 
2051.9	578000 
2052	586800 
2052.1	595600 
2052.2	604400 
2052.3	613200 
2052.4	622000 
2052.5	630800 
2052.6	639600 
2052.7	648300 
2052.8	657100 
2052.9	665900 
2053	674700 
2053.1	683500 
2053.2	692200 
2053.3	701000 
2053.4	709800 
2053.5	718600 
2053.6	727400 
2053.7	736200 
2053.8	745000 
2053.9	753700 
2054	762500 
2054.1	771300 
2054.2	780100 
2054.3	788900 
2054.4	797600 
2054.5	806400 
2054.6	815200 
2054.7	824000 
2054.8	832800 
2054.9	841600 
2055	850400 
2055.1	859200 
2055.2	867900 
2055.3	876700 
2055.4	885500 
2055.5	894300 
2055.6	903100 
2055.7	911800 
2055.8	920600 
2055.9	929400 
2056	938200 
2056.1	947500 
2056.2	956700 
2056.3	966000 
2056.4	975200 
2056.5	984500 
2056.6	993800 
2056.7	1003000 
2056.8	1012300 
2056.9	1021500 
2057	1030800 
2057.1	1040100 
2057.2	1049300 
2057.3	1058600 
2057.4	1067800 
2057.5	1077100 
2057.6	1086300 
2057.7	1095600 
2057.8	1104900 
2057.9	1114100 
2058	1123400 
2058.1	1132600 
2058.2	1141900 
2058.3	1151100 
2058.4	1160400 
2058.5	1169700 
2058.6	1178900 
2058.7	1188200 
2058.8	1197400 
2058.9	1206700 
2059	1216000 
2059.1	1225200 
2059.2	1234500 
2059.3	1243700 
2059.4	1253000 
2059.5	1262200 
2059.6	1271500 
2059.7	1280800 
2059.8	1290000 
2059.9	1299300 
2060	1308500 
2060.1	1317800 
2060.2	1327100 
2060.3	1336300 
2060.4	1345600 
2060.5	1354800 
2060.6	1364100 
2060.7	1373300 
2060.8	1382600 
2060.9	1391900 
2061	1401100 
2061.1	1410400 
2061.2	1419600 
2061.3	1428900 
2061.4	1438100 
2061.5	1447400 
2061.6	1456700 
2061.7	1465900 
2061.8	1475200 
2061.9	1484400 
2062	1493700 
2062.1	1503000 
2062.2	1512200 
2062.3	1521500 
2062.4	1530700 
2062.5	1540000 
