week	AR1931Refill
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1371573.397
20	1371573.397
21	1371573.397
22	1371573.397
23	2942486.094
24	2942486.094
25	2942486.094
26	2942486.094
27	2942486.094
28	3084899.644
29	3084899.644
30	3084899.644
31	3084899.644
32	3246552.908
33	3246552.908
34	3246552.908
35	3246552.908
36	3406619.391
37	3406619.391
38	3741430.077
39	3741430.077
40	6140840.544
41	6140840.544
42	6140840.544
43	6140840.544
44	6140840.544
45	7100049.357
46	7100049.357
47	7100049.357
48	7100049.357
49	7100049.357
50	7100049.357
51	7100049.357
52	7100049.357
