week	AR1931Refill
1	227300
2	227300
3	227300
4	227300
5	227300
6	227300
7	227300
8	227300
9	227300
10	227300
11	227300
12	227300
13	227300
14	227300
15	227300
16	227300
17	227300
18	227300
19	594639
20	961977
21	1329316
22	1696654
23	1998419
24	2300184
25	2601949
26	2903714
27	3205479
28	3246041
29	3286603
30	3327165
31	3367727
32	3394851
33	3421975
34	3449099
35	3476223
36	3556256
37	3636289
38	3618686
39	3601082
40	4017889
41	4434695
42	4851501
43	5268307
44	5685114
45	6059766
46	6434419
47	6809071
48	7183724
49	7219618
50	7255512
51	7291406
52	7327300
