week	AR1931Refill
1	241383
2	241383
3	241383
4	313878
5	386374
6	462292
7	538209
8	614126
9	690043
10	715868
11	741693
12	767518
13	793343
14	819167
15	902027
16	984886
17	1067746
18	1150605
19	1381630
20	1612654
21	1843679
22	2074703
23	2269480
24	2464257
25	2659034
26	2853810
27	3048587
28	3100405
29	3152223
30	3204041
31	3255859
32	3277380
33	3298901
34	3320421
35	3341942
36	3367132
37	3392322
38	3395595
39	3398868
40	3806074
41	4213280
42	4620486
43	5027693
44	5434899
45	5820287
46	6205675
47	6591063
48	6976451
49	7064164
50	7151876
51	7239588
52	7327300

