time	ARActualRFCurve
1	3832300
2	5051600
3	5653400
4	5932800
5	6043000
6	6136900
7	6158200
8	6327300
9	7327300
10	7327300
11	7327300
12	7327300
13	227340
14	227340
15	1344800
16	2065300
17	2457800
18	2658400
19	2855100
20	3427300
21	7327300
22	7327300
23	7327300
24	7327300
25	227340
26	682530
27	1653000
28	2354600
29	2841400
30	3132800
31	3243700
32	3427300
33	7327300
34	7327300
35	7327300
36	7327300
37	227340
38	227340
39	532740
40	1662300
41	2225200
42	2668000
43	2911100
44	3427300
45	7327300
46	7327300
47	7327300
48	7327300
49	227340
50	227340
51	1027900
52	2031400
53	2499900
54	2810000
55	3147900
56	3427300
57	7327300
58	7327300
59	7327300
60	7327300
61	481360
62	1686700
63	2596200
64	2952300
65	3185900
66	3318300
67	3307500
68	3427300
69	7327300
70	7327300
71	7327300
72	7327300
73	4097400
74	4914700
75	5702200
76	5924800
77	6022100
78	6017100
79	5994000
80	6027300
81	7327300
82	7327300
83	7327300
84	7327300
85	227340
86	496530
87	1592000
88	2456600
89	2823900
90	3073500
91	3169100
92	3427300
93	7327300
94	7327300
95	7327300
96	7327300
97	227340
98	1408200
99	2385700
100	2789600
101	3004700
102	3214600
103	3255400
104	3427300
105	7327300
106	7327300
107	7327300
108	7327300
109	450830
110	1300200
111	2537700
112	3256200
113	3913200
114	4165400
115	4332700
116	4727300
117	7327300
118	7327300
119	7327300
120	7327300
121	1417100
122	2980400
123	4771000
124	5313500
125	5623500
126	5819500
127	5925500
128	6327300
129	7327300
130	7327300
131	7327300
132	7327300
133	227340
134	227340
135	1608000
136	2410500
137	3012000
138	3222200
139	3317800
140	3427300
141	7327300
142	7327300
143	7327300
144	7327300
145	1355800
146	1900100
147	2756600
148	3056000
149	3251800
150	3318200
151	3357500
152	3427300
153	7327300
154	7327300
155	7327300
156	7327300
157	4340100
158	4805400
159	5689000
160	5980100
161	6153100
162	6269200
163	6281200
164	6327300
165	7327300
166	7327300
167	7327300
168	7327300
169	227340
170	886340
171	2061900
172	2756100
173	2988500
174	3180600
175	3271500
176	3427300
177	7327300
178	7327300
179	7327300
180	7327300
181	1422600
182	1951000
183	2594400
184	2922900
185	3081400
186	3204400
187	3254200
188	3427300
189	7327300
190	7327300
191	7327300
192	7327300
193	1104300
194	1948600
195	2509000
196	2725600
197	2937000
198	3066100
199	3177400
200	3427300
201	7327300
202	7327300
203	7327300
204	7327300
205	227340
206	227340
207	862170
208	1568700
209	1888900
210	2066300
211	2135700
212	2227300
213	7327300
214	7327300
215	7327300
216	7327300
217	227340
218	1176600
219	2310100
220	2873200
221	3099100
222	3210800
223	3296200
224	3427300
225	7327300
226	7327300
227	7327300
228	7327300
229	227340
230	230870
231	890580
232	1467800
233	1875100
234	1977300
235	2061400
236	2227300
237	7327300
238	7327300
239	7327300
240	7327300
241	227340
242	737300
243	1705800
244	2338700
245	2833700
246	3128400
247	3297000
248	3427300
249	7327300
250	7327300
251	7327300
252	7327300
253	1074000
254	1537300
255	2548800
256	2930100
257	3135400
258	3259700
259	3335200
260	3427300
261	7327300
262	7327300
263	7327300
264	7327300
265	1265000
266	1830400
267	2646900
268	2887900
269	3034500
270	3189200
271	3295400
272	3427300
273	7327300
274	7327300
275	7327300
276	7327300
277	227340
278	227340
279	1289100
280	2245600
281	2723100
282	2970800
283	3193900
284	3427300
285	7327300
286	7327300
287	7327300
288	7327300
289	227340
290	227340
291	969240
292	2116800
293	2747200
294	3084900
295	3268700
296	3427300
297	7327300
298	7327300
299	7327300
300	7327300
301	227340
302	227340
303	797980
304	1441000
305	1756400
306	1990400
307	2063100
308	2227300
309	7327300
310	7327300
311	7327300
312	7327300
313	227340
314	1027000
315	2161500
316	2675200
317	2992600
318	3163100
319	3263400
320	3427300
321	7327300
322	7327300
323	7327300
324	7327300
325	245310
326	995660
327	1882200
328	2363100
329	2660500
330	2882800
331	3084500
332	3427300
333	7327300
334	7327300
335	7327300
336	7327300
337	227340
338	288520
339	1723000
340	2329100
341	2729400
342	3041700
343	3187900
344	3427300
345	7327300
346	7327300
347	7327300
348	7327300
349	227340
350	227340
351	962150
352	1952700
353	2515800
354	2824100
355	3057300
356	3427300
357	7327300
358	7327300
359	7327300
360	7327300
361	227340
362	227340
363	1395700
364	2220200
365	2590100
366	2878300
367	3131000
368	3427300
369	7327300
370	7327300
371	7327300
372	7327300
373	263830
374	956180
375	2198700
376	2681300
377	2930500
378	3083800
379	3274900
380	3427300
381	7327300
382	7327300
383	7327300
384	7327300
385	227340
386	227340
387	1005100
388	1894700
389	2431400
390	2721200
391	3064200
392	3427300
393	7327300
394	7327300
395	7327300
396	7327300
397	227340
398	945000
399	2035500
400	2613300
401	2949300
402	3189500
403	3292600
404	3427300
405	7327300
406	7327300
407	7327300
408	7327300
409	227340
410	227340
411	1470100
412	2400700
413	2768400
414	3057600
415	3226400
416	3427300
417	7327300
418	7327300
419	7327300
420	7327300
421	227340
422	233730
423	1392200
424	2350800
425	2764900
426	3042500
427	3195300
428	3427300
429	7327300
430	7327300
431	7327300
432	7327300
433	227340
434	348430
435	1554900
436	2198500
437	2671900
438	2996200
439	3211600
440	3427300
441	7327300
442	7327300
443	7327300
444	7327300
445	227340
446	227340
447	1180300
448	1961800
449	2291500
450	2609100
451	2878200
452	3427300
453	7327300
454	7327300
455	7327300
456	7327300
457	227340
458	432040
459	1690600
460	2454100
461	2829400
462	3100500
463	3229300
464	3427300
465	7327300
466	7327300
467	7327300
468	7327300
469	227340
470	245990
471	1515500
472	2392000
473	2887900
474	3189900
475	3297700
476	3427300
477	7327300
478	7327300
479	7327300
480	7327300
481	227340
482	227340
483	904810
484	1327800
485	1583800
486	1788700
487	2052200
488	2227300
489	7327300
490	7327300
491	7327300
492	7327300
493	227340
494	227340
495	278760
496	945320
497	1395900
498	1670200
499	1771900
500	2227300
501	7327300
502	7327300
503	7327300
504	7327300
505	2842300
506	3716700
507	4628200
508	5168100
509	5500300
510	5860400
511	6010500
512	6327300
513	7327300
514	7327300
515	7327300
516	7327300
517	227340
518	227340
519	227340
520	970630
521	1394300
522	1725000
523	1950700
524	2227300
525	7327300
526	7327300
527	7327300
528	7327300
529	227340
530	980830
531	1841300
532	2264800
533	2735800
534	3077200
535	3306700
536	3427300
537	7327300
538	7327300
539	7327300
540	7327300
541	227340
542	227340
543	227340
544	312790
545	1101300
546	1596700
547	1845800
548	2227300
549	7327300
550	7327300
551	7327300
552	7327300
553	227340
554	2950900
555	4231400
556	4903000
