week	ARCriticalCurve
1	7100049.357
2	7100049.357
3	7099652.662
4	7099652.662
5	7099652.662
6	6590692.816
7	6590692.816
8	6590692.816
9	6590692.816
10	6015683.232
11	6015683.232
12	6015683.232
13	6015683.232
14	6015683.232
15	5495814.27
16	5495814.27
17	5495814.27
18	5495814.27
19	4938259.271
20	4938259.271
21	4938259.271
22	4938259.271
23	3039874.747
24	3039874.747
25	3039874.747
26	3039874.747
27	3039874.747
28	1848797.633
29	1848797.633
30	1848797.633
31	1848797.633
32	1188498.596
33	1188498.596
34	1188498.596
35	1188498.596
36	1360069.238
37	1360069.238
38	1466185.184
39	1466185.184
40	3305263.786
41	3305263.786
42	3305263.786
43	3305263.786
44	3305263.786
45	6354262.521
46	6354262.521
47	6354262.521
48	6354262.521
49	7047090.558
50	7047090.558
51	7047090.558
52	7047090.558
