week	CRC1	CRC2	CRC3	CRC4
1	7116541	6618105	4892354	3857247
2	7221921	6869080	5777907	3857247
3	7327300	7120055	6663460	3857247
4	7321562	7106964	6676154	3818272
5	7315823	7093873	6688848	3779297
6	7239906	6939162	6601278	3710372
7	7163989	6784452	6513708	3641446
8	7088071	6629741	6426138	3572521
9	7012154	6475030	6338568	3503595
10	6937496	6364868	6222218	3356977
11	6862838	6254706	6105867	3210359
12	6788181	6144545	5989517	3063741
13	6713523	6034383	5873166	2917123
14	6638865	5924221	5756816	2770505
15	6520799	5600668	5494106	2587728
16	6402733	5277114	5231395	2404952
17	6284667	4953561	4968685	2222175
18	6166601	4630007	4705974	2039398
19	5954816	4329214	4328173	1764935
20	5743031	4028421	3950372	1490473
21	5531246	3727628	3572570	1216010
22	5319461	3426835	3194769	941547
23	4916142	3061996	2866267	842889
24	4512824	2697156	2537765	744231
25	4109505	2332317	2209262	645574
26	3706187	1967477	1880760	546916
27	3302868	1602638	1552258	448258
28	2993348	1452539	1339134	393019
29	2683827	1302440	1126010	337779
30	2374307	1152341	912886	282540
31	2064786	1002242	699762	227300
32	2002555	946358	674523	0
33	1940324	890474	649283	0
34	1878092	834589	624044	0
35	1815861	778705	598804	0
36	1526572	689945	506672	0
37	1237283	601184	414540	0
38	1151101	729316	353747	0
39	1064919	857448	292953	0
40	1393540	1153421	528589	0
41	1722161	1449395	764225	0
42	2050783	1745368	999862	0
43	2379404	2041342	1235498	0
44	2708025	2337315	1471134	0
45	3484653	2927844	1970770	0
46	4261280	3518372	2470406	0
47	5037908	4108901	2970041	0
48	5814535	4699429	3469677	0
49	6113692	5116354	3603958	0
50	6412849	5533280	3738239	0
51	6712005	5950205	3872520	0
52	7011162	6367130	4006801	0
