week	ARFlood1	ARFlood2	ARFlood3	ARFlood4	ARFlood5	ARFlood6
1	7327300	7327300	7327300	7327300	7327300	7327300
2	7327300	7327300	7327300	7327300	7327300	7327300
3	7327300	7327300	7327300	7327300	7327300	7327300
4	7327300	7327300	7327300	7327300	7327300	7327300
5	7327300	7327300	7327300	7327300	7327300	7327300
6	7327300	7327300	7327300	7327300	7327300	7327300
7	7327300	7327300	7327300	7327300	7327300	7327300
8	7327300	7327300	7327300	7327300	7327300	7327300
9	7327300	7327300	7327300	7327300	7327300	7327300
10	7277300	7277300	7277300	7277300	7277300	7277300
11	7227300	7227300	7227300	7227300	7227300	7227300
12	7177300	7177300	7177300	7177300	7177300	7177300
13	7127300	7127300	7127300	7127300	7127300	7127300
14	7077300	7077300	7077300	7077300	7077300	7077300
15	7099800	7077300	7077300	7077300	7077300	7077300
16	7122300	7077300	7077300	7077300	7077300	7077300
17	7144800	7077300	7077300	7077300	7077300	7077300
18	7167300	7077300	7077300	7077300	7077300	7077300
19	7052300	6962300	6962300	6962300	6962300	6962300
20	6937300	6847300	6847300	6847300	6847300	6847300
21	6822300	6732300	6732300	6732300	6732300	6732300
22	6707300	6617300	6617300	6617300	6617300	6617300
23	6707300	6603300	6541970	6481300	6481300	6481300
24	6707300	6589300	6466630	6345300	6345300	6345300
25	6707300	6575300	6391300	6209300	6209300	6209300
26	6707300	6561300	6315970	6073300	6073300	6073300
27	6707300	6547300	6240630	5937300	5937300	5937300
28	6707300	6529800	6146470	5767300	5767300	5767300
29	6707300	6512300	6052300	5597300	5597300	5597300
30	6707300	6494800	5958130	5427300	5427300	5427300
31	6707300	6477300	5863970	5257300	5257300	5257300
32	6707300	6459800	5769800	5087300	5087300	5087300
33	6707300	6442300	5675630	4917300	4917300	4917300
34	6707300	6424800	5581470	4747300	4747300	4747300
35	6707300	6407300	5487300	4577300	4577300	4577300
36	6684800	6407300	5487300	4577300	4577300	4577300
37	6662300	6407300	5487300	4577300	4577300	4577300
38	6639800	6407300	5487300	4577300	4577300	4577300
39	6617300	6407300	5487300	4577300	4577300	4577300
40	6617300	6407300	5487300	4577300	4577300	4577300
41	6617300	6407300	5487300	4577300	4577300	4577300
42	6617300	6407300	5487300	4577300	4577300	4577300
43	6617300	6407300	5487300	4577300	4577300	4577300
44	6617300	6407300	5487300	4577300	4577300	4577300
45	6617300	6407300	5487300	4577300	4577300	4577300
46	6617300	6407300	5487300	4577300	4577300	4577300
47	6617300	6407300	5487300	4577300	4577300	4577300
48	6617300	6407300	5487300	4577300	4577300	4577300
49	6794800	6637300	5947300	5264800	5264800	5264800
50	6972300	6867300	6407300	5952300	5952300	5952300
51	7149800	7097300	6867300	6639800	6639800	6639800
52	7327300	7327300	7327300	7327300	7327300	7327300
