week	ARFlood_1May
1	7327000
2	7327000
3	7327000
4	7327000
5	7327000
6	7327000
7	7327000
8	7327000
9	7327000
10	7277000
11	7227000
12	7177000
13	7127000
14	7077000
15	7077000
16	7077000
17	7077000
18	7077000
19	6962000
20	6847000
21	6732000
22	6617000
23	6617000
24	6617000
25	6617000
26	6617000
27	6617000
28	6617000
29	6617000
30	6617000
31	6617000
32	6617000
33	6617000
34	6617000
35	6617000
36	6617000
37	6617000
38	6617000
39	6617000
40	6617000
41	6617000
42	6617000
43	6617000
44	6617000
45	6794500
46	6972000
47	7149500
48	7327000
49	7327000
50	7327000
51	7327000
52	7327000
