week	ARFlood1_2	ARFlood2_2	ARFlood3_2	ARFlood4_2	ARFlood5_2	ARFlood6_2
1	7327300	7327300	7327300	7327300	7327300	7327300
2	7327300	7327300	7327300	7327300	7327300	7327300
3	7327300	7327300	7327300	7327300	7327300	7327300
4	7327300	7327300	7327300	7327300	7327300	7327300
5	7327300	7327300	7327300	7327300	7327300	7327300
6	7327300	7327300	7327300	7327300	7327300	7327300
7	7327300	7327300	7327300	7327300	7327300	7327300
8	7327300	7327300	7327300	7327300	7327300	7327300
9	7327300	7327300	7327300	7327300	7327300	7327300
10	7277300	7277300	7277300	7277300	7277300	7277300
11	7227300	7227300	7227300	7227300	7227300	7227300
12	7177300	7177300	7177300	7177300	7177300	7177300
13	7127300	7127300	7127300	7127300	7127300	7127300
14	7077300	7077300	7077300	7077300	7077300	7077300
15	7099800	7077300	7077300	7077300	7077300	7077300
16	7122300	7077300	7077300	7077300	7077300	7077300
17	7144800	7077300	7077300	7077300	7077300	7077300
18	7167300	7077300	7077300	7077300	7077300	7077300
19	7052300	6962300	6962300	6962300	6962300	6889800
20	6937300	6847300	6847300	6847300	6847300	6702300
21	6822300	6732300	6732300	6732300	6732300	6514800
22	6707300	6617300	6617300	6617300	6617300	6327300
23	6707300	6603300	6541970	6481300	6424630	6053970
24	6707300	6589300	6466630	6345300	6231970	5780630
25	6707300	6575300	6391300	6209300	6039300	5507300
26	6707300	6561300	6315970	6073300	5846630	5233970
27	6707300	6547300	6240630	5937300	5653970	4960630
28	6707300	6529800	6146470	5767300	5413130	4202300
29	6707300	6512300	6052300	5597300	5172300	3443970
30	6707300	6494800	5958130	5427300	4931470	2685630
31	6707300	6477300	5863970	5257300	4690630	1927300
32	6707300	6459800	5769800	5087300	4449800	1502300
33	6707300	6442300	5675630	4917300	4208970	1077300
34	6707300	6424800	5581470	4747300	3968130	652300
35	6707300	6407300	5487300	4577300	3727300	227300
36	6684800	6407300	5487300	4577300	3727300	227300
37	6662300	6407300	5487300	4577300	3727300	227300
38	6639800	6407300	5487300	4577300	3727300	227300
39	6617300	6407300	5487300	4577300	3727300	227300
40	6617300	6407300	5487300	4577300	3727300	227300
41	6617300	6407300	5487300	4577300	3727300	227300
42	6617300	6407300	5487300	4577300	3727300	227300
43	6617300	6407300	5487300	4577300	3727300	227300
44	6617300	6407300	5487300	4577300	3727300	227300
45	6617300	6407300	5487300	4577300	3727300	227300
46	6617300	6407300	5487300	4577300	3727300	227300
47	6617300	6407300	5487300	4577300	3727300	227300
48	6617300	6407300	5487300	4577300	3727300	227300
49	6794800	6637300	5947300	5264800	4627300	2002300
50	6972300	6867300	6407300	5952300	5527300	3777300
51	7149800	7097300	6867300	6639800	6427300	5552300
52	7327300	7327300	7327300	7327300	7327300	7327300
