week	ARHistStor
1	7323986
2	7077961
3	6459813
4	6278545
5	5310992
6	4965904
7	3545044
8	3979719
9	4747611
10	6327300
11	4732696
12	7111528
13	7210434
14	6822911
15	6075481
16	5757344
17	5488231
18	4246364
19	2852801
20	1350965
21	2994004
22	4727300
23	3177751
24	5682641
25	7327300
26	7032186
27	6339641
28	6076446
29	5461516
30	4710047
31	2815397
32	2477944
33	3389325
34	6218040
35	4502791
36	6796760
37	7327300
38	7051195
39	6247509
40	6167166
41	5468929
42	3559833
43	829134
44	1006263
45	2227300
46	2227300
47	227340
48	3180924
49	7251452
50	6918347
51	6322615
52	6325808
53	5529977
54	4384270
55	2602382
56	2227300
57	2227300
58	2188608
59	5956777
60	7327300
61	7327300
62	7232860
63	7041694
64	7077300
65	6327300
66	4960633
67	3593967
68	2227300
69	2227300
70	227340
71	227340
72	4953952
73	7264231
74	6839689
75	6366226
76	6483095
77	5593478
78	4446457
79	3593967
80	2227300
81	2227300
82	2227300
83	227340
84	4695802
85	7327300
86	7117393
87	6403041
88	6230999
89	5308449
90	3648411
91	1530213
92	870996
93	2227300
94	2035213
95	227340
96	2749201
97	6221005
98	6887309
99	6279433
100	5951871
101	5491228
102	4678718
103	2966982
104	2820013
105	3123872
106	5228024
107	5656133
108	7327300
109	7035969
110	6692617
111	6056229
112	6178950
113	5150595
114	3912618
115	2320214
116	2227300
117	2227300
118	2227300
119	227340
120	2815512
121	5103577
122	6664965
123	6207508
124	6002199
125	5553936
126	4807677
127	3254201
128	3794341
129	4473311
130	5525181
131	4093182
132	6524551
133	7327300
134	6943078
135	6381534
136	6191813
137	5197293
138	3856460
139	2318871
140	3089471
141	3427300
142	3427300
143	1240823
144	3816388
145	6914699
146	6864598
147	6469871
148	6238560
149	5276691
150	4880205
151	3549357
152	3941194
153	5208681
154	6197992
155	4525360
156	6433049
157	7264337
158	7117427
159	6922192
160	6666083
161	6153826
162	4960633
163	3593967
164	2227300
165	2227300
166	1970357
167	364042
168	2861554
169	6389864
170	6833811
171	6342849
172	6177141
173	5363959
174	3958122
175	2550248
176	2227300
177	2227300
178	2227300
179	1285785
180	4038451
181	6493286
182	6870014
183	6459096
184	6208578
185	5120603
186	4556085
187	2991344
188	2896517
189	3754870
190	5976481
191	5280673
192	6803867
193	6830426
194	6595459
195	6037709
196	5843873
197	5277989
198	4222045
199	1777653
200	1392143
201	1863492
202	4457806
203	4727300
204	6704674
205	6867390
206	6566624
207	5996034
208	5698021
209	5173579
210	3185340
211	1419825
212	2021080
213	2227300
214	2227300
215	564093
216	3320702
217	6155133
218	6888093
219	6431275
220	6297223
221	6091849
222	4960633
223	3593967
224	2227300
225	2227300
226	1087312
227	227340
228	4562380
229	7245096
230	7041759
231	7077300
232	7077300
233	6327300
234	4960633
235	3593967
236	2227300
237	2227300
238	1295694
239	5684303
240	7327300
241	7327300
242	7207193
243	6718179
244	6461777
245	5582865
246	3858496
247	2230206
248	2227300
249	2227300
250	3044041
251	621865
252	2832896
253	4291075
254	4868125
255	4881583
256	4955042
257	4835373
258	3773925
259	3593967
260	2227300
261	2227300
262	2227300
263	6654021
264	7327300
265	7327300
266	7192569
267	6975926
268	7077300
269	6327300
270	4960633
271	3593967
272	2227300
273	2227300
274	1383341
275	227340
276	4234561
277	7188409
278	7119116
279	7077300
280	6863714
281	6016378
282	4861910
283	3593967
284	2227300
285	2227300
286	1430119
287	227340
288	3340219
289	6589495
290	6835726
291	6236888
292	5996031
293	5529072
294	3968359
295	3593967
296	2227300
297	2227300
298	2227300
299	3168012
300	5942861
301	7327300
302	7091086
303	6576681
304	6405018
305	5780503
306	4712174
307	3593967
308	2227300
309	2227300
310	2044642
311	982843
312	7327300
313	7327300
314	7327300
315	6946944
316	6870355
317	6079979
318	5360633
319	4393967
320	3427300
321	3427300
322	3427300
323	5178958
324	7327300
325	7327300
326	7119064
327	6836477
328	7075734
329	6327300
330	4960633
331	3593967
332	2227300
333	2227300
334	1366456
335	1984006
336	4814118
337	7327300
338	7101827
339	6722942
340	6423624
341	5690482
342	4306110
343	3508103
344	2227300
345	2227300
346	3394039
347	337632
348	3767373
349	6215993
350	6834209
351	6230845
352	6102033
353	5220838
354	3751139
355	3560859
356	2227300
357	2227300
358	2227300
359	227340
360	2627559
361	5829671
362	6837700
363	6193857
364	6381670
365	5854822
366	4960633
367	3593967
368	2227300
369	2227300
370	2003370
371	3984101
372	7327300
373	7327300
374	7327300
375	7077300
376	7077300
377	6327300
378	4960633
379	3593967
380	2227300
381	2227300
382	2227300
383	560083
384	4512691
385	7327300
386	7157373
387	6667923
388	6517314
389	5626447
390	4518091
391	3593967
392	2227300
393	2227300
394	1461963
395	4261883
396	7327300
397	7327300
398	7002594
399	6559275
400	6315735
401	5457996
402	4212209
403	3514688
404	2227300
405	2227300
406	2027570
407	227340
408	3431907
409	7303281
410	7022271
411	6734711
412	6674800
413	6262590
414	4960633
415	3593967
416	2227300
417	2227300
418	1949692
419	227340
420	3592408
421	7327300
422	7175437
423	6610967
424	6381190
425	5530377
426	4344375
427	3132607
428	2227300
429	2227300
430	2227300
431	7053824
432	7327300
433	7327300
434	7243535
435	7077300
436	6834807
437	6327300
438	4960633
439	3593967
440	2227300
441	2227300
442	2052627
443	3104544
444	6453246
445	7327300
446	7133694
447	6826390
448	6588554
449	5662765
450	4571232
451	3593967
452	2227300
453	2227300
454	1440290
455	227340
456	5101290
457	7327300
458	7130374
459	6562748
460	6338592
461	5719607
462	4960633
463	3593967
464	2227300
465	2227300
466	2227300
467	7101395
468	7327300
469	7327300
470	7229998
471	6828124
472	6630917
473	5754969
474	4639118
475	3593967
476	2227300
477	2227300
478	2219722
479	227340
480	5501855
481	7327300
482	7327300
483	7077300
484	7077300
485	6327300
486	4960633
487	3593967
488	2227300
489	2227300
490	1419133
491	1044213
492	3492071
493	6320562
494	6896842
495	6455172
496	6301688
497	5374674
498	4078454
499	3123576
500	2227300
501	2227300
502	2227300
503	3547838
504	5602020
505	7266500
506	6900829
507	6431206
508	6283584
509	5301628
510	4834436
511	3593967
512	2227300
513	2227300
514	1948458
515	4907288
516	7327300
517	7327300
518	7186422
519	6680770
520	6417463
521	5534324
522	4890401
523	3593967
524	2227300
525	2227300
526	1277349
527	6458221
528	7327300
529	7327300
530	7224684
531	6842864
532	6479353
533	5680435
534	5010060
535	3562910
536	3816043
537	3680029
538	6327300
539	4925440
540	7327300
541	7132943
542	6836523
543	6224240
544	6365409
545	6023566
546	4960633
547	3593967
548	2227300
549	2227300
550	2227300
551	6825809
552	7327300
553	7327300
554	7198803
555	6577240
556	6268703
557	5363473
558	4132717
559	2936211
560	2227300
561	2227300
562	2227300
563	5406987
564	7327300
565	7327300
566	7176204
567	6968114
568	7077300
569	6327300
570	4960633
571	3593967
572	2227300
573	2227300
574	1277317
575	227340
576	5753033
577	7327300
578	7327300
579	6932213
580	6443788
581	5461119
582	5026278
583	3639468
584	3353305
585	3635413
586	6241153
587	4515176
588	6599796
589	6941500
590	6618373
591	6009789
592	5865233
593	5511820
594	3841629
595	1895211
596	2227300
597	2227300
598	2227300
599	1633350
600	4721208
601	6831869
602	7327300
603	7014425
604	6633736
605	5637005
606	3955400
607	2206118
608	2227300
609	2227300
610	2227300
611	490255
612	2936933
613	5081084
614	6199242
615	6134052
616	5919088
617	5370233
618	3988221
619	1907953
620	2014573
621	2227300
622	1472180
623	227340
624	2399029
625	4108887
626	5015789
627	5442483
628	5632602
629	5677693
630	4960633
631	3593967
632	2227300
633	2227300
634	1233130
635	769362
636	4614034
637	7327300
638	7168249
639	6719811
640	6600422
641	5839011
642	4885519
643	3593967
644	2227300
645	2227300
646	2227300
647	5050559
648	7327300
649	7327300
650	7327300
651	6993721
652	6675006
653	5872425
654	4952026
655	3593967
656	2227300
657	2227300
658	1866363
659	227340
660	3768700
661	7327300
662	7163844
663	6626069
664	6852897
665	5919585
666	4910221
667	3593967
668	2227300
669	2227300
670	2227300
671	1770856
672	4989823
673	7327300
674	7158195
675	6648499
676	6403765
677	5478825
678	3810251
679	1917303
680	1923250
681	2227300
682	2227300
683	687153
684	2913885
685	4057589
686	4638404
687	5071591
688	5631696
689	5103454
690	4017433
691	3593967
692	2227300
693	2227300
694	2227300
695	227340
696	3365565
697	6410777
698	6767299
699	6205763
700	6065203
701	5124799
702	3518371
703	1779989
704	2227300
705	2227300
706	2227300
707	227340
708	2475451
709	4047135
710	4663697
711	4607833
712	4490024
713	4273079
714	3463671
715	1701743
716	1102898
717	1532765
718	4516504
719	3613714
720	6072253
721	6804725
722	6535579
723	5888863
724	5833515
725	5085641
726	3128186
727	1127145
728	745305
729	1987080
730	2227300
731	1973009
732	4175700
733	5478312
734	5898917
735	5734200
736	6060103
737	5448703
738	4911859
739	3593967
740	2227300
741	2227300
742	2227300
743	706629
744	4476817
745	7327300
746	7021289
747	6448640
748	7077300
749	6286109
750	4960633
751	3593967
752	2227300
753	2227300
754	1320205
755	227340
756	5357012
757	7327300
758	7074334
759	6314837
760	6108596
761	5167521
762	4497195
763	2998314
764	3401525
765	4696930
766	6327300
767	3841103
768	5752939
769	6996087
770	6705475
