Elevation	Volume
1377	227300
1377.1	227300
1377.2	227300
1377.3	227300
1377.4	227300
1377.5	227300
1377.6	227300
1377.7	227300
1377.8	227300
1377.9	227300
1378	235700
1378.1	244100
1378.2	252500
1378.3	260900
1378.4	269300
1378.5	277700
1378.6	286100
1378.7	294500
1378.8	302900
1378.9	311300
1379	319700
1379.1	328100
1379.2	336500
1379.3	344900
1379.4	353200
1379.5	361600
1379.6	370000
1379.7	378400
1379.8	386800
1379.9	395200
1380	403600
1380.1	412000
1380.2	420400
1380.3	428800
1380.4	437200
1380.5	445600
1380.6	454000
1380.7	462400
1380.8	470800
1380.9	479200
1381	487600
1381.1	496000
1381.2	504400
1381.3	512800
1381.4	521200
1381.5	529600
1381.6	538000
1381.7	546300
1381.8	554800
1381.9	563100
1382	571500
1382.1	579900
1382.2	588300
1382.3	596700
1382.4	605100
1382.5	613500
1382.6	621900
1382.7	630300
1382.8	638700
1382.9	647100
1383	655500
1383.1	663900
1383.2	672300
1383.3	680700
1383.4	689100
1383.5	697500
1383.6	705900
1383.7	714300
1383.8	722700
1383.9	731100
1384	739500
1384.1	747900
1384.2	756200
1384.3	764600
1384.4	773000
1384.5	781400
1384.6	789800
1384.7	798200
1384.8	806600
1384.9	815000
1385	823400
1385.1	831800
1385.2	840200
1385.3	848600
1385.4	857000
1385.5	865400
1385.6	873800
1385.7	882200
1385.8	890600
1385.9	899000
1386	907400
1386.1	915800
1386.2	925200
1386.3	934600
1386.4	944000
1386.5	953400
1386.6	962800
1386.7	972300
1386.8	981700
1386.9	991100
1387	1000500
1387.1	1009900
1387.2	1019300
1387.3	1028700
1387.4	1038200
1387.5	1047600
1387.6	1057000
1387.7	1066400
1387.8	1075800
1387.9	1085200
1388	1094600
1388.1	1104000
1388.2	1113500
1388.3	1122900
1388.4	1132300
1388.5	1141700
1388.6	1151100
1388.7	1160500
1388.8	1169900
1388.9	1179400
1389	1188800
1389.1	1198200
1389.2	1207600
1389.3	1217000
1389.4	1226400
1389.5	1235800
1389.6	1245300
1389.7	1254700
1389.8	1264100
1389.9	1273500
1390	1282900
1390.1	1292300
1390.2	1301700
1390.3	1311200
1390.4	1320600
1390.5	1330000
1390.6	1339400
1390.7	1348800
1390.8	1358200
1390.9	1367600
1391	1377000
1391.1	1386500
1391.2	1395900
1391.3	1405300
1391.4	1414700
1391.5	1424100
1391.6	1433500
1391.7	1442900
1391.8	1452400
1391.9	1461800
1392	1471200
1392.1	1480600
1392.2	1490000
1392.3	1499400
1392.4	1508800
1392.5	1518300
1392.6	1527700
1392.7	1537100
1392.8	1546500
1392.9	1555900
1393	1565300
1393.1	1574700
1393.2	1584100
1393.3	1593600
1393.4	1603000
1393.5	1612400
1393.6	1621800
1393.7	1631200
1393.8	1640600
1393.9	1650000
1394	1659500
1394.1	1668900
1394.2	1678300
1394.3	1687700
1394.4	1697100
1394.5	1706500
1394.6	1715900
1394.7	1725300
1394.8	1734800
1394.9	1744200
1395	1753600
1395.1	1763000
1395.2	1772400
1395.3	1781800
1395.4	1791300
1395.5	1800700
1395.6	1810100
1395.7	1819500
1395.8	1828900
1395.9	1838300
1396	1847700
1396.1	1857100
1396.2	1866600
1396.3	1876000
1396.4	1885400
1396.5	1894800
1396.6	1904200
1396.7	1913600
1396.8	1923000
1396.9	1932500
1397	1941900
1397.1	1951300
1397.2	1960700
1397.3	1970100
1397.4	1979500
1397.5	1988900
1397.6	1998300
1397.7	2008500
1397.8	2018700
1397.9	2028900
1398	2039100
1398.1	2049300
1398.2	2059500
1398.3	2069700
1398.4	2079900
1398.5	2090100
1398.6	2100300
1398.7	2110500
1398.8	2120700
1398.9	2130900
1399	2141100
1399.1	2151300
1399.2	2161500
1399.3	2171700
1399.4	2181900
1399.5	2192100
1399.6	2202300
1399.7	2212500
1399.8	2222700
1399.9	2232900
1400	2243100
1400.1	2253200
1400.2	2263400
1400.3	2273600
1400.4	2283800
1400.5	2294000
1400.6	2304200
1400.7	2314400
1400.8	2324600
1400.9	2334800
1401	2345000
1401.1	2355200
1401.2	2365400
1401.3	2375600
1401.4	2385800
1401.5	2396000
1401.6	2406200
1401.7	2416400
1401.8	2426600
1401.9	2436800
1402	2447000
1402.1	2457200
1402.2	2467400
1402.3	2477600
1402.4	2487800
1402.5	2498000
1402.6	2508100
1402.7	2518300
1402.8	2528500
1402.9	2538700
1403	2548900
1403.1	2559100
1403.2	2569300
1403.3	2579500
1403.4	2589700
1403.5	2599900
1403.6	2610100
1403.7	2620300
1403.8	2630500
1403.9	2640700
1404	2650900
1404.1	2661100
1404.2	2671300
1404.3	2681500
1404.4	2691700
1404.5	2701900
1404.6	2712100
1404.7	2722300
1404.8	2732500
1404.9	2742700
1405	2752900
1405.1	2763000
1405.2	2773200
1405.3	2783400
1405.4	2793600
1405.5	2803800
1405.6	2814000
1405.7	2824200
1405.8	2834400
1405.9	2844600
1406	2854800
1406.1	2865300
1406.2	2875900
1406.3	2886400
1406.4	2897000
1406.5	2907500
1406.6	2918100
1406.7	2928600
1406.8	2939100
1406.9	2949700
1407	2960200
1407.1	2970800
1407.2	2981300
1407.3	2991800
1407.4	3002400
1407.5	3012900
1407.6	3023500
1407.7	3034000
1407.8	3044500
1407.9	3055100
1408	3065600
1408.1	3076200
1408.2	3087200
1408.3	3098200
1408.4	3109200
1408.5	3120200
1408.6	3131200
1408.7	3142200
1408.8	3153200
1408.9	3164300
1409	3175300
1409.1	3186300
1409.2	3197300
1409.3	3208300
1409.4	3219300
1409.5	3230300
1409.6	3241300
1409.7	3252300
1409.8	3263400
1409.9	3274400
1410	3285400
1410.1	3296400
1410.2	3307400
1410.3	3318400
1410.4	3329400
1410.5	3340400
1410.6	3351400
1410.7	3362400
1410.8	3373500
1410.9	3384500
1411	3395500
1411.1	3406500
1411.2	3417500
1411.3	3428500
1411.4	3439500
1411.5	3450500
1411.6	3461500
1411.7	3472500
1411.8	3483600
1411.9	3494600
1412	3505600
1412.1	3516600
1412.2	3527600
1412.3	3538600
1412.4	3549600
1412.5	3560600
1412.6	3571600
1412.7	3582700
1412.8	3593700
1412.9	3604700
1413	3615700
1413.1	3626700
1413.2	3637700
1413.3	3648700
1413.4	3659700
1413.5	3670700
1413.6	3681800
1413.7	3692800
1413.8	3703800
1413.9	3714800
1414	3725800
1414.1	3736800
1414.2	3747800
1414.3	3758800
1414.4	3769900
1414.5	3780900
1414.6	3791900
1414.7	3802900
1414.8	3813900
1414.9	3824900
1415	3835900
1415.1	3846900
1415.2	3857900
1415.3	3869000
1415.4	3880000
1415.5	3891000
1415.6	3902000
1415.7	3913000
1415.8	3924000
1415.9	3935000
1416	3946000
1416.1	3957000
1416.2	3968000
1416.3	3979100
1416.4	3990100
1416.5	4001100
1416.6	4012100
1416.7	4023100
1416.8	4034100
1416.9	4045100
1417	4056100
1417.1	4067100
1417.2	4078100
1417.3	4089200
1417.4	4100200
1417.5	4111200
1417.6	4122200
1417.7	4133200
1417.8	4144200
1417.9	4155200
1418	4166200
1418.1	4177200
1418.2	4188300
1418.3	4199300
1418.4	4210300
1418.5	4221300
1418.6	4232300
1418.7	4243300
1418.8	4254300
1418.9	4265300
1419	4276300
1419.1	4287400
1419.2	4298400
1419.3	4309400
1419.4	4320400
1419.5	4331400
1419.6	4342400
1419.7	4354300
1419.8	4366300
1419.9	4378200
1420	4390100
1420.1	4402000
1420.2	4414000
1420.3	4425900
1420.4	4437800
1420.5	4449800
1420.6	4461700
1420.7	4473600
1420.8	4485500
1420.9	4497500
1421	4509400
1421.1	4521300
1421.2	4533200
1421.3	4545200
1421.4	4557100
1421.5	4569000
1421.6	4581000
1421.7	4592900
1421.8	4604800
1421.9	4616700
1422	4628700
1422.1	4640600
1422.2	4652500
1422.3	4664500
1422.4	4676400
1422.5	4688300
1422.6	4700200
1422.7	4712200
1422.8	4724100
1422.9	4736000
1423	4747900
1423.1	4759900
1423.2	4771800
1423.3	4783700
1423.4	4795700
1423.5	4807600
1423.6	4819500
1423.7	4831400
1423.8	4843400
1423.9	4855300
1424	4867200
1424.1	4879100
1424.2	4891100
1424.3	4903000
1424.4	4914900
1424.5	4926800
1424.6	4938800
1424.7	4950700
1424.8	4962600
1424.9	4974600
1425	4986500
1425.1	4998400
1425.2	5010300
1425.3	5022300
1425.4	5034200
1425.5	5046100
1425.6	5058000
1425.7	5070000
1425.8	5081900
1425.9	5093800
1426	5105800
1426.1	5117700
1426.2	5129600
1426.3	5141500
1426.4	5153500
1426.5	5165400
1426.6	5177300
1426.7	5189200
1426.8	5201200
1426.9	5213100
1427	5225000
1427.1	5237000
1427.2	5248900
1427.3	5260800
1427.4	5272700
1427.5	5284700
1427.6	5296600
1427.7	5308500
1427.8	5320500
1427.9	5332400
1428	5344300
1428.1	5356200
1428.2	5368200
1428.3	5380100
1428.4	5392000
1428.5	5403900
1428.6	5415900
1428.7	5427800
1428.8	5439700
1428.9	5451700
1429	5463600
1429.1	5475500
1429.2	5487400
1429.3	5499400
1429.4	5511300
1429.5	5523200
1429.6	5535100
1429.7	5547100
1429.8	5559000
1429.9	5570900
1430	5582800
1430.1	5594800
1430.2	5606700
1430.3	5618600
1430.4	5630600
1430.5	5642500
1430.6	5654400
1430.7	5666300
1430.8	5678300
1430.9	5690200
1431	5702100
1431.1	5714000
1431.2	5726000
1431.3	5737900
1431.4	5749800
1431.5	5761800
1431.6	5773700
1431.7	5785600
1431.8	5797500
1431.9	5809500
1432	5821400
1432.1	5833300
1432.2	5845200
1432.3	5857200
1432.4	5869100
1432.5	5881000
1432.6	5893000
1432.7	5904900
1432.8	5916800
1432.9	5928700
1433	5940700
1433.1	5952600
1433.2	5964500
1433.3	5976500
1433.4	5988400
1433.5	6000300
1433.6	6012200
1433.7	6024200
1433.8	6036100
1433.9	6048000
1434	6059900
1434.1	6071900
1434.2	6083800
1434.3	6095700
1434.4	6107700
1434.5	6119600
