week	AssuredRelease
1	19000
2	19000
3	19000
4	19000
5	19000
6	19000
7	19000
8	19000
9	19000
10	5000
11	5000
12	5000
13	5000
14	5000
15	5000
16	5000
17	5000
18	5000
19	5000
20	5000
21	5000
22	5000
23	5000
24	5000
25	5000
26	5000
27	5000
28	5000
29	5000
30	5000
31	5000
32	5000
33	5000
34	5000
35	5000
36	5000
37	5000
38	5000
39	5000
40	10000
41	10000
42	10000
43	10000
44	10000
45	19000
46	19000
47	19000
48	19000
49	19000
50	19000
51	19000
52	19000
