Week cfs
23 2981.33554817276
24 3072.95016611296
25 3091.56146179402
26 3038.12624584718
27 3059.36877076412
28 3095.9634551495
29 3220.73089700997
30 3431.4950166113
31 3493.05647840532
32 3738.47176079734
33 3976.67774086379
34 4450.06644518272
35 4967.34219269103
36 5486.09302325581
37 5721.63787375415
38 6380.83720930233
39 7545.72093023256
40 8079.67774086379
41 8114.1096345515
42 8473.94019933555
43 9278.0365448505
44 9675.31893687708
45 9393.56478405316
46 9793.42524916944
47 9344.67441860465
48 7412.52491694352
49 5940.3853820598
50 4856.14285714286
51 4715.84053156146
52 4235.84717607973
1 4147.00996677741
2 3736.83720930233
3 3200.00332225914
4 2929.05315614618
5 2754.49833887043
6 2676.75411960133
7 2714.7707641196
8 2787.69435215947
9 2684.01993355482
10 2661.87375415282
11 2609.98338870432
12 2667.52823920266
13 2917.24252491694
14 3203.23588039867
15 3414.55149501661
16 3300.23255813953
17 3253.1561461794
18 3175.8803986711
19 3127.04318936877
20 3065.32225913621
21 3076.74418604651
22 3040.25957049486
