week	Low	High
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	125000	160000
16	125000	160000
17	125000	160000
18	125000	160000
19	125000	160000
20	125000	160000
21	125000	160000
22	125000	160000
23	125000	160000
24	125000	160000
25	125000	160000
26	125000	160000
27	125000	160000
28	125000	160000
29	125000	160000
30	125000	160000
31	125000	160000
32	125000	160000
33	125000	160000
34	125000	160000
35	125000	160000
36	125000	160000
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
