Elevation	Volume
24	90000
24.1	90300
24.2	90700
24.3	91000
24.4	91300
24.5	91700
24.6	92000
24.7	92300
24.8	92700
24.9	93000
25	93300
25.1	93700
25.2	94000
25.3	94300
25.4	94700
25.5	95000
25.6	95300
25.7	95700
25.8	96000
25.9	96300
26	96700
26.1	97000
26.2	97300
26.3	97700
26.4	98000
26.5	98300
26.6	98700
26.7	99000
26.8	99300
26.9	99700
27	100000
27.1	100300
27.2	100700
27.3	101000
27.4	101300
27.5	101700
27.6	102000
27.7	102300
27.8	102700
27.9	103000
28	103300
28.1	103700
28.2	104000
28.3	104300
28.4	104700
28.5	105000
28.6	105300
28.7	105700
28.8	106000
28.9	106300
29	106700
29.1	107000
29.2	107300
29.3	107700
29.4	108000
29.5	108300
29.6	108700
29.7	109000
29.8	109300
29.9	109700
30	110000
30.1	110700
30.2	111400
30.3	112100
30.4	112800
30.5	113500
30.6	114200
30.7	114900
30.8	115600
30.9	116300
31	117000
31.1	117700
31.2	118400
31.3	119100
31.4	119800
31.5	120500
31.6	121200
31.7	121900
31.8	122600
31.9	123300
32	124000
32.1	124700
32.2	125400
32.3	126100
32.4	126800
32.5	127500
32.6	128200
32.7	128900
32.8	129600
32.9	130300
33	131000
33.1	131700
33.2	132400
33.3	133100
33.4	133800
33.5	134500
33.6	135200
33.7	135900
33.8	136600
33.9	137300
34	138000
34.1	138700
34.2	139400
34.3	140100
34.4	140800
34.5	141500
34.6	142200
34.7	142900
34.8	143600
34.9	144300
35	145000
35.1	145700
35.2	146400
35.3	147100
35.4	147800
35.5	148500
35.6	149200
35.7	149900
35.8	150600
35.9	151300
36	152000
36.1	152700
36.2	153400
36.3	154100
36.4	154800
36.5	155500
36.6	156200
36.7	156900
36.8	157600
36.9	158300
37	159000
37.1	159700
37.2	160400
37.3	161100
37.4	161800
37.5	162500
37.6	163200
37.7	163900
37.8	164600
37.9	165300
38	166000
38.1	166700
38.2	167400
38.3	168100
38.4	168800
38.5	169500
38.6	170200
38.7	170900
38.8	171600
38.9	172300
39	173000
39.1	173700
39.2	174400
39.3	175100
39.4	175800
39.5	176500
39.6	177200
39.7	177900
39.8	178600
39.9	179300
40	180000
40.1	181200
40.2	182500
40.3	183700
40.4	185000
40.5	186300
40.6	187500
40.7	188800
40.8	190000
40.9	191300
41	192500
41.1	193700
41.2	195000
41.3	196200
41.4	197500
41.5	198800
41.6	200000
41.7	201300
41.8	202500
41.9	203800
42	205000
42.1	206200
42.2	207500
42.3	208700
42.4	210000
42.5	211300
42.6	212500
42.7	213800
42.8	215000
42.9	216300
43	217500
43.1	218700
43.2	220000
43.3	221200
43.4	222500
43.5	223800
43.6	225000
43.7	226300
43.8	227500
43.9	228800
44	230000
44.1	231200
44.2	232500
44.3	233700
44.4	235000
44.5	236300
44.6	237500
44.7	238800
44.8	240000
44.9	241300
45	242500
45.1	243700
45.2	245000
45.3	246200
45.4	247500
45.5	248800
45.6	250000
45.7	251300
45.8	252500
45.9	253800
46	255000
46.1	256200
46.2	257500
46.3	258700
46.4	260000
46.5	261300
46.6	262500
46.7	263800
46.8	265000
46.9	266300
47	267500
47.1	268700
47.2	270000
47.3	271300
47.4	272500
47.5	273800
47.6	275000
47.7	276300
47.8	277500
47.9	278800
48	280000
48.1	281200
48.2	282500
48.3	283800
48.4	285000
48.5	286300
48.6	287500
48.7	288800
48.8	290000
48.9	291300
49	292500
49.1	293700
49.2	295000
49.3	296300
49.4	297500
49.5	298800
49.6	300000
49.7	301300
49.8	302500
49.9	303800
50	305000
50.1	306800
50.2	308600
50.3	310400
50.4	312200
50.5	314000
50.6	315800
50.7	317600
50.8	319400
50.9	321200
51	323000
51.1	324800
51.2	326600
51.3	328400
51.4	330200
51.5	332000
51.6	333800
51.7	335600
51.8	337400
51.9	339200
52	341000
52.1	342800
52.2	344600
52.3	346400
52.4	348200
52.5	350000
52.6	351800
52.7	353600
52.8	355400
52.9	357200
53	359000
53.1	360800
53.2	362600
53.3	364400
53.4	366200
53.5	368000
53.6	369800
53.7	371600
53.8	373400
53.9	375200
54	377000
54.1	378800
54.2	380600
54.3	382400
54.4	384200
54.5	386000
54.6	387800
54.7	389600
54.8	391400
54.9	393200
55	395000
55.1	396800
55.2	398600
55.3	400400
55.4	402200
55.5	404000
55.6	405800
55.7	407600
55.8	409400
55.9	411200
56	413000
56.1	414800
56.2	416600
56.3	418400
56.4	420200
56.5	422000
56.6	423800
56.7	425600
56.8	427400
56.9	429200
57	431000
57.1	432800
57.2	434600
57.3	436400
57.4	438200
57.5	440000
57.6	441800
57.7	443600
57.8	445400
57.9	447200
58	449000
58.1	450800
58.2	452600
58.3	454400
58.4	456200
58.5	458000
58.6	459800
58.7	461600
58.8	463400
58.9	465200
59	467000
59.1	468800
59.2	470600
59.3	472400
59.4	474200
59.5	476000
59.6	477800
59.7	479600
59.8	481400
59.9	483200
60	485000
60.1	487000
60.2	489100
60.3	491100
60.4	493200
60.5	495300
60.6	497300
60.7	499400
60.8	501400
60.9	503500
61	505500
61.1	507500
61.2	509600
61.3	511600
61.4	513700
61.5	515800
61.6	517800
61.7	519900
61.8	521900
61.9	524000
62	526000
62.1	528000
62.2	530100
62.3	532200
62.4	534200
62.5	536300
62.6	538300
62.7	540300
62.8	542400
62.9	544500
63	546500
63.1	548500
63.2	550600
63.3	552700
63.4	554700
63.5	556800
63.6	558800
63.7	560800
63.8	562900
63.9	565000
64	567000
64.1	569000
64.2	571100
64.3	573200
64.4	575200
64.5	577300
64.6	579300
64.7	581300
64.8	583400
64.9	585500
65	587500
65.1	589500
65.2	591600
65.3	593700
65.4	595700
65.5	597800
65.6	599800
65.7	601800
65.8	603900
65.9	606000
66	608000
66.1	610000
66.2	612100
66.3	614200
66.4	616200
66.5	618300
66.6	620300
66.7	622300
66.8	624400
66.9	626500
67	628500
67.1	630500
67.2	632600
67.3	634700
67.4	636700
67.5	638800
67.6	640800
67.7	642800
67.8	644900
67.9	647000
68	649000
68.1	651000
68.2	653100
68.3	655200
68.4	657200
68.5	659300
68.6	661300
68.7	663300
68.8	665400
68.9	667500
69	669500
69.1	671500
69.2	673600
69.3	675700
69.4	677700
69.5	679800
69.6	681800
69.7	683800
69.8	685900
69.9	688000
70	690000
70.1	690400
70.2	690800
70.3	691200
70.4	691500
70.5	691900
70.6	692300
70.7	692700
70.8	693100
70.9	693500
71	693800
71.1	694200
71.2	694600
71.3	695000
71.4	695400
71.5	695800
71.6	696200
71.7	696500
71.8	696900
71.9	697300
72	697700
72.1	698100
72.2	698500
72.3	698800
72.4	699200
72.5	699600
72.6	700000
72.7	700400
72.8	700800
72.9	701200
73	701500
73.1	701900
73.2	702300
73.3	702700
73.4	703100
73.5	703500
73.6	703800
73.7	704200
73.8	704600
73.9	705000
74	705400
74.1	705800
74.2	706200
74.3	706500
74.4	706900
74.5	707300
74.6	707700
74.7	708100
74.8	708500
74.9	708800
75	709200
75.1	709600
75.2	710000
75.3	710400
75.4	710800
75.5	711200
75.6	711500
75.7	711900
75.8	712300
75.9	712700
76	713100
76.1	713500
76.2	713800
76.3	714200
76.4	714600
76.5	715000
