time	ModBonnevilleFlowData
1	7.96E+06
2	5.02E+06
3	5.02E+06
4	4.65E+06
5	3.95E+06
6	3.49E+06
7	3.35E+06
8	5.63E+06
9	6.45E+06
10	1.73E+07
11	2.27E+07
12	1.07E+07
13	6.94E+06
14	4.45E+06
15	3.54E+06
16	3.00E+06
17	4.02E+06
18	2.68E+06
19	5.57E+06
20	5.06E+06
21	1.21E+07
22	1.58E+07
23	1.81E+07
24	1.21E+07
25	7.49E+06
26	4.96E+06
27	4.04E+06
28	3.58E+06
29	3.26E+06
30	3.41E+06
31	3.43E+06
32	5.41E+06
33	8.81E+06
34	1.84E+07
35	1.60E+07
36	9.83E+06
37	6.09E+06
38	4.93E+06
39	3.95E+06
40	4.17E+06
41	3.79E+06
42	3.97E+06
43	3.67E+06
44	1.11E+07
45	1.60E+07
46	3.05E+07
47	2.86E+07
48	1.46E+07
49	8.49E+06
50	5.20E+06
51	4.54E+06
52	6.47E+06
53	5.93E+06
54	5.53E+06
55	3.78E+06
56	6.22E+06
57	1.10E+07
58	2.30E+07
59	4.03E+07
60	2.10E+07
61	1.03E+07
62	6.38E+06
63	6.58E+06
64	9.34E+06
65	1.46E+07
66	1.30E+07
67	8.12E+06
68	1.10E+07
69	2.31E+07
70	2.68E+07
71	1.91E+07
72	1.11E+07
73	7.35E+06
74	4.88E+06
75	4.55E+06
76	7.10E+06
77	5.73E+06
78	5.63E+06
79	5.98E+06
80	6.33E+06
81	9.91E+06
82	2.24E+07
83	2.59E+07
84	1.69E+07
85	8.68E+06
86	5.45E+06
87	4.19E+06
88	3.79E+06
89	3.54E+06
90	4.39E+06
91	2.99E+06
92	6.23E+06
93	1.64E+07
94	2.90E+07
95	2.17E+07
96	1.07E+07
97	7.03E+06
98	4.75E+06
99	3.74E+06
100	3.14E+06
101	3.35E+06
102	2.47E+06
103	2.97E+06
104	4.69E+06
105	7.87E+06
106	1.90E+07
107	2.15E+07
108	1.24E+07
109	6.71E+06
110	5.00E+06
111	4.35E+06
112	6.15E+06
113	6.37E+06
114	6.43E+06
115	4.87E+06
116	9.11E+06
117	1.66E+07
118	2.84E+07
119	2.97E+07
120	1.49E+07
121	6.69E+06
122	5.70E+06
123	4.82E+06
124	4.38E+06
125	4.43E+06
126	4.44E+06
127	3.69E+06
128	6.97E+06
129	1.33E+07
130	2.47E+07
131	1.66E+07
132	1.29E+07
133	7.35E+06
134	4.84E+06
135	4.70E+06
136	4.56E+06
137	5.18E+06
138	4.15E+06
139	5.41E+06
140	9.37E+06
141	1.38E+07
142	2.20E+07
143	1.75E+07
144	1.05E+07
145	6.56E+06
146	5.82E+06
147	5.84E+06
148	4.88E+06
149	5.07E+06
150	4.86E+06
151	4.38E+06
152	6.87E+06
153	1.05E+07
154	1.70E+07
155	1.65E+07
156	1.03E+07
157	6.77E+06
158	6.71E+06
159	7.54E+06
160	7.12E+06
161	1.00E+07
162	5.65E+06
163	5.72E+06
164	6.01E+06
165	1.37E+07
166	2.09E+07
167	2.38E+07
168	1.64E+07
169	8.50E+06
170	5.12E+06
171	4.51E+06
172	5.46E+06
173	6.42E+06
174	6.53E+06
175	6.73E+06
176	8.31E+06
177	2.53E+07
178	2.29E+07
179	2.92E+07
180	2.24E+07
181	9.38E+06
182	5.22E+06
183	5.10E+06
184	4.57E+06
185	4.37E+06
186	3.73E+06
