week	Brownlee
1	444700
2	444700
3	444700
4	444700
5	444700
6	444700
7	444700
8	444700
9	444700
10	444700
11	444700
12	444700
13	444700
14	444700
15	444700
16	444700
17	444700
18	444700
19	447080
20	449460
21	451840
22	454221
23	618055
24	647708
25	618055
26	647708
27	618055
28	647708
29	677361
30	707014
31	736667
32	803609
33	870551
34	937493
35	1004435
36	1060171
37	1115906
38	1171741
39	1227575
40	1252369
41	1277162
42	1301955
43	1326749
44	1351542
45	1368682
46	1385821
47	1402961
48	1420100
49	1420100
50	1420100
51	1420100
52	1420100
