week	BR1931Refill
1	444700
2	444700
3	444700
4	444700
5	444700
6	444700
7	444700
8	444700
9	444700
10	444700
11	444700
12	444700
13	444700
14	444700
15	444700
16	444700
17	444700
18	444700
19	444700
20	444700
21	444700
22	444700
23	444700
24	444700
25	444700
26	444700
27	444700
28	444700
29	444700
30	444700
31	444700
32	466568
33	488436
34	510303
35	532171
36	630650
37	729130
38	827609
39	926088
40	979245
41	1032402
42	1085559
43	1138716
44	1191873
45	1248930
46	1305986
47	1363043
48	1420000
49	1420000
50	1420000
51	1420000
52	1420000


