week	Brownlee
1	444700
2	444700
3	444700
4	444700
5	444700
6	444700
7	444700
8	444700
9	444700
10	444700
11	444700
12	444700
13	444700
14	444700
15	444700
16	444700
17	444700
18	444700
19	448072
20	451444
21	454816
22	458188
23	692435
24	734782
25	692435
26	734782
27	692435
28	734782
29	777129
30	819477
31	861824
32	948105
33	1034385
34	1120666
35	1206947
36	1244336
37	1281724
38	1319212
39	1356699
40	1369354
41	1382008
42	1394663
43	1407317
44	1419972
45	1420004
46	1420036
47	1420068
48	1420100
49	1420100
50	1420100
51	1420100
52	1420100

