week	CRC1	CRC2	CRC3	CRC4
1	1373559	1339641	1326551	1156766
2	1373559	1339641	1326551	1156766
3	1373559	1339641	1326551	1156766
4	1377923	1332798	1320303	1125526
5	1382286	1325955	1314055	1094286
6	1373856	1318269	1307460	1083526
7	1365427	1310584	1300865	1072766
8	1356997	1302898	1294270	1062005
9	1348567	1295212	1287675	1051245
10	1354200	1300250	1296402	1081116
11	1359833	1305288	1305129	1110987
12	1365466	1310326	1313857	1140858
13	1371099	1315364	1322584	1170729
14	1376732	1320402	1331311	1200600
15	1373707	1325162	1333344	1216170
16	1370683	1329923	1335377	1231741
17	1367658	1334683	1337410	1247311
18	1364633	1339443	1339443	1262881
19	1355063	1330765	1324765	1258865
20	1345493	1322088	1310088	1254848
21	1335922	1313410	1295410	1250832
22	1326352	1304732	1280732	1246815
23	1299337	1264825	1245625	1212263
24	1272322	1224917	1210517	1177711
25	1245308	1185010	1175410	1143159
26	1218293	1145102	1140302	1108607
27	1191278	1105195	1105195	1074055
28	1172485	1113675	1114468	916716
29	1153691	1122154	1123741	759378
30	1134898	1130634	1133013	602039
31	1116104	1139113	1142286	444700
32	1101823	1121956	1124732	333525
33	1087542	1104799	1107179	222350
34	1073261	1087642	1089625	111175
35	1058980	1070485	1072071	0
36	1079807	1088435	1089526	0
37	1100633	1106385	1106980	0
38	1123840	1126716	1127014	0
39	1147047	1147047	1147047	0
40	1161963	1171245	1166406	0
41	1176878	1195443	1185764	0
42	1191794	1219642	1205123	0
43	1206709	1243840	1224481	0
44	1221625	1268038	1243840	0
45	1268584	1303394	1265807	0
46	1315543	1338749	1287774	0
47	1362501	1374105	1309741	0
48	1409460	1409460	1331708	0
49	1395576	1392105	1302006	0
50	1381691	1374749	1272303	0
51	1367807	1357394	1242601	0
52	1353922	1340038	1212898	0
