week	BRCurFC_Cont75	BRCurFC_Cont80	BRCurFC_Cont85	BRCurFC_Cont90	BRCurFC_Cont95	BRCurFC_Cont100	BRCurFC_Cont105	BRCurFC_Cont110	BRCurFC_Cont115
1	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
2	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
3	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
4	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
5	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
6	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
7	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
8	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
9	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
10	1417340	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
11	1315280	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
12	1213220	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
13	1111160	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
14	1009100	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
15	930993	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
16	852885	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
17	774778	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
18	696670	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
19	696670	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
20	696670	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
21	696670	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
22	696670	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
23	732140	1370000	1370000	1370000	1370000	1370000	1370000	1370000	1370000
24	767610	1320000	1320000	1320000	1320000	1320000	1320000	1320000	1320000
25	803080	1270000	1270000	1270000	1270000	1270000	1270000	1270000	1270000
26	838550	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000
27	874020	1170000	1170000	1170000	1170000	1170000	1170000	1170000	1170000
28	874020	1132500	1132500	1132500	1132500	1132500	1132500	1120000	1107500
29	874020	1095000	1095000	1095000	1095000	1095000	1095000	1070000	1045000
30	874020	1057500	1057500	1057500	1057500	1057500	1057500	1020000	982500
31	874020	1020000	1020000	1020000	1020000	1020000	1020000	970000	920000
32	829683	1020000	1007500	1001250	995000	995000	995000	926250	857500
33	785345	1020000	995000	982500	970000	970000	970000	882500	795000
34	741008	1020000	982500	963750	945000	945000	945000	838750	732500
35	696670	1020000	970000	945000	920000	920000	920000	795000	670000
36	729850	1038750	957500	926250	895000	882500	870000	741250	612500
37	763030	1057500	945000	907500	870000	845000	820000	687500	555000
38	796210	1076250	932500	888750	845000	807500	770000	633750	497500
39	829390	1095000	920000	870000	820000	770000	720000	580000	440000
40	883532	1160000	1020000	980000	940000	900000	860000	748000	636000
41	937674	1225000	1120000	1090000	1060000	1030000	1000000	916000	832000
42	991816	1290000	1220000	1200000	1180000	1160000	1140000	1084000	1028000
43	1045960	1355000	1320000	1310000	1300000	1290000	1280000	1252000	1224000
44	1100100	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
45	1146200	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
46	1192300	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
47	1238400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
48	1284500	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
49	1343230	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
50	1401950	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
51	1460680	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
52	1519400	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
