week	High	Medium	Low
1	1420000	1420000	1420000
2	1420000	1420000	1420000
3	1420000	1420000	1420000
4	1420000	1420000	1420000
5	1420000	1420000	1420000
6	1335075	1364375	1389100
7	1250150	1308750	1358200
8	1165225	1253125	1327300
9	1080300	1197500	1296400
10	1021140	1174060	1286140
11	961980	1150620	1275880
12	902820	1127180	1265620
13	843660	1103740	1255360
14	784500	1080300	1245100
15	860513	1119338	1263538
16	936525	1158375	1281975
17	1012538	1197413	1300413
18	1088550	1236450	1318850
19	1164563	1275488	1337288
20	1240575	1314525	1355725
21	1316588	1353563	1374163
22	1392600	1392600	1392600
23	1420000	1420000	1420000
24	1420000	1420000	1420000
25	1420000	1420000	1420000
26	1420000	1420000	1420000
27	1420000	1420000	1420000
28	1420000	1420000	1420000
29	1420000	1420000	1420000
30	1420000	1420000	1420000
31	1420000	1420000	1420000
32	1420000	1420000	1420000
33	1420000	1420000	1420000
34	1420000	1420000	1420000
35	1420000	1420000	1420000
36	1420000	1420000	1420000
37	1420000	1420000	1420000
38	1420000	1420000	1420000
39	1420000	1420000	1420000
40	1420000	1420000	1420000
41	1420000	1420000	1420000
42	1420000	1420000	1420000
43	1420000	1420000	1420000
44	1420000	1420000	1420000
45	1420000	1420000	1420000
46	1420000	1420000	1420000
47	1420000	1420000	1420000
48	1420000	1420000	1420000
49	1420000	1420000	1420000
50	1420000	1420000	1420000
51	1420000	1420000	1420000
52	1420000	1420000	1420000
