week	BRFlood1	BRFlood2	BRFlood3	BRFlood4	BRFlood5	BRFlood6
1	1420000	1420000	1420000	1420000	1420000	1420000
2	1420000	1420000	1420000	1420000	1420000	1420000
3	1420000	1420000	1420000	1420000	1420000	1420000
4	1420000	1420000	1420000	1420000	1420000	1420000
5	1420000	1420000	1420000	1420000	1420000	1420000
6	1420000	1420000	1420000	1420000	1420000	1420000
7	1420000	1420000	1420000	1420000	1420000	1420000
8	1420000	1420000	1420000	1420000	1420000	1420000
9	1420000	1420000	1420000	1420000	1420000	1420000
10	1420000	1420000	1420000	1420000	1420000	1420000
11	1420000	1420000	1420000	1420000	1420000	1420000
12	1420000	1420000	1420000	1420000	1420000	1420000
13	1420000	1420000	1420000	1420000	1420000	1420000
14	1420000	1420000	1420000	1420000	1420000	1420000
15	1420000	1420000	1420000	1420000	1420000	1420000
16	1420000	1420000	1420000	1420000	1420000	1420000
17	1420000	1420000	1420000	1420000	1420000	1420000
18	1420000	1420000	1420000	1420000	1420000	1420000
19	1420000	1420000	1420000	1420000	1420000	1420000
20	1420000	1420000	1420000	1420000	1420000	1420000
21	1420000	1420000	1420000	1420000	1420000	1420000
22	1420000	1420000	1420000	1420000	1420000	1420000
23	1420000	1420000	1420000	1420000	1420000	1420000
24	1420000	1420000	1420000	1420000	1420000	1420000
25	1420000	1420000	1420000	1420000	1420000	1420000
26	1420000	1420000	1420000	1420000	1420000	1420000
27	1420000	1420000	1420000	1420000	1420000	1420000
28	1357500	1357500	1357500	1357500	1357500	1357500
29	1295000	1295000	1295000	1295000	1295000	1295000
30	1232500	1232500	1232500	1232500	1232500	1232500
31	1170000	1170000	1170000	1170000	1170000	1170000
32	1107500	1107500	1107500	1107500	1107500	1107500
33	1045000	1045000	1045000	1045000	1045000	1045000
34	982500	982500	982500	982500	982500	982500
35	920000	920000	920000	920000	920000	920000
36	1020000	1007500	970000	957500	932500	920000
37	1120000	1095000	1020000	995000	945000	920000
38	1220000	1182500	1070000	1032500	957500	920000
39	1320000	1270000	1120000	1070000	970000	920000
40	1340000	1290000	1140000	1060000	960000	900000
41	1360000	1310000	1160000	1050000	950000	880000
42	1380000	1330000	1180000	1040000	940000	860000
43	1400000	1350000	1200000	1030000	930000	840000
44	1420000	1370000	1220000	1020000	920000	820000
45	1420000	1382500	1270000	1120000	1045000	970000
46	1420000	1395000	1320000	1220000	1170000	1120000
47	1420000	1407500	1370000	1320000	1295000	1270000
48	1420000	1420000	1420000	1420000	1420000	1420000
49	1420000	1420000	1420000	1420000	1420000	1420000
50	1420000	1420000	1420000	1420000	1420000	1420000
51	1420000	1420000	1420000	1420000	1420000	1420000
52	1420000	1420000	1420000	1420000	1420000	1420000
