week	BR75_3	BR75_4	BR75_5	BR75_6	BR85_3	BR85_4	BR85_5	BR85_6	BR95_3	BR95_4	BR95_5	BR95_6	BR105_3	BR105_4	BR105_5	BR105_6	BR115_3	BR115_4	BR115_5	BR115_6
1	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
2	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
3	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
4	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
5	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
6	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
7	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
8	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
9	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
10	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
11	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
12	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
13	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
14	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
15	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
16	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
17	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
