Elevation	Volume
1976	444700
1976.1	445400
1976.2	446100
1976.3	446800
1976.4	447500
1976.5	448200
1976.6	448900
1976.7	449500
1976.8	450200
1976.9	450900
1977	451600
1977.1	452300
1977.2	453000
1977.3	453700
1977.4	454400
1977.5	455000
1977.6	455700
1977.7	456400
1977.8	457100
1977.9	457800
1978	458500
1978.1	459200
1978.2	459800
1978.3	460500
1978.4	461200
1978.5	461900
1978.6	462600
1978.7	463300
1978.8	464000
1978.9	464600
1979	465300
1979.1	466000
1979.2	466700
1979.3	467400
1979.4	468100
1979.5	468800
1979.6	469500
1979.7	470100
1979.8	470800
1979.9	471500
1980	472200
1980.1	472900
1980.2	473600
1980.3	474300
1980.4	474900
1980.5	475600
1980.6	476300
1980.7	477000
1980.8	477700
1980.9	478400
1981	479100
1981.1	479800
1981.2	480400
1981.3	481100
1981.4	481800
1981.5	482500
1981.6	483200
1981.7	483900
1981.8	484600
1981.9	485200
1982	485900
1982.1	486600
1982.2	487300
1982.3	488000
1982.4	488700
1982.5	489400
1982.6	490000
1982.7	490700
1982.8	491400
1982.9	492100
1983	492800
1983.1	493500
1983.2	494200
1983.3	494900
1983.4	495500
1983.5	496200
1983.6	496900
1983.7	497600
1983.8	498300
1983.9	499000
1984	499700
1984.1	500300
1984.2	501000
1984.3	501700
1984.4	502400
1984.5	503100
1984.6	503800
1984.7	504500
1984.8	505100
1984.9	505800
1985	506500
1985.1	507200
1985.2	507900
1985.3	508600
1985.4	509300
1985.5	510000
1985.6	510600
1985.7	511300
1985.8	512000
1985.9	512700
1986	513400
1986.1	514100
1986.2	514800
1986.3	515400
1986.4	516100
1986.5	516800
1986.6	517500
1986.7	518200
1986.8	518900
1986.9	519600
1987	520200
1987.1	520900
1987.2	521600
1987.3	522300
1987.4	523000
1987.5	523700
1987.6	524400
1987.7	525100
1987.8	525700
1987.9	526400
1988	527100
1988.1	527800
1988.2	528500
1988.3	529200
1988.4	529900
1988.5	530500
1988.6	531200
1988.7	531900
1988.8	532600
1988.9	533300
1989	534000
1989.1	534700
1989.2	535300
1989.3	536000
1989.4	536700
1989.5	537400
1989.6	538100
1989.7	538800
1989.8	539500
1989.9	540200
1990	540800
1990.1	541500
1990.2	542200
1990.3	542900
1990.4	543600
1990.5	544300
1990.6	545000
1990.7	545600
1990.8	546300
1990.9	547000
1991	547700
1991.1	548500
1991.2	549300
1991.3	550000
1991.4	550800
1991.5	551600
1991.6	552400
1991.7	553200
1991.8	553900
1991.9	554700
1992	555500
1992.1	556300
1992.2	557100
1992.3	557900
1992.4	558600
1992.5	559400
1992.6	560200
1992.7	561000
1992.8	561800
1992.9	562500
1993	563300
1993.1	564100
1993.2	564900
1993.3	565700
1993.4	566400
1993.5	567200
1993.6	568000
1993.7	568800
1993.8	569600
1993.9	570300
1994	571100
1994.1	571900
1994.2	572700
1994.3	573500
1994.4	574200
1994.5	575000
1994.6	575800
1994.7	576600
1994.8	577400
1994.9	578100
1995	578900
1995.1	579700
1995.2	580500
1995.3	581300
1995.4	582000
1995.5	582800
1995.6	583600
1995.7	584400
1995.8	585200
1995.9	586000
1996	586700
1996.1	587500
1996.2	588300
1996.3	589100
1996.4	589900
1996.5	590600
1996.6	591400
1996.7	592200
1996.8	593000
1996.9	593800
1997	594500
1997.1	595300
1997.2	596100
1997.3	596900
1997.4	597700
1997.5	598400
1997.6	599200
1997.7	600000
1997.8	600800
1997.9	601600
1998	602300
1998.1	603100
1998.2	603900
1998.3	604700
1998.4	605500
1998.5	606200
1998.6	607000
1998.7	607800
1998.8	608600
1998.9	609400
1999	610100
1999.1	610900
1999.2	611700
1999.3	612500
1999.4	613300
1999.5	614100
1999.6	614800
1999.7	615600
1999.8	616400
1999.9	617200
2000	618000
2000.1	618700
2000.2	619500
2000.3	620300
2000.4	621100
2000.5	621900
2000.6	622600
2000.7	623400
2000.8	624200
2000.9	625000
2001	625800
2001.1	626500
2001.2	627300
2001.3	628100
2001.4	628900
2001.5	629700
2001.6	630400
2001.7	631200
2001.8	632000
2001.9	632800
2002	633600
2002.1	634300
2002.2	635100
2002.3	635900
2002.4	636700
2002.5	637500
2002.6	638200
2002.7	639000
2002.8	639800
2002.9	640600
2003	641400
2003.1	642100
2003.2	642900
2003.3	643700
2003.4	644500
2003.5	645300
2003.6	646100
2003.7	646800
2003.8	647600
2003.9	648400
2004	649200
2004.1	650000
