week	MilnerObsNatFlowData
1	661974
2	516707
3	582774
4	458307
5	433574
6	406174
7	372774
8	426174
9	565207
10	901074
11	853507
12	466774
13	430274
14	394207
15	412774
16	390007
17	392674
18	380674
19	346370
20	412674
21	616107
22	1675170
23	1881110
24	1044770
25	645674
26	513607
27	495674
28	467307
29	442874
30	453474
31	389174
32	426874
33	589607
34	1112870
35	1920510
36	760974
37	563474
38	477907
39	450774
40	423307
41	413474
42	415274
43	363774
44	449274
45	670907
46	977674
47	602407
48	445674
49	390474
50	354307
51	398574
52	378607
53	381274
54	373174
55	331174
56	393074
57	644307
58	1223370
59	1701210
60	863774
61	547374
62	439907
63	436974
64	417507
65	395274
66	409674
67	372343
68	401474
69	874107
70	2383670
71	1770410
72	819574
73	618474
74	514507
75	478074
76	431307
77	428874
78	405174
79	371074
80	414474
81	548107
82	1557370
83	1251710
84	722074
85	497374
86	442107
87	454874
88	425807
89	454874
90	414674
91	377574
92	453274
93	867507
94	1727070
95	2018110
96	1119670
97	653374
98	544807
99	536774
100	491107
101	472674
102	455074
103	395374
104	504174
105	944207
106	1541570
107	1155110
108	787574
109	572574
110	496607
111	480374
112	415207
113	416574
114	418574
115	389722
116	464874
117	667507
118	1375370
119	1106510
120	572474
121	464374
122	458207
123	452974
124	416807
125	406174
126	398674
127	362174
128	446174
129	595907
130	1338670
131	1172610
132	696574
133	601574
134	530207
135	514174
136	455107
137	478374
138	416474
139	373074
140	408574
141	895407
142	1281470
143	1585710
144	920974
145	553074
146	480607
147	464574
148	476507
149	464474
150	457574
151	396974
152	459774
153	1375010
154	1850170
155	2283510
156	1628770
157	819774
158	603007
159	590474
160	533007
161	488074
162	458974
163	415405
164	452574
165	607907
166	1086170
167	1497810
168	893974
169	558174
170	488507
171	477274
172	473707
173	440474
174	427774
175	411174
176	441074
177	543707
178	1496470
179	1806610
180	1273870
181	752074
182	638707
183	565774
184	518807
185	508174
186	465474
187	417674
188	527574
189	1335010
190	1773970
191	1549610
192	902274
193	636774
194	581307
195	584474
196	520107
197	521074
198	447974
199	417074
200	508474
201	710507
202	1865770
203	1676410
204	1059870
205	738674
206	573607
207	536074
208	494807
209	471574
210	458274
211	414632
212	446674
213	696407
214	1747170
215	1919710
216	830474
217	594974
218	512507
219	512074
220	497407
221	476174
222	436274
223	401474
224	477074
225	923507
226	1990370
227	1651310
228	848774
229	601874
230	525707
231	564274
232	504707
233	475574
234	471774
235	449374
236	514074
237	864207
238	1639270
239	2356410
240	1558470
241	772974
242	642907
243	633974
244	572707
245	533474
246	496274
247	479674
248	505274
249	981207
250	2024170
251	1858310
252	1310170
253	913074
254	627607
255	617874
256	535907
257	524974
258	506074
259	444756
260	492574
261	985307
262	2421270
263	1905810
264	983374
265	712274
266	569507
267	522274
268	481007
269	491374
270	514074
271	430974
272	476274
273	658207
274	1129170
275	2014910
276	1033870
277	647674
278	530307
279	492374
280	476607
281	464374
282	469474
283	414574
284	468874
285	742507
286	1860670
287	1522910
288	1157470
289	654274
290	537507
291	510974
292	469707
293	447074
294	436474
295	391374
296	432974
297	512007
298	1187570
299	1584710
300	850774
301	594774
302	471807
303	481474
304	484007
305	554674
306	511474
307	403625
308	488674
309	1055310
310	2343170
311	2459010
312	1149470
313	719874
314	583407
315	553074
316	495707
317	496874
318	458174
319	453674
320	499774
321	633407
322	1878970
323	2217010
324	1276070
325	691974
326	572707
327	534874
328	478407
329	492474
330	457674
331	435274
332	472774
333	652907
334	1953170
335	1347210
336	695874
337	551874
338	491307
339	463674
340	471807
341	463974
342	446474
343	408074
344	457374
345	665007
346	1167470
347	1863410
348	878074
349	599974
350	545507
351	566974
352	467407
353	445874
354	445074
355	397929
356	487574
357	787907
358	1188770
359	1359910
360	648774
361	532774
362	470807
363	485174
364	448307
365	424674
366	397574
367	384874
368	454574
369	571607
370	1223570
371	1250510
372	570474
373	504274
374	503307
375	523074
376	462607
377	444374
378	416074
379	531074
380	480974
381	1136010
382	1860670
383	1754810
384	1059170
385	676174
386	532807
387	523974
388	472707
389	451474
390	431174
391	497774
392	467174
393	572507
394	1459670
395	1763710
396	859874
397	574574
398	561707
399	497874
400	486907
401	436874
402	435074
403	375432
404	426274
405	611507
406	1660170
407	2291210
408	1321070
409	676274
410	545507
411	506474
412	490307
413	598774
414	537474
415	448674
416	466174
417	1007210
418	1835870
419	2479410
420	1547770
421	851674
422	681707
423	610374
424	555207
425	510674
426	496974
427	423974
428	499674
429	721407
430	1521170
431	1209010
432	668474
433	534374
434	516307
435	477674
436	457407
437	441174
438	448474
439	393974
440	463274
441	560707
442	1473970
443	2349110
444	1369970
445	683674
446	552607
447	594474
448	500407
449	489574
450	475074
451	442825
452	500274
453	601107
454	1317070
455	2067810
456	1025070
457	796174
458	614607
459	565374
460	521807
461	491774
462	559874
463	447174
464	466174
465	1091610
466	2100870
467	1448310
468	884274
469	627674
470	542407
471	541774
472	473507
473	474774
474	495074
475	412174
476	458974
477	533407
478	1663270
479	2405010
480	1184270
481	696074
482	608507
483	565474
484	544807
485	533374
486	515874
487	447674
488	536574
489	910407
490	2583670
491	3173910
492	1722970
493	922574
494	734707
495	716474
496	613107
497	595474
498	551074
499	482508
500	723774
501	1009710
502	2270470
503	2787810
504	1273370
505	812674
506	707107
507	694474
508	588607
509	549574
510	527274
511	455574
512	497974
513	700007
514	1639870
515	1461710
516	823974
517	615074
518	582507
519	557474
520	592807
521	512074
522	495474
523	435174
524	583674
525	1001510
526	2201770
527	3054510
528	1412570
529	804874
530	604907
531	626574
532	545707
533	536774
534	525874
535	467774
536	511774
537	539907
538	1369670
539	2582210
540	1985570
541	861874
542	624007
543	607374
544	543407
545	546574
546	509274
547	438963
548	493974
549	790007
550	2531170
551	2439210
552	1324870
553	800174
554	641007
