time	ModBrownleeFlowData
1	702245
2	757661
3	938541
4	1.05E+06
5	927965
6	925997
7	806006
8	1.11E+06
9	1.20E+06
10	957356
11	855188
12	639098
13	647214
14	643652
15	671563
16	686566
17	957971
18	758014
19	1.12E+06
20	850983
21	876014
22	834381
23	637226
24	617086
25	680233
26	704643
27	715527
28	672055
29	660004
30	684967
31	620013
32	819993
33	742012
34	625386
35	576234
36	504072
37	505240
38	573616
39	661541
40	774370
41	790971
42	679003
43	622734
44	1.23E+06
45	1.26E+06
46	1.57E+06
47	1.23E+06
48	718047
49	636208
50	671619
51	731513
52	760966
53	713989
54	697019
55	634008
56	838993
57	1.02E+06
58	1.16E+06
59	1.38E+06
60	649059
61	643218
62	654660
63	711530
64	743380
65	767975
66	849999
67	710982
68	789988
69	789020
70	639405
71	515183
72	455067
73	462261
74	558621
75	662525
76	696896
77	679987
78	679987
79	630010
80	729976
81	1.08E+06
82	902386
83	748200
84	620098
85	627231
86	604617
87	719523
88	800194
89	766007
90	735018
91	725089
92	921017
93	2.04E+06
94	1.55E+06
95	1.08E+06
96	652072
97	700216
98	682627
99	708517
100	712391
101	713989
102	656991
103	632009
104	792017
105	939981
106	851352
107	754210
108	621082
109	509237
110	637642
111	777506
112	890089
113	1.07E+06
114	857009
115	901974
116	1.32E+06
117	2470000
118	2.39E+06
119	1.59E+06
120	930055
121	707226
122	733622
123	808557
124	897344
125	1.06E+06
126	894024
127	925021
128	1.24E+06
129	1.52E+06
130	932392
131	685186
132	656068
133	573245
134	682627
135	735510
136	720630
137	732005
138	773017
139	928798
140	1.34E+06
141	1.56E+06
142	1.19E+06
143	811214
144	639098
145	551233
146	743618
147	778551
148	808495
149	827003
150	857009
151	942016
152	1.21E+06
153	1.09E+06
154	1.12E+06
155	1.06E+06
156	687058
157	735202
158	765635
159	754509
160	831184
161	984963
162	846986
163	907972
164	1.04E+06
165	1.76E+06
166	1.38E+06
167	1.31E+06
168	709070
169	657237
170	743618
171	858546
172	982074
173	1.06E+06
174	1.71E+06
175	1.66E+06
176	2.37E+06
177	4.11E+06
178	2.11E+06
179	1.86E+06
180	1.45E+06
181	896237
182	873634
183	1.15E+06
184	1.09E+06
185	1.12E+06
186	963996
187	872817
188	956003
189	1.11E+06
190	852397
191	868219
192	653056
193	679249
194	733622
195	761519
196	882895
197	828970
198	974019
199	1.13E+06
200	1.14E+06
201	1.03E+06
202	1.83E+06
203	1.34E+06
204	730099
205	693207
206	856616
207	1.20E+06
208	1.06E+06
209	1.23E+06
210	1.29E+06
211	1.21E+06
212	1.95E+06
213	2.69E+06
214	2.22E+06
215	1.16E+06
216	733050
217	700216
218	840669
219	923538
220	1.18E+06
221	1.37E+06
222	1.14E+06
223	1.20E+06
224	1.59E+06
225	1.28E+06
226	1.49E+06
227	1.23E+06
228	701077
229	687242
230	761648
231	854549
232	1.06E+06
233	1.15E+06
234	1.15E+06
235	1.10E+06
236	1.12E+06
237	1.18E+06
238	2.00E+06
239	1.70E+06
240	767053
241	688226
242	746653
243	802531
244	906629
245	1.00E+06
246	957971
247	1.09E+06
248	1.55E+06
249	1.59E+06
250	2.13E+06
251	1.07E+06
252	649059
253	663262
254	729635
255	821530
256	908719
257	1.04E+06
258	1.16E+06
259	1.21E+06
260	1.60E+06
261	2.11E+06
262	1.55E+06
263	1.63E+06
264	1.03E+06
265	884247
266	1.02E+06
267	1.32E+06
268	1.32E+06
269	1.29E+06
270	1.41E+06
271	1.74E+06
272	1.73E+06
273	2.57E+06
274	2.00E+06
275	1.20E+06
276	770066
277	750205
278	1.03E+06
279	1.35E+06
280	1.19E+06
281	1.37E+06
282	1.33E+06
283	1.46E+06
284	1.76E+06
285	4.65E+06
286	3.53E+06
287	1.76E+06
288	929072
289	720261
290	785628
291	848523
292	990374
293	1.07E+06
294	1.42E+06
295	1.35E+06
296	1.29E+06
297	1.44E+06
298	1.60E+06
299	2.12E+06
300	933068
301	712206
302	794613
303	839546
304	896299
305	1.09E+06
306	1.18E+06
307	1.24E+06
308	1.36E+06
309	1.44E+06
310	1.48E+06
311	1.19E+06
312	755063
313	700216
314	790626
315	764532
316	841575
317	1.02E+06
318	986992
319	885979
320	927965
321	963009
322	1.07E+06
323	971220
324	697080
325	658220
326	722613
327	869552
328	906629
329	1.41E+06
330	1.89E+06
331	1.46E+06
332	2.03E+06
333	2.69E+06
334	2.44E+06
335	2.06E+06
336	800071
337	744241
338	812643
339	1.15E+06
340	1.14E+06
341	1.18E+06
342	1.19E+06
343	1.62E+06
344	2.04E+06
345	2.23E+06
346	2.98E+06
347	1.61E+06
348	745102
349	715219
350	808656
351	1.03E+06
352	1.01E+06
353	1.17E+06
354	1.05E+06
355	1.55E+06
356	1.28E+06
357	2.26E+06
358	2.90E+06
359	1.72E+06
360	737047
361	673223
362	756650
363	799518
364	798165
365	811016
366	1.07E+06
367	1.04E+06
368	889966
369	1.05E+06
370	1.08E+06
371	1.07E+06
372	663016
373	729976
374	917012
375	872995
376	790479
377	858976
378	1.04E+06
379	1.04E+06
380	1.52E+06
381	1.56E+06
382	1.11E+06
383	1.11E+06
384	664000
385	638975
386	690005
387	754017
388	799825
389	736002
390	691977
391	874983
392	885969
393	774025
394	936020
395	870004
396	581976
397	511020
398	620981
399	754017
400	848339
401	831983
402	765024
403	1.01E+06
404	982012
405	1.79E+06
406	1.32E+06
407	1.16E+06
408	671010
409	689026
410	698990
411	895008
412	938233
413	1.20E+06
414	980967
415	1.54E+06
416	949977
417	1.15E+06
418	1.29E+06
419	1.65E+06
420	732005
421	694990
422	789972
423	815013
424	902079
425	869982
426	919971
427	951013
428	1.17E+06
429	1.55E+06
430	1.56E+06
431	1.98E+06
432	758014
433	709009
434	806990
435	884001
436	1.16E+06
437	1.83E+06
438	1.96E+06
439	1.90E+06
440	2.14E+06
441	3.09E+06
442	2.56E+06
443	2.02E+06
444	1.18E+06
445	1.20E+06
446	1.20E+06
447	1.46E+06
448	932084
449	1070000
450	1.01E+06
451	893976
452	1.10E+06
453	1.01E+06
454	865002
455	757007
456	652010
457	572999
458	656981
459	789988
460	865924
461	868999
462	933991
463	858988
464	910011
465	914989
466	1.43E+06
467	1.71E+06
468	798965
469	674023
470	750997
471	1.14E+06
472	1.04E+06
473	1.03E+06
474	1.05E+06
475	1.23E+06
476	1.20E+06
477	685007
478	804990
479	804015
480	629998
481	793984
482	969018
483	1.13E+06
484	1.05E+06
485	1.03E+06
486	1.38E+06
487	1.20E+06
488	1.48E+06
489	2.78E+06
490	2.49E+06
491	1.36E+06
492	740982
493	737969
494	798005
495	858976
496	960983
497	1.03E+06
498	1.66E+06
499	1.37E+06
500	1.33E+06
501	1.02E+06
502	2.24E+06
503	2.12E+06
504	976970
505	770988
506	1.10E+06
507	963012
508	1.37E+06
509	1.45E+06
510	2.40E+06
511	2.06E+06
512	2.45E+06
513	3.39E+06
514	3.49E+06
515	2.65E+06
516	1.42E+06
517	1.08E+06
518	1.15E+06
519	1.24E+06
520	1.64E+06
521	1.31E+06
522	1.91E+06
523	1.88E+06
524	3.52E+06
525	2.42E+06
526	2.33E+06
527	2.30E+06
528	884001
529	915975
530	1.21E+06
531	1.52E+06
532	1.10E+06
533	1.15E+06
534	1.15E+06
535	980003
536	1.17E+06
537	1.16E+06
538	1.31E+06
539	790983
540	693022
541	705996
542	820021
543	1.03E+06
544	1.32E+06
545	1.43E+06
546	1.97E+06
547	1.57E+06
548	2.47E+06
549	3.34E+06
550	2.40E+06
551	2.42E+06
552	1.18E+06
553	1.01E+06
554	856973
555	1.54E+06
556	1.08E+06
557	1.13E+06
558	1.23E+06
559	1.31E+06
560	1.65E+06
561	1.83E+06
562	2.76E+06
563	2.34E+06
564	1.60E+06
565	1.14E+06
566	1.01E+06
567	1.59E+06
568	1.12E+06
569	1.39E+06
570	1.27E+06
571	1.24E+06
572	1.57E+06
573	2.50E+06
574	2.60E+06
575	1.90E+06
576	785007
577	1.02E+06
578	1.35E+06
579	1.09E+06
580	900050
581	926981
582	945981
583	884979
584	781010
585	547018
586	564022
587	552016
588	493988
589	498969
590	584981
591	736986
592	796690
593	982012
594	964980
595	989999
596	1.31E+06
597	1.83E+06
598	1.68E+06
599	1.21E+06
600	906998
601	766991
602	979967
603	1.11E+06
604	889720
605	956003
606	999966
607	1.13E+06
608	1.34E+06
609	1.04E+06
610	1.15E+06
611	716008
612	634978
613	672977
614	693992
615	736986
616	847355
617	812984
618	1.11E+06
619	1.12E+06
620	1.14E+06
621	1.44E+06
622	1.87E+06
623	1.76E+06
624	808987
625	695974
626	852986
627	747992
628	956864
629	1.27E+06
630	1.03E+06
631	1.12E+06
632	1.05E+06
633	1.15E+06
634	1.10E+06
635	1.11E+06
636	648997
637	674997
638	671976
639	876992
640	983734
641	1.14E+06
642	1.29E+06
643	2.22E+06
644	2.33E+06
645	3.05E+06
646	2.82E+06
647	2.07E+06
648	1.52E+06
649	1.01E+06
650	1.08E+06
651	1.58E+06
652	1.26E+06
653	1.42E+06
654	1.94E+06
655	2.21E+06
656	3.49E+06
657	2.85E+06
658	3.33E+06
659	2.16E+06
660	1.40E+06
661	1.22E+06
662	984013
663	1.47E+06
664	1.51E+06
665	1.51E+06
666	1.94E+06
667	1.85E+06
668	3.30E+06
669	3.64E+06
670	4.01E+06
671	3.16E+06
672	1.23E+06
673	1.30E+06
674	1.15E+06
675	1.52E+06
676	1.27E+06
677	1.27E+06
678	1.18E+06
679	1.19E+06
680	1.52E+06
681	2.39E+06
682	1.54E+06
683	866969
684	687022
685	729976
686	896007
687	1.01E+06
688	964119
689	983980
690	1.74E+06
691	2.78E+06
692	3.46E+06
693	3.14E+06
694	2.33E+06
695	1.86E+06
696	857992
697	784023
698	1.16E+06
699	1.37E+06
700	959938
701	1.10E+06
702	1.04E+06
703	998996
704	1.13E+06
705	702977
706	762011
707	696967
708	625017
709	622988
710	659004
711	708015
712	742950
713	713989
714	703967
715	682603
716	751988
717	702977
718	698003
719	700002
720	538013
721	565006
722	584981
723	641988
724	838009
725	793000
726	670026
727	686990
728	1.60E+06
729	1.72E+06
730	1.09E+06
731	810024
732	670026
733	720015
734	729992
735	815013
736	794599
737	718970
738	714973
739	602019
740	796013
741	760993
742	800010
743	835016
744	459002
745	525003
746	598013
747	722966
748	723335
749	607985
750	766007
751	637007
752	657974
753	594026
754	828970
755	670012
756	531003
757	485011
758	613008
759	667997
760	722290
761	702983
762	713989
763	713537
764	698986
765	537021
766	481014
767	376004
768	405016
769	340024
770	414027
771	554000
772	637561
773	655023
774	720015
775	638007
776	1.76E+06
777	1.70E+06
778	1.85E+06
779	1.69E+06
780	732005
781	743995
782	655017
783	789988
784	740921
785	804007
786	834012
787	693988
788	887014
789	758018
790	870966
791	553980
792	561993
793	492021
794	502985
795	686996
796	674628
797	694990
798	944997
799	997997
800	1.28E+06
801	1.25E+06
802	2.21E+06
803	2.06E+06
804	1.04E+06
805	676974
806	750997
807	819993
808	863834
809	1.24E+06
810	1.25E+06
811	1.93E+06
812	2.81E+06
813	2.90E+06
814	2.42E+06
815	2.09E+06
816	902017
817	765014
818	755995
819	828970
820	935159
821	1.40E+06
822	2.87E+06
823	2.83E+06
824	3.18E+06
825	2.82E+06
826	2.69E+06
827	3.09E+06
828	1.20E+06
829	982012
830	1.19E+06
831	1.27E+06
832	1.13E+06
833	1.25E+06
834	1.25E+06
835	1.28E+06
836	1.82E+06
837	1.93E+06
838	3.37E+06
839	2.59E+06
840	1.07E+06
841	752972
842	884999
843	959016
844	1.01E+06
845	1.32E+06
846	1.41E+06
847	1.47E+06
848	2.66E+06
849	2.41E+06
850	2.27E+06
851	2.38E+06
852	885969
853	800010
854	784021
