time	ModHellsCanyonFlowData
1	706914
2	762987
3	945136
4	1.06E+06
5	944231
6	949251
7	825549
8	1.16E+06
9	1.26E+06
10	1.05E+06
11	949620
12	656068
13	651017
14	647698
15	677716
16	695287
17	988206
18	776679
19	1.17E+06
20	901008
21	949828
22	887603
23	693278
24	627025
25	682782
26	708452
27	722012
28	680810
29	675108
30	710096
31	640820
32	856673
33	799730
34	690360
35	610479
36	509693
37	506984
38	576948
39	666357
40	782974
41	807059
42	700688
43	641379
44	1.28E+06
45	1.37E+06
46	1.73E+06
47	1.33E+06
48	739538
49	640845
50	676052
51	737005
52	773707
53	731057
54	721860
55	651504
56	870520
57	1.09E+06
58	1.26E+06
59	1.55E+06
60	676193
61	648450
62	659093
63	717998
64	757126
65	800809
66	915088
67	766620
68	870373
69	869796
70	691788
71	549547
72	462269
73	464560
74	562221
75	668041
76	710011
77	699468
78	708376
79	657116
80	760184
81	1.15E+06
82	993048
83	830553
84	634474
85	630529
86	608455
87	724813
88	809205
89	779505
90	754438
91	743957
92	955951
93	2.13E+06
94	1.64E+06
95	1.13E+06
96	659101
97	702237
98	686048
99	712910
100	719606
101	728193
102	672442
103	647361
104	824767
105	985739
106	939917
107	820557
108	633713
109	512228
110	641450
111	783755
112	902578
113	1.11E+06
114	899183
115	942504
116	1.41E+06
117	2.62E+06
118	2.58E+06
119	1.76E+06
120	967346
121	714567
122	738798
123	817326
124	911615
125	1.09E+06
126	921370
127	947085
128	1.32E+06
129	1.60E+06
130	1.00E+06
131	725559
132	665496
133	575598
134	686108
135	740213
136	728399
137	750894
138	807732
139	964556
140	1.44E+06
141	1.68E+06
142	1.28E+06
143	877204
144	648793
145	553789
146	748081
147	791846
148	838997
149	861650
150	901462
151	979190
152	1.30E+06
153	1.18E+06
154	1.21E+06
155	1.18E+06
156	713519
157	740978
158	773638
159	763784
160	853498
161	1.11E+06
162	935093
163	977450
164	1.09E+06
165	1.91E+06
166	1.51E+06
167	1.42E+06
168	743101
169	663213
170	749807
171	865670
172	998945
173	1.09E+06
174	1.75E+06
175	1.72E+06
176	2.44E+06
177	4.26E+06
178	2.21E+06
179	1.97E+06
180	1.51E+06
181	905700
182	880477
183	1.16E+06
184	1.11E+06
185	1.14E+06
186	991991
187	897947
188	982891
189	1.18E+06
190	917322
191	943105
192	669437
193	683250
194	738055
195	767112
196	896624
197	847700
198	1.01E+06
199	1.16E+06
200	1.19E+06
201	1.10E+06
202	1.95E+06
203	1.46E+06
204	753871
205	698346
206	862179
207	1.21E+06
208	1.08E+06
209	1.26E+06
210	1.34E+06
211	1.24E+06
212	2.01E+06
213	2.82E+06
214	2.36E+06
215	1.25E+06
216	758929
217	706139
218	848523
219	933372
220	1.20E+06
221	1.44E+06
222	1.19E+06
223	1.26E+06
224	1.67E+06
225	1.36E+06
226	1.60E+06
227	1.30E+06
228	716189
229	691247
230	766795
231	867513
232	1.08E+06
233	1.19E+06
234	1.23E+06
235	1.14E+06
236	1.16E+06
237	1.30E+06
238	2.21E+06
239	1.88E+06
240	798104
241	695226
242	752960
243	811962
244	922304
245	1.02E+06
246	981566
247	1.12E+06
248	1.62E+06
249	1.70E+06
250	2.25E+06
251	1.15E+06
252	661943
253	667025
254	734068
255	829085
256	921193
257	1.07E+06
258	1.19E+06
259	1.25E+06
260	1.66E+06
261	2.17E+06
262	1.64E+06
263	1.75E+06
264	1.07E+06
265	890848
266	1.03E+06
267	1.33E+06
268	1.34E+06
269	1.34E+06
270	1.46E+06
271	1.80E+06
272	1.78E+06
273	2.69E+06
274	2.11E+06
275	1.28E+06
276	791822
277	754914
278	1.04E+06
279	1.35E+06
280	1.20E+06
281	1.41E+06
282	1.36E+06
283	1.50E+06
284	1.80E+06
285	4.80E+06
286	3.71E+06
287	1.90E+06
288	970411
289	727312
290	791906
291	855285
292	1.00E+06
293	1.09E+06
294	1.48E+06
295	1.39E+06
296	1.34E+06
297	1.53E+06
298	1.72E+06
299	2.27E+06
300	983291
301	721122
302	801039
303	846818
304	909515
305	1.11E+06
306	1.22E+06
307	1.30E+06
308	1.42E+06
309	1.53E+06
310	1.58E+06
311	1.27E+06
312	781088
313	705956
314	796666
315	772121
316	854771
317	1.04E+06
318	1.01E+06
319	906805
320	951173
321	1.01E+06
322	1.18E+06
323	1.08E+06
324	719827
325	663018
326	727820
327	878908
328	927479
329	1.50E+06
330	1.98E+06
331	1.51E+06
332	2.14E+06
333	2.86E+06
334	2.61E+06
335	2.20E+06
336	829645
337	751221
338	819932
339	1.16E+06
340	1.16E+06
341	1.21E+06
342	1.23E+06
343	1.68E+06
344	2.12E+06
345	2.31E+06
346	3.18E+06
347	1.72E+06
348	763871
349	720112
350	814368
351	1.04E+06
352	1.02E+06
353	1.19E+06
354	1.08E+06
355	1.58E+06
356	1.30E+06
357	2.29E+06
358	2.95E+06
359	1.77E+06
360	744074
361	674453
362	758435
363	801874
364	804136
365	821400
366	1.09E+06
367	1.06E+06
368	905272
369	1.08E+06
370	1.11E+06
371	1.11E+06
372	669272
373	730557
374	919482
375	878598
376	796650
377	867390
378	1.05E+06
379	1.05E+06
380	1.54E+06
381	1.59E+06
382	1.14E+06
383	1.14E+06
384	667184
385	639683
386	691255
387	756507
388	803503
389	743487
390	700825
391	893746
392	905476
393	793274
394	965135
395	902047
396	584741
397	511343
398	622052
399	755937
400	852084
401	839185
402	779071
403	1.02E+06
404	995547
405	1.83E+06
406	1.35E+06
407	1.19E+06
408	677601
409	689970
410	699972
411	903370
412	948099
413	1.23E+06
414	995174
415	1.57E+06
416	970895
417	1.18E+06
418	1.32E+06
419	1.68E+06
420	738931
421	696095
422	791846
423	816725
424	906575
425	876587
426	928185
427	958151
428	1.17E+06
429	1.57E+06
430	1.60E+06
431	2.02E+06
432	766305
433	710689
434	808894
435	885699
436	1.16E+06
437	1.84E+06
438	1.98E+06
439	1.93E+06
440	2.17E+06
441	3.12E+06
442	2.60E+06
443	2.06E+06
444	1.19E+06
445	1.22E+06
446	1.21E+06
447	1.50E+06
448	956467
449	1.09E+06
450	1.03E+06
451	916296
452	1.17E+06
453	1.09E+06
454	935454
455	810768
456	663401
457	573725
458	663496
459	796942
460	876980
461	914717
462	983853
463	902648
464	952786
465	963752
466	1.54E+06
467	1.87E+06
468	847163
469	692925
470	774768
471	1.14E+06
472	1.06E+06
473	1.08E+06
474	1.10E+06
475	1.32E+06
476	1.24E+06
477	742220
478	882970
479	876222
480	666259
481	849638
482	994069
483	1.16E+06
484	1.08E+06
485	1.03E+06
486	1.49E+06
487	1.31E+06
488	1.62E+06
489	2.98E+06
490	2.66E+06
491	1.52E+06
492	799066
493	766261
494	828768
495	903792
496	995400
497	1.10E+06
498	1.79E+06
499	1.51E+06
500	1.45E+06
501	1.12E+06
502	2.40E+06
503	2.30E+06
504	1.02E+06
505	755015
506	1.12E+06
507	1.00E+06
508	1.44E+06
509	1.58E+06
510	2.60E+06
511	2.29E+06
512	2.71E+06
513	3.59E+06
514	3.73E+06
515	2.93E+06
516	1.51E+06
517	1.09E+06
518	1.17E+06
519	1.25E+06
520	1.66E+06
521	1.33E+06
522	1.96E+06
523	1.91E+06
524	3.66E+06
525	2.49E+06
526	2.47E+06
527	2.45E+06
528	910012
529	915772
530	1.22E+06
531	1.52E+06
532	1.12E+06
533	1.18E+06
534	1.19E+06
535	1.01E+06
536	1.24E+06
537	1.22E+06
538	1.43E+06
539	843793
540	695997
541	705359
542	830910
543	1.04E+06
544	1.37E+06
545	1.51E+06
546	2.11E+06
547	1.62E+06
548	2.58E+06
549	3.46E+06
550	2.54E+06
551	2.68E+06
552	1.26E+06
553	1.02E+06
554	853700
555	1.56E+06
556	1.10E+06
557	1.14E+06
558	1.25E+06
559	1.34E+06
560	1.73E+06
561	1.91E+06
562	2.90E+06
563	2.49E+06
564	1.65E+06
565	1.15E+06
566	1.03E+06
567	1.59E+06
568	1.13E+06
569	1.42E+06
570	1.30E+06
571	1.27E+06
572	1.62E+06
573	2.63E+06
574	2.74E+06
575	1.97E+06
576	798183
577	1.04E+06
578	1.36E+06
579	1.10E+06
580	903384
581	940322
582	952913
583	894831
584	791598
585	552819
586	573348
587	562013
588	498261
589	491189
590	591378
591	749454
592	809289
593	1.05E+06
594	1.02E+06
595	1.04E+06
596	1.39E+06
597	1.98E+06
598	1.79E+06
599	1.33E+06
600	941684
601	783652
602	988982
603	1.12E+06
604	899881
605	956856
606	999766
607	1.18E+06
608	1.44E+06
609	1.11E+06
610	1.27E+06
611	793631
612	638576
613	668296
614	693665
615	758607
616	855493
617	836769
618	1.13E+06
619	1.18E+06
620	1.19E+06
621	1.53E+06
622	2.00E+06
623	1.85E+06
624	838511
625	699369
626	860127
627	756731
628	970952
629	1.33E+06
630	1.07E+06
631	1.19E+06
632	1.10E+06
633	1.21E+06
634	1.19E+06
635	1.20E+06
636	658203
637	683158
638	676766
639	884101
640	1.01E+06
641	1.20E+06
642	1.32E+06
643	2.33E+06
644	2.44E+06
645	3.16E+06
646	2.97E+06
647	2.21E+06
648	1.57E+06
649	1.02E+06
650	1.08E+06
651	1.60E+06
652	1.27E+06
653	1.45E+06
654	1.99E+06
655	2.29E+06
656	3.64E+06
657	2.96E+06
658	3.49E+06
659	2.31E+06
660	1.47E+06
661	1.24E+06
662	990827
663	1.47E+06
664	1.54E+06
665	1.56E+06
666	1.95E+06
667	1.87E+06
668	3.43E+06
669	3.73E+06
670	4.16E+06
671	3.30E+06
672	1.30E+06
673	1.30E+06
674	1.16E+06
675	1.54E+06
676	1.29E+06
677	1.30E+06
678	1.20E+06
679	1.21E+06
680	1.57E+06
681	2.51E+06
682	1.65E+06
683	936797
684	691836
685	730026
686	915108
687	1.01E+06
688	982637
689	999260
690	1.76E+06
691	2.90E+06
692	3.62E+06
693	3.23E+06
694	2.43E+06
695	1.94E+06
696	870056
697	787415
698	1.16E+06
699	1.38E+06
700	973178
701	1.11E+06
702	1.05E+06
703	1.03E+06
704	1.22E+06
705	757215
706	829298
707	708124
708	629044
709	626449
710	661711
711	704044
712	756858
713	725551
714	709796
715	704370
716	798296
717	756441
718	745181
719	735942
720	542404
721	565867
722	583851
723	649945
724	850935
725	804352
726	679324
727	688766
728	1.76E+06
729	1.86E+06
730	1.20E+06
731	907373
732	684442
733	723486
734	740465
735	827838
736	814922
737	728889
738	733352
739	621122
740	870954
741	858758
742	878634
743	900351
744	470288
745	531099
746	601345
747	726451
748	735097
749	625442
750	773336
751	676212
752	686253
753	647549
754	918658
755	730230
756	547083
757	487439
758	619583
759	670887
760	737364
761	719646
762	726483
763	762701
764	746946
765	587689
766	523268
767	392725
768	412032
769	347085
770	421286
771	558056
772	646040
773	664310
774	735411
775	655374
776	1.89E+06
777	1.82E+06
778	2.01E+06
779	1.79E+06
780	754194
781	751711
782	659391
783	791543
784	749168
785	823409
786	850269
787	706276
788	963602
789	828411
790	946062
791	577811
792	562279
793	500422
794	507805
795	689176
796	682542
797	717216
798	1.02E+06
799	1.10E+06
800	1.40E+06
801	1.34E+06
802	2.37E+06
803	2.19E+06
804	1.09E+06
805	687578
806	758970
807	830646
808	887371
809	1.31E+06
810	1.29E+06
811	2.03E+06
812	2.89E+06
813	3.03E+06
814	2.59E+06
815	2.19E+06
816	934312
817	766985
818	772061
819	834572
820	943585
821	1.50E+06
822	3.18E+06
823	2.88E+06
824	3.28E+06
825	2.96E+06
826	2.85E+06
827	3.23E+06
828	1.24E+06
829	989831
830	1.20E+06
831	1.27E+06
832	1.15E+06
833	1.27E+06
834	1.29E+06
835	1.33E+06
836	1.92E+06
837	2.02E+06
838	3.55E+06
839	2.72E+06
840	1.10E+06
841	761305
842	892050
843	956759
844	1.03E+06
845	1.37E+06
846	1.46E+06
847	1.52E+06
848	2.76E+06
849	2.52E+06
850	2.42E+06
851	2.51E+06
852	921870
853	811419
854	791787
