week	BoiseFlood1	BoiseFlood2	BoiseFlood3	BoiseFlood4	BoiseFlood5	BoiseFlood6	BoiseFlood7
1	1011000	1011000	1011000	1011000	1011000	1011000	1011000
2	1011000	1011000	1011000	1011000	1011000	1011000	1011000
3	1011000	1011000	1011000	1011000	1011000	1011000	1011000
4	1011000	1011000	1011000	1011000	1011000	1011000	1011000
5	1011000	1011000	1011000	1011000	1011000	1011000	1011000
6	1011000	1011000	1011000	1011000	1011000	1011000	1011000
7	1011000	1011000	1011000	1011000	1011000	1011000	1011000
8	1011000	1011000	1011000	1011000	1011000	1011000	1011000
9	1011000	1011000	1011000	1011000	1011000	1011000	1011000
10	1011000	1011000	1011000	1011000	1011000	1011000	1011000
11	1011000	1011000	1011000	1011000	1011000	1011000	1011000
12	1011000	1011000	1011000	1011000	1011000	1011000	1011000
13	1011000	1011000	1011000	1011000	1011000	1011000	1011000
14	711000	711000	711000	711000	711000	711000	711000
15	711000	711000	711000	711000	711000	711000	711000
16	711000	711000	711000	711000	711000	711000	711000
17	711000	711000	711000	711000	711000	711000	711000
18	711000	711000	711000	711000	711000	711000	711000
19	711000	711000	711000	711000	711000	711000	711000
20	711000	711000	711000	711000	711000	711000	711000
21	711000	711000	711000	711000	711000	711000	711000
22	711000	711000	711000	711000	711000	711000	711000
23	861000	861000	861000	861000	861000	676000	281000
24	861000	861000	861000	861000	846000	621000	236000
25	861000	861000	861000	861000	821000	601000	186000
26	861000	861000	861000	861000	791000	561000	136000
27	861000	861000	861000	861000	781000	511000	81000
28	861000	861000	861000	861000	751000	461000	61300
29	861000	861000	861000	861000	761000	401000	61300
30	861000	861000	861000	861000	711000	346000	61300
31	861000	861000	861000	861000	636000	286000	61300
32	961000	961000	961000	876000	586000	211000	61300
33	961000	961000	961000	836000	521000	161000	61300
34	961000	961000	961000	786000	451000	71000	61300
35	961000	961000	961000	736000	396000	61300	61300
36	1011000	1011000	911000	681000	321000	61300	61300
37	1011000	1011000	886000	621000	251000	61300	61300
38	1011000	1011000	841000	561000	181000	61300	61300
39	1011000	1011000	811000	496000	121000	61300	61300
40	1011000	993000	761000	436000	61300	61300	61300
41	1011000	977000	736000	361000	61300	61300	61300
42	1011000	961000	711000	286000	61300	61300	61300
43	1011000	941000	651000	261000	61300	61300	61300
44	1011000	921000	611000	201000	61300	61300	61300
45	1011000	891000	561000	121000	61300	61300	61300
46	1011000	861000	491000	211000	211000	211000	211000
47	1011000	841000	436000	461000	461000	461000	461000
48	1011000	821000	661000	661000	661000	661000	661000
49	1011000	801000	801000	801000	801000	801000	801000
50	1011000	1011000	1011000	1011000	1011000	1011000	1011000
51	1011000	1011000	1011000	1011000	1011000	1011000	1011000
52	1011000	1011000	1011000	1011000	1011000	1011000	1011000
