Week cfs
1 10202.8438538206
2 9979.67774086379
3 9985.55149501661
4 10180.4169435216
5 10508.7906976744
6 10835.2657807309
7 11508.2375415282
8 12100.6146179402
9 12506.0016611296
10 12881.1179401993
11 13121.9169435216
12 13495.561461794
13 13566.1013289037
14 13804.3205980066
15 13744.9966777409
16 13438.1328903654
17 13440.4634551495
18 13639.1511627907
19 13930.1511627907
20 14051.7026578073
21 14581.3571428571
22 14841.6526610644
23 15950.5315614618
24 15788.1046511628
25 16171.1162790698
26 16116.7142857143
27 15981.5863787375
28 16658.5249169435
29 16665.207641196
30 19852.8588039867
31 20585.7657807309
32 20674.146179402
33 21926.5398671096
34 24533.5631229236
35 25522.9086378738
36 25141.4219269103
37 26425.6013289037
38 26402.5249169435
39 27728.8936877076
40 26804.1727574751
41 25633.8338870432
42 26862.303986711
43 28615.0199335548
44 28997.9468438538
45 28232.6196013289
46 26383.1212624585
47 23549.0398671096
48 19262.926910299
49 16193.8588039867
50 13780.523255814
51 11955.3322259136
52 10820.7441860465
