week	CLIJCRuleCurve
1	589210
2	589210
3	589210
4	589210
5	589210
6	601908
7	614605
8	627303
9	640000
10	652000
11	664000
12	676000
13	688000
14	700000
15	712500
16	725000
17	737500
18	750000
19	766683
20	783365
21	800048
22	816730
23	786576
24	756422
25	726268
26	696114
27	665960
28	621063
29	576165
30	531268
31	486370
32	402130
33	317890
34	233650
35	149410
36	173308
37	197205
38	221103
39	245000
40	267000
41	289000
42	311000
43	333000
44	355000
45	386250
46	417500
47	448750
48	480000
49	507303
50	534605
51	561908
52	589210
