week	CLIJCRuleCurve
1	593600
2	638280
3	682960
4	727640
5	772320
6	817000
7	817000
8	817000
9	817000
10	817000
11	817000
12	817000
13	817000
14	817000
15	817000
16	817000
17	817000
18	817000
19	817000
20	817000
21	817000
22	817000
23	816730
24	816730
25	779185
26	741641
27	704096
28	670000
29	626375
30	582750
31	539125
32	495500
33	413175
34	330850
35	248525
36	166200
37	191341
38	216482
39	241624
40	266765
41	291906
42	317047
43	342188
44	367329
45	392471
46	417612
47	442753
48	467894
49	493035
50	518176
51	543318
52	568459
