Elevation	Volume
1739.1	145200
1739.2	155700
1739.3	166200
1739.4	176700
1739.5	187100
1739.6	197600
1739.7	208100
1739.8	218600
1739.9	229100
1740	239600
1740.1	250300
1740.2	260900
1740.3	271600
1740.4	282300
1740.5	292900
1740.6	303600
1740.7	314200
1740.8	324900
1740.9	335600
1741	346200
1741.1	356900
1741.2	367600
1741.3	378200
1741.4	388900
1741.5	399600
1741.6	410200
1741.7	420900
1741.8	431600
1741.9	442200
1742	452900
1742.1	463500
1742.2	474200
1742.3	484900
1742.4	495500
1742.5	506200
1742.6	517100
1742.7	528000
1742.8	539000
1742.9	549900
1743	560800
1743.1	571700
1743.2	582600
1743.3	593600
1743.4	604500
1743.5	615400
1743.6	626300
1743.7	637200
1743.8	648200
1743.9	659100
1744	670000
1744.1	681300
1744.2	692600
1744.3	703900
1744.4	715200
1744.5	726500
1744.6	737800
1744.7	749100
1744.8	760500
1744.9	771800
1745	783100
1745.1	794400
1745.2	805700
1745.3	817000
