Week_Number	Normal	Dry
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 25000 25000
20 50000 50000
21 75000 75000
22 100000 100000
23 125000 125000
24 406250 447917
25 687500 770834
26 968750 1093751
27 1250000 1416668
28 1281250 1489585
29 1312500 1562502
30 1343750 1635419
31 1375000 1708336
32 1400000 1766669
33 1425000 1825002
34 1450000 1883335
35 1475000 1941668
36 1500000 2000001
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
