Week_Number Normal Dry 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 0 
11 0 0 
12 0 0 
13 0 0 
14 0 0 
15 0 0 
16 0 0 
17 0 0 
18 25000 25000 
19 25000 25000 
20 25000 25000 
21 25000 25000 
22 25000 25000 
23 281250 322917 
24 281250 322917 
25 281250 322917 
26 281250 322917 
27 31250 72917 
28 31250 72917 
29 31250 72917 
30 31250 72917 
31 25000 58333 
32 25000 58333 
33 25000 58333 
34 25000 58333 
35 25000 58333 
36 0 0 
37 0 0 
38 0 0 
39 0 0 
40 0 0 
41 0 0 
42 0 0 
43 0 0 
44 0 0 
45 0 0 
46 0 0 
47 0 0 
48 0 0 
49 0 0 
50 0 0 
51 0 0 
52 0 0 
