week	CHFlood
1	1668917
2	1661833
3	1654750
4	1647667
5	1640583
6	1633500
7	1617133
8	1600767
9	1584400
10	1574007
11	1563613
12	1553220
13	1542827
14	1532433
15	1522040
16	1511647
17	1501253
18	1490860
19	1480467
20	1470073
21	1459680
22	1449287
23	1438893
24	1428500
25	1418107
26	1407713
27	1397320
28	1386927
29	1376533
30	1366140
31	1355747
32	1345353
33	1334960
34	1324567
35	1314173
36	1303780
37	1293387
38	1282993
39	1272600
40	1314040
41	1355480
42	1396920
43	1438360
44	1479800
45	1512500
46	1545200
47	1577900
48	1610600
49	1626950
50	1643300
51	1659650
52	1676000
