Elevation	Volume
1079	998600
1079.1	1001800
1079.2	1004900
1079.3	1008100
1079.4	1011300
1079.5	1014500
1079.6	1017600
1079.7	1020800
1079.8	1024000
1079.9	1027100
1080	1030300
1080.1	1033500
1080.2	1036700
1080.3	1039800
1080.4	1043000
1080.5	1046200
1080.6	1049300
1080.7	1052500
1080.8	1055700
1080.9	1058900
1081	1062000
1081.1	1065200
1081.2	1068400
1081.3	1071500
1081.4	1074700
1081.5	1077900
1081.6	1081100
1081.7	1084200
1081.8	1087400
1081.9	1090600
1082	1093700
1082.1	1096900
1082.2	1100100
1082.3	1103300
1082.4	1106400
1082.5	1109600
1082.6	1112800
1082.7	1115900
1082.8	1119100
1082.9	1122300
1083	1125500
1083.1	1128600
1083.2	1131800
1083.3	1135000
1083.4	1138100
1083.5	1141300
1083.6	1144500
1083.7	1147700
1083.8	1150800
1083.9	1154000
1084	1157200
1084.1	1160300
1084.2	1163500
1084.3	1166700
1084.4	1169900
1084.5	1173000
1084.6	1176200
1084.7	1179400
1084.8	1182500
1084.9	1185700
1085	1188900
1085.1	1192100
1085.2	1195200
1085.3	1198400
1085.4	1201600
1085.5	1204800
1085.6	1208100
1085.7	1211300
1085.8	1214500
1085.9	1217700
1086	1221000
1086.1	1224200
1086.2	1227400
1086.3	1230600
1086.4	1233900
1086.5	1237100
1086.6	1240300
1086.7	1243500
1086.8	1246800
1086.9	1250000
1087	1253200
1087.1	1256400
1087.2	1259700
1087.3	1262900
1087.4	1266100
1087.5	1269300
1087.6	1272600
1087.7	1275800
1087.8	1279000
1087.9	1282200
1088	1285500
1088.1	1288700
1088.2	1291900
1088.3	1295100
1088.4	1298400
1088.5	1301600
1088.6	1304800
1088.7	1308000
1088.8	1311300
1088.9	1314500
1089	1317700
1089.1	1320900
1089.2	1324200
1089.3	1327400
1089.4	1330600
1089.5	1333800
1089.6	1337100
1089.7	1340300
1089.8	1343500
1089.9	1346700
1090	1350000
1090.1	1353200
1090.2	1356400
1090.3	1359600
1090.4	1362900
1090.5	1366100
1090.6	1369300
1090.7	1372500
1090.8	1375800
1090.9	1379000
1091	1382200
1091.1	1385400
1091.2	1388700
1091.3	1391900
1091.4	1395100
1091.5	1398300
1091.6	1401600
1091.7	1404800
1091.8	1408000
1091.9	1411200
1092	1414500
1092.1	1417700
1092.2	1420900
1092.3	1424200
1092.4	1427400
1092.5	1430700
1092.6	1434000
1092.7	1437300
1092.8	1440500
1092.9	1443800
1093	1447100
1093.1	1450300
1093.2	1453600
1093.3	1456900
1093.4	1460100
1093.5	1463400
1093.6	1466700
1093.7	1470000
1093.8	1473200
1093.9	1476500
1094	1479800
1094.1	1483000
1094.2	1486300
1094.3	1489600
1094.4	1492900
1094.5	1496100
1094.6	1499400
1094.7	1502700
1094.8	1505900
1094.9	1509200
1095	1512500
1095.1	1515700
1095.2	1519000
1095.3	1522300
1095.4	1525600
1095.5	1528800
1095.6	1532100
1095.7	1535400
1095.8	1538600
1095.9	1541900
1096	1545200
1096.1	1548400
1096.2	1551700
1096.3	1555000
1096.4	1558300
1096.5	1561500
1096.6	1564800
1096.7	1568100
1096.8	1571300
1096.9	1574600
1097	1577900
1097.1	1581200
1097.2	1584400
1097.3	1587700
1097.4	1591000
1097.5	1594200
1097.6	1597500
1097.7	1600800
1097.8	1604100
1097.9	1607300
1098	1610600
1098.1	1613900
1098.2	1617100
1098.3	1620400
1098.4	1623700
1098.5	1626900
1098.6	1630200
1098.7	1633500
1098.8	1636800
1098.9	1640000
1099	1643300
1099.1	1646600
1099.2	1649800
1099.3	1653100
1099.4	1656400
1099.5	1659600
1099.6	1662900
1099.7	1666200
1099.8	1669500
1099.9	1672700
1100	1676000
