Week Q20 Q80
1 15289 30565
2 12563 25246
3 11050 20707
4 10139 17270
5 9229 15438
6 6481 11295
7 5835 9949
8 5712 9937
9 5781 9642
10 5467 11821
11 4871 11252
12 5046 11958
13 5398 13625
14 7000 16785
15 7496 21830
16 7255 22612
17 7935 22143
18 6572 18194
19 7473 18370
20 7240 16955
21 7178 15882
22 6904 14637
23 7885 15296
24 8594 16660
25 8104 16333
26 8609 14259
27 9359 14531
28 8222 15278
29 8387 15027
30 8863 17859
31 8826 16738
32 9380 19135
33 10444 24266
34 11240 25351
35 12736 22582
36 14419 32537
37 16515 34010
38 19018 40461
39 24803 51386
40 31770 58916
41 33022 86500
42 52100 114343
43 58145 111776
44 68927 109821
45 67064 108109
46 57052 94998
47 47982 88384
48 41562 85834
49 36200 80913
50 30861 73446
51 24266 57028
52 20017 44021
