week	DU1931Refill
1	73190.25067
2	73190.25067
3	192992.1786
4	192992.1786
5	192992.1786
6	324496.6127
7	324496.6127
8	324496.6127
9	324496.6127
10	385389.3145
11	385389.3145
12	385389.3145
13	385389.3145
14	385389.3145
15	420100.138
16	420100.138
17	420100.138
18	420100.138
19	442315.065
20	442315.065
21	442315.065
22	442315.065
23	462546.5164
24	462546.5164
25	462546.5164
26	462546.5164
27	462546.5164
28	480596.1446
29	480596.1446
30	480596.1446
31	480596.1446
32	508563.151
33	508563.151
34	508563.151
35	508563.151
36	530183.0353
37	530183.0353
38	560926.9075
39	560926.9075
40	860828.4225
41	860828.4225
42	860828.4225
43	860828.4225
44	860828.4225
45	1100828.973
46	1100828.973
47	1100828.973
48	1100828.973
49	1399937.098
50	1399937.098
51	1399937.098
52	1399937.098
