week	DU1931Refill
1	25000
2	25000
3	25000
4	87182
5	149364
6	182240
7	215116
8	247992
9	280868
10	293046
11	305225
12	317403
13	329582
14	341760
15	350438
16	359115
17	367793
18	376471
19	382024
20	387578
21	393132
22	398686
23	402732
24	406778
25	410824
26	414871
27	418917
28	423479
29	428041
30	432603
31	437165
32	444157
33	451148
34	458140
35	465132
36	477231
37	489330
38	501330
39	513330
40	558474
41	603618
42	648761
43	693905
44	739049
45	828751
46	918454
47	1008156
48	1097859
49	1179619
50	1261379
51	1343140
52	1424900


