week	DU1931Refill
1	70223
2	70223
3	70223
4	114355
5	158487
6	183231
7	207975
8	232719
9	257463
10	268411
11	279360
12	290309
13	301258
14	312206
15	320834
16	329463
17	338091
18	346719
19	352223
20	357727
21	363231
22	368735
23	372782
24	376828
25	380874
26	384920
27	388967
28	391347
29	393727
30	396107
31	398487
32	402206
33	405925
34	409644
35	413363
36	421694
37	430024
38	439942
39	449859
40	507538
41	565218
42	622897
43	680576
44	738256
45	828156
46	918057
47	1007958
48	1097859
49	1179619
50	1261379
51	1343140
52	1424900

