week	DUCriticalCurve
1	1399937.098
2	1399937.098
3	1399937.098
4	1399937.098
5	1399937.098
6	1386052.769
7	1386052.769
8	1386052.769
9	1386052.769
10	1359077.5
11	1359077.5
12	1359077.5
13	1359077.5
14	1359077.5
15	1231738.365
16	1231738.365
17	1231738.365
18	1231738.365
19	873125.9714
20	873125.9714
21	873125.9714
22	873125.9714
23	708100.7991
24	708100.7991
25	708100.7991
26	708100.7991
27	708100.7991
28	514711.9254
29	514711.9254
30	514711.9254
31	514711.9254
32	326876.7835
33	326876.7835
34	326876.7835
35	326876.7835
36	277686.5879
37	277686.5879
38	300099.8625
39	300099.8625
40	533158.2488
41	533158.2488
42	533158.2488
43	533158.2488
44	533158.2488
45	1078217.351
46	1078217.351
47	1078217.351
48	1078217.351
49	1340234.482
50	1340234.482
51	1340234.482
52	1340234.482
