week	CRC1	CRC2	CRC3	CRC4
1	1347699	1019776	619578	448471
2	1386299	1154718	781562	448471
3	1424900	1289660	943545	448471
4	1423330	1283313	964570	422289
5	1421759	1276966	985594	396107
6	1410701	1250735	987082	388074
7	1399644	1224503	988570	380041
8	1388586	1198272	990057	372008
9	1377528	1172040	991545	363975
10	1361264	1140027	962031	347115
11	1344999	1108014	932517	330256
12	1328735	1076000	903003	313396
13	1312470	1043987	873489	296537
14	1296206	1011974	843975	279677
15	1250437	956586	806240	247446
16	1204669	901198	768504	215215
17	1158900	845809	730769	182983
18	1113131	790421	693033	150752
19	1042470	744454	631248	120901
20	971809	698487	569463	91050
21	901148	652520	507677	61198
22	830487	606553	445892	31347
23	776735	551928	402137	30474
24	722983	497303	358382	29601
25	669231	442679	314626	28729
26	615479	388054	270871	27856
27	561727	333429	227116	26983
28	515611	292173	191661	26487
29	469496	250917	156207	25992
30	423380	209661	120752	25496
31	377264	168405	85297	25000
32	348553	140190	73793	25000
33	319843	111975	62289	25000
34	291132	83760	50785	25000
35	262421	55545	39281	25000
36	246752	61298	40471	25000
37	231082	67050	41661	25000
38	232173	82620	37893	25000
39	233264	98190	34124	25000
40	278249	130084	75975	25000
41	323234	161978	117826	25000
42	368220	193873	159678	25000
43	413205	225767	201529	25000
44	458190	257661	243380	25000
45	592074	342306	276851	25000
46	725958	426950	310322	25000
47	859842	511595	343793	25000
48	993726	596239	377264	25000
49	1072569	668388	397347	25000
50	1151412	740537	417430	25000
51	1230255	812685	437512	25000
52	1309098	884834	457595	25000
