week	DUFlood1	DUFlood2	DUFlood3	DUFlood4	DUFlood5
1	1424900	1424900	1424900	1424900	1424900
2	1424900	1424900	1424900	1424900	1424900
3	1424900	1424900	1424900	1424900	1424900
4	1424900	1424900	1424900	1424900	1424900
5	1424900	1424900	1424900	1424900	1424900
6	1424900	1424900	1424900	1424900	1424900
7	1424900	1424900	1424900	1424900	1424900
8	1424900	1424900	1424900	1424900	1424900
9	1424900	1424900	1424900	1424900	1424900
10	1424900	1424900	1424900	1424900	1424900
11	1424900	1424900	1424900	1424900	1424900
12	1424900	1424900	1424900	1424900	1424900
13	1424900	1424900	1424900	1424900	1424900
14	1424900	1424900	1424900	1424900	1424900
15	1424900	1424900	1424900	1424900	1424900
16	1424900	1424900	1424900	1424900	1424900
17	1424900	1424900	1424900	1424900	1424900
18	1424900	1424900	1424900	1424900	1424900
19	1324900	1324900	1324900	1324900	1324900
20	1224900	1224900	1224900	1224900	1224900
21	1124900	1124900	1124900	1124900	1124900
22	1024900	1024900	1024900	1024900	1024900
23	994900	972678	950456	934456	913789
24	964900	920456	876011	844011	802678
25	934900	868233	801567	753567	691567
26	904900	816011	727122	663122	580456
27	874900	763789	652678	572678	469344
28	844900	711567	578233	482233	358233
29	814900	659344	503789	391789	247122
30	784900	607122	429344	301344	136011
31	754900	554900	354900	210900	24900
32	754900	554900	354900	182900	24900
33	754900	554900	354900	154900	24900
34	754900	554900	354900	154900	24900
35	754900	554900	354900	154900	24900
36	754900	554900	354900	154900	24900
37	754900	554900	354900	154900	24900
38	754900	554900	354900	154900	24900
39	754900	554900	354900	154900	24900
40	754900	554900	354900	154900	24900
41	754900	554900	354900	154900	24900
42	754900	554900	354900	154900	24900
43	754900	554900	354900	154900	24900
44	754900	554900	354900	154900	24900
45	754900	554900	354900	154900	24900
46	754900	554900	354900	154900	24900
47	754900	554900	354900	154900	24900
48	754900	554900	354900	154900	24900
49	1424900	1424900	1424900	1424900	1424900
50	1424900	1424900	1424900	1424900	1424900
51	1424900	1424900	1424900	1424900	1424900
52	1424900	1424900	1424900	1424900	1424900

