Elevation	Volume
1794	25000
1794.1	25000
1794.2	25000
1794.3	25800
1794.4	26700
1794.5	27500
1794.6	28300
1794.7	29200
1794.8	30000
1794.9	30800
1795	31700
1795.1	32500
1795.2	33300
1795.3	34200
1795.4	35000
1795.5	35800
1795.6	36700
1795.7	37500
1795.8	38300
1795.9	39200
1796	40000
1796.1	40800
1796.2	41700
1796.3	42500
1796.4	43300
1796.5	44200
1796.6	45000
1796.7	45800
1796.8	46700
1796.9	47500
1797	48300
1797.1	49200
1797.2	50000
1797.3	50800
1797.4	51700
1797.5	52500
1797.6	53300
1797.7	54200
1797.8	55000
1797.9	55900
1798	56700
1798.1	57500
1798.2	58400
1798.3	59200
1798.4	60000
1798.5	60900
1798.6	61700
1798.7	62700
1798.8	63700
1798.9	64700
1799	65700
1799.1	66700
1799.2	67700
1799.3	68700
1799.4	69600
1799.5	70600
1799.6	71600
1799.7	72600
1799.8	73600
1799.9	74600
1800	75600
1800.1	76600
1800.2	77600
1800.3	78600
1800.4	79600
1800.5	80600
1800.6	81600
1800.7	82600
1800.8	83600
1800.9	84600
1801	85600
1801.1	86600
1801.2	87500
1801.3	88500
1801.4	89500
1801.5	90500
1801.6	91500
1801.7	92500
1801.8	93500
1801.9	94500
1802	95500
1802.1	96500
1802.2	97500
1802.3	98500
1802.4	99500
1802.5	100500
1802.6	101500
1802.7	102500
1802.8	103500
1802.9	104500
1803	105500
1803.1	106400
1803.2	107400
1803.3	108400
1803.4	109400
1803.5	110400
1803.6	111400
1803.7	112400
1803.8	113400
1803.9	114400
1804	115400
1804.1	116400
1804.2	117400
1804.3	118400
1804.4	119400
1804.5	120400
1804.6	121400
1804.7	122400
1804.8	123400
1804.9	124300
1805	125300
1805.1	126300
1805.2	127300
1805.3	128300
1805.4	129300
1805.5	130300
1805.6	131300
1805.7	132500
1805.8	133600
1805.9	134800
1806	135900
1806.1	137100
1806.2	138200
1806.3	139400
1806.4	140500
1806.5	141700
1806.6	142800
1806.7	144000
1806.8	145100
1806.9	146300
1807	147400
1807.1	148600
1807.2	149700
1807.3	150900
1807.4	152000
1807.5	153200
1807.6	154300
1807.7	155500
1807.8	156600
1807.9	157800
1808	158900
1808.1	160100
1808.2	161200
1808.3	162400
1808.4	163500
1808.5	164700
1808.6	165800
1808.7	167000
1808.8	168100
1808.9	169300
1809	170400
1809.1	171600
1809.2	172700
1809.3	173900
1809.4	175000
1809.5	176200
1809.6	177300
1809.7	178500
1809.8	179600
1809.9	180800
1810	181900
1810.1	183100
1810.2	184200
1810.3	185400
1810.4	186500
1810.5	187700
1810.6	188800
1810.7	190000
1810.8	191100
1810.9	192300
1811	193400
1811.1	194600
1811.2	195700
1811.3	196900
1811.4	198000
1811.5	199200
1811.6	200300
1811.7	201500
1811.8	202600
1811.9	203800
1812	204900
1812.1	206100
1812.2	207200
1812.3	208400
1812.4	209500
1812.5	210700
1812.6	211800
1812.7	213000
1812.8	214100
1812.9	215300
1813	216400
1813.1	217600
1813.2	218700
1813.3	219900
1813.4	221000
1813.5	222200
1813.6	223300
1813.7	224500
1813.8	225600
1813.9	226800
1814	227900
1814.1	229100
1814.2	230200
1814.3	231400
1814.4	232500
1814.5	233700
1814.6	234800
1814.7	236000
1814.8	237100
1814.9	238300
1815	239400
1815.1	240600
1815.2	241900
1815.3	243200
1815.4	244500
1815.5	245800
1815.6	247000
1815.7	248300
1815.8	249600
1815.9	250900
1816	252200
1816.1	253500
1816.2	254800
1816.3	256100
1816.4	257400
1816.5	258700
1816.6	260000
1816.7	261200
1816.8	262500
1816.9	263800
1817	265100
1817.1	266400
1817.2	267700
1817.3	269000
1817.4	270300
1817.5	271600
1817.6	272900
1817.7	274200
1817.8	275400
1817.9	276700
1818	278000
1818.1	279300
1818.2	280600
1818.3	281900
1818.4	283200
1818.5	284500
1818.6	285800
1818.7	287100
1818.8	288400
1818.9	289600
1819	290900
1819.1	292200
1819.2	293500
1819.3	294800
1819.4	296100
1819.5	297400
1819.6	298700
1819.7	300000
1819.8	301300
1819.9	302600
1820	303800
1820.1	305100
1820.2	306400
1820.3	307700
1820.4	309000
1820.5	310300
1820.6	311600
1820.7	312900
1820.8	314200
1820.9	315500
1821	316800
1821.1	318000
1821.2	319300
1821.3	320600
1821.4	321900
1821.5	323200
1821.6	324500
1821.7	325800
1821.8	327100
1821.9	328400
1822	329700
1822.1	331000
1822.2	332200
1822.3	333500
1822.4	334800
1822.5	336100
1822.6	337400
1822.7	338700
1822.8	340000
1822.9	341300
1823	342600
1823.1	343900
1823.2	345200
1823.3	346400
1823.4	347700
1823.5	349000
1823.6	350300
1823.7	351600
1823.8	352900
1823.9	354200
1824	355500
1824.1	356800
1824.2	358100
1824.3	359400
1824.4	360600
1824.5	361900
1824.6	363200
1824.7	364500
1824.8	365800
1824.9	367100
1825	368400
1825.1	369700
1825.2	371000
1825.3	372300
1825.4	373600
1825.5	374800
1825.6	376100
1825.7	377400
1825.8	378700
1825.9	380000
1826	381300
1826.1	382600
1826.2	383900
1826.3	385200
1826.4	386500
1826.5	387800
1826.6	389000
1826.7	390300
1826.8	391600
1826.9	392900
1827	394200
1827.1	395500
1827.2	396900
1827.3	398300
1827.4	399700
1827.5	401200
1827.6	402600
1827.7	404000
1827.8	405400
1827.9	406800
1828	408200
1828.1	409700
1828.2	411100
1828.3	412500
1828.4	413900
1828.5	415300
1828.6	416700
1828.7	418100
1828.8	419600
1828.9	421000
1829	422400
1829.1	423800
1829.2	425200
1829.3	426600
1829.4	428100
1829.5	429500
1829.6	430900
1829.7	432300
1829.8	433700
1829.9	435100
1830	436500
1830.1	438000
1830.2	439400
1830.3	440800
1830.4	442200
1830.5	443600
1830.6	445000
1830.7	446500
1830.8	447900
1830.9	449300
1831	450700
1831.1	452100
1831.2	453500
1831.3	454900
1831.4	456400
1831.5	457800
1831.6	459200
1831.7	460600
1831.8	462000
1831.9	463400
1832	464900
1832.1	466300
1832.2	467700
1832.3	469100
1832.4	470500
1832.5	471900
1832.6	473300
1832.7	474800
1832.8	476200
1832.9	477600
1833	479000
1833.1	480400
1833.2	481800
1833.3	483300
1833.4	484700
1833.5	486100
1833.6	487500
1833.7	488900
1833.8	490300
1833.9	491700
1834	493200
1834.1	494600
1834.2	496000
1834.3	497400
1834.4	498800
1834.5	500200
1834.6	501700
1834.7	503100
1834.8	504500
1834.9	505900
1835	507300
1835.1	508700
1835.2	510100
1835.3	511600
1835.4	513000
1835.5	514400
1835.6	515800
1835.7	517200
1835.8	518600
1835.9	520100
1836	521500
1836.1	522900
1836.2	524300
1836.3	525700
1836.4	527100
1836.5	528500
1836.6	530000
1836.7	531400
1836.8	532800
1836.9	534200
1837	535600
1837.1	537000
1837.2	538500
1837.3	539900
1837.4	541300
1837.5	542700
1837.6	544100
1837.7	545500
1837.8	546900
1837.9	548400
1838	549800
1838.1	551200
1838.2	552600
1838.3	554000
1838.4	555400
1838.5	556900
1838.6	558300
1838.7	559700
1838.8	561100
1838.9	562500
1839	563900
1839.1	565300
1839.2	566800
1839.3	568200
1839.4	569600
1839.5	571000
1839.6	572400
1839.7	573800
1839.8	575300
1839.9	576700
1840	578100
1840.1	579500
1840.2	580900
1840.3	582300
1840.4	583700
1840.5	585200
1840.6	586600
1840.7	588000
1840.8	589400
1840.9	590800
1841	592200
1841.1	593700
1841.2	595200
1841.3	596700
1841.4	598200
1841.5	599800
1841.6	601300
1841.7	602800
1841.8	604400
1841.9	605900
1842	607400
1842.1	609000
1842.2	610500
1842.3	612000
1842.4	613600
1842.5	615100
1842.6	616600
1842.7	618200
1842.8	619700
1842.9	621200
1843	622800
1843.1	624300
1843.2	625800
1843.3	627400
1843.4	628900
1843.5	630400
1843.6	632000
1843.7	633500
1843.8	635000
1843.9	636600
1844	638100
1844.1	639600
1844.2	641200
1844.3	642700
1844.4	644200
1844.5	645800
1844.6	647300
1844.7	648800
1844.8	650400
1844.9	651900
1845	653400
1845.1	655000
1845.2	656500
1845.3	658000
1845.4	659600
1845.5	661100
1845.6	662600
1845.7	664200
1845.8	665700
1845.9	667200
1846	668800
1846.1	670300
1846.2	671800
1846.3	673300
1846.4	674900
1846.5	676400
1846.6	677900
1846.7	679500
1846.8	681000
1846.9	682500
1847	684100
1847.1	685600
1847.2	687100
1847.3	688700
1847.4	690200
1847.5	691700
1847.6	693300
1847.7	694800
1847.8	696300
1847.9	697900
1848	699400
1848.1	700900
1848.2	702500
1848.3	704000
1848.4	705500
1848.5	707100
1848.6	708600
1848.7	710100
1848.8	711700
1848.9	713200
1849	714700
1849.1	716300
1849.2	717800
1849.3	719300
1849.4	720900
1849.5	722400
1849.6	723900
1849.7	725500
1849.8	727000
1849.9	728500
1850	730100
1850.1	731600
1850.2	733100
1850.3	734700
1850.4	736200
1850.5	737700
1850.6	739300
1850.7	740800
1850.8	742300
1850.9	743900
1851	745400
1851.1	746900
1851.2	748400
1851.3	750000
1851.4	751500
1851.5	753000
1851.6	754600
1851.7	756100
1851.8	757600
1851.9	759200
1852	760700
1852.1	762200
1852.2	763800
1852.3	765300
1852.4	766800
1852.5	768400
1852.6	769900
1852.7	771400
1852.8	773000
1852.9	774500
1853	776000
1853.1	777600
1853.2	779100
1853.3	780600
1853.4	782200
1853.5	783700
1853.6	785200
1853.7	786800
1853.8	788300
1853.9	789800
1854	791400
1854.1	792900
1854.2	794400
1854.3	796000
1854.4	797500
1854.5	799000
1854.6	800600
1854.7	802100
1854.8	803600
1854.9	805200
1855	806700
1855.1	808200
1855.2	809800
1855.3	811300
1855.4	812800
1855.5	814400
1855.6	815900
1855.7	817400
1855.8	819000
1855.9	820500
1856	822000
1856.1	823500
1856.2	825100
1856.3	826600
1856.4	828100
1856.5	829700
1856.6	831200
1856.7	832700
1856.8	834300
1856.9	835800
1857	837300
1857.1	838900
1857.2	840400
1857.3	841900
1857.4	843500
1857.5	845000
1857.6	846500
1857.7	848200
1857.8	849800
1857.9	851500
1858	853100
1858.1	854700
1858.2	856400
1858.3	858000
1858.4	859700
1858.5	861300
1858.6	863000
1858.7	864600
1858.8	866200
1858.9	867900
1859	869500
1859.1	871200
1859.2	872800
1859.3	874400
1859.4	876100
1859.5	877700
1859.6	879400
1859.7	881000
1859.8	882600
1859.9	884300
1860	885900
1860.1	887600
1860.2	889200
1860.3	890900
1860.4	892500
1860.5	894100
1860.6	895800
1860.7	897400
1860.8	899100
1860.9	900700
1861	902300
1861.1	904000
1861.2	905600
1861.3	907300
1861.4	908900
1861.5	910500
1861.6	912200
1861.7	913800
1861.8	915500
1861.9	917100
1862	918700
1862.1	920400
1862.2	922000
1862.3	923700
1862.4	925300
1862.5	927000
1862.6	928600
1862.7	930200
1862.8	931900
1862.9	933500
1863	935200
1863.1	936800
1863.2	938400
1863.3	940100
1863.4	941700
1863.5	943400
1863.6	945000
1863.7	946600
1863.8	948300
1863.9	949900
1864	951600
1864.1	953200
1864.2	954900
1864.3	956500
1864.4	958100
1864.5	959800
1864.6	961400
1864.7	963100
1864.8	964700
1864.9	966300
1865	968000
1865.1	969600
1865.2	971300
1865.3	972900
1865.4	974500
1865.5	976200
1865.6	977800
1865.7	979500
1865.8	981100
1865.9	982800
1866	984400
1866.1	986000
1866.2	987700
1866.3	989300
1866.4	991000
1866.5	992600
1866.6	994200
1866.7	995900
1866.8	997500
1866.9	999200
1867	1000800
1867.1	1002400
1867.2	1004100
1867.3	1005700
1867.4	1007400
1867.5	1009000
1867.6	1010700
1867.7	1012300
1867.8	1013900
1867.9	1015600
1868	1017200
1868.1	1018900
1868.2	1020500
1868.3	1022100
1868.4	1023800
1868.5	1025400
1868.6	1027100
1868.7	1028700
1868.8	1030300
1868.9	1032000
1869	1033600
1869.1	1035300
1869.2	1036900
1869.3	1038600
1869.4	1040200
1869.5	1041800
1869.6	1043500
1869.7	1045100
1869.8	1046800
1869.9	1048400
1870	1050000
1870.1	1051700
1870.2	1053300
1870.3	1055000
1870.4	1056600
1870.5	1058200
1870.6	1059900
1870.7	1061500
1870.8	1063200
1870.9	1064800
1871	1066400
1871.1	1068100
1871.2	1069700
1871.3	1071400
1871.4	1073000
1871.5	1074700
1871.6	1076300
1871.7	1077900
1871.8	1079600
1871.9	1081200
1872	1082900
1872.1	1084500
1872.2	1086100
1872.3	1087800
1872.4	1089400
1872.5	1091100
1872.6	1092700
1872.7	1094300
1872.8	1096000
1872.9	1097600
1873	1099300
1873.1	1100900
1873.2	1102600
1873.3	1104200
1873.4	1105800
1873.5	1107500
1873.6	1109100
1873.7	1110800
1873.8	1112400
1873.9	1114000
1874	1115700
1874.1	1117300
1874.2	1119000
1874.3	1120600
1874.4	1122200
1874.5	1123900
1874.6	1125500
1874.7	1127200
1874.8	1128800
1874.9	1130500
1875	1132100
1875.1	1133700
1875.2	1135400
1875.3	1137000
1875.4	1138700
1875.5	1140300
1875.6	1141900
1875.7	1143600
1875.8	1145200
1875.9	1146900
1876	1148500
1876.1	1150100
1876.2	1151800
1876.3	1153400
1876.4	1155100
1876.5	1156700
1876.6	1158300
1876.7	1160100
1876.8	1161800
1876.9	1163500
1877	1165300
1877.1	1167000
1877.2	1168700
1877.3	1170500
1877.4	1172200
1877.5	1173900
1877.6	1175700
1877.7	1177400
1877.8	1179100
1877.9	1180900
1878	1182600
1878.1	1184300
1878.2	1186000
1878.3	1187800
1878.4	1189500
1878.5	1191200
1878.6	1193000
1878.7	1194700
1878.8	1196400
1878.9	1198200
1879	1199900
1879.1	1201600
1879.2	1203400
1879.3	1205100
1879.4	1206800
1879.5	1208500
1879.6	1210300
1879.7	1212000
1879.8	1213700
1879.9	1215500
1880	1217200
1880.1	1218900
1880.2	1220700
1880.3	1222400
1880.4	1224100
1880.5	1225900
1880.6	1227600
1880.7	1229300
1880.8	1231100
1880.9	1232800
1881	1234500
1881.1	1236200
1881.2	1238000
1881.3	1239700
1881.4	1241400
1881.5	1243200
1881.6	1244900
1881.7	1246600
1881.8	1248400
1881.9	1250100
1882	1251800
1882.1	1253600
1882.2	1255300
1882.3	1257000
1882.4	1258700
1882.5	1260500
1882.6	1262200
1882.7	1263900
1882.8	1265700
