week	DW1931Refill
1	3128020
2	2788100
3	2448170
4	2108250
5	1768320
6	1764060
7	1759790
8	1755530
9	1751270
10	1752850
11	1754440
12	1756030
13	1757610
14	1759200
15	1765250
16	1771300
17	1777350
18	1783400
19	1781560
20	1779730
21	1777890
22	1776060
23	1779550
24	1783040
25	1786530
26	1790020
27	1793510
28	1801200
29	1808880
30	1816570
31	1824260
32	1879940
33	1935630
34	1991310
35	2047000
36	2172550
37	2298110
38	2423660
39	2549210
40	2696230
41	2843240
42	2990250
43	3137270
44	3284280
45	3326180
46	3368080
47	3409980
48	3451880
49	3455900
50	3459920
51	3463930
52	3467950
