week	DW1931Refill
1	1986353
2	1986353
3	1986353
4	1975543
5	1964733
6	1956006
7	1947279
8	1938552
9	1929824
10	1927762
11	1925699
12	1923636
13	1921573
14	1919510
15	1921097
16	1922684
17	1924271
18	1925857
19	1919362
20	1912866
21	1906370
22	1899874
23	1899676
24	1899477
25	1899279
26	1899081
27	1898882
28	1902403
29	1905924
30	1909444
31	1912965
32	1964089
33	2015213
34	2066337
35	2117461
36	2255708
37	2393956
38	2497890
39	2601824
40	2745149
41	2888475
42	3031800
43	3175126
44	3318451
45	3355839
46	3393226
47	3430613
48	3468000
49	3468000
50	3468000
51	3468000
52	3468000
