week	DWBiOp
1	2896389
2	2782067
3	2667744
4	2553422
5	2439100
6	2388825
7	2338550
8	2288275
9	2238000
10	3468000
11	3468000
12	3468000
13	3468000
14	3468000
15	3468000
16	3468000
17	3468000
18	3468000
19	3468000
20	3468000
21	3468000
22	3468000
23	3468000
24	3468000
25	3468000
26	3468000
27	3468000
28	3468000
29	3468000
30	3468000
31	3468000
32	3468000
33	3468000
34	3468000
35	3468000
36	3468000
37	3468000
38	3468000
39	3468000
40	3468000
41	3468000
42	3468000
43	3468000
44	3468000
45	3468000
46	3468000
47	3468000
48	3468000
49	3353678
50	3239356
51	3125033
52	3010711
