week	CRC1	CRC2	CRC3	CRC4
1	2911906	2911444	2911179	2726981
2	2824105	2823179	2822650	2726981
3	2736303	2734915	2734121	2726981
4	2587741	2583378	2582981	2576733
5	2439179	2431841	2431841	2426485
6	2387014	2381510	2381510	2376601
7	2334849	2331180	2331180	2326717
8	2282683	2280849	2280849	2276832
9	2230518	2230518	2230518	2226948
10	2230875	2225877	2229804	2221791
11	2231232	2221236	2229090	2216634
12	2231589	2216594	2228376	2211477
13	2231946	2211953	2227662	2206320
14	2232303	2207312	2226948	2201163
15	2230568	2197395	2230171	2198733
16	2228832	2187477	2233395	2196304
17	2227097	2177560	2236618	2193874
18	2225361	2167642	2239841	2191444
19	2219460	2172055	2235081	2189163
20	2213560	2176469	2230320	2186882
21	2207659	2180882	2225560	2184601
22	2201758	2185295	2220799	2182320
23	2195173	2178115	2222029	2180654
24	2188588	2170935	2223259	2178988
25	2182002	2163754	2224488	2177321
26	2175417	2156574	2225718	2175655
27	2168832	2149394	2226948	2173989
28	2162188	2171758	2232006	2042932
29	2155543	2194122	2237064	1911874
30	2148899	2216485	2242122	1780817
31	2142254	2238849	2247180	1649759
32	2163378	2281642	2300039	0
33	2184502	2324436	2352899	0
34	2205626	2367229	2405758	0
35	2226750	2410022	2458617	0
36	2248172	2588832	2598551	0
37	2269593	2767642	2738485	0
38	2375015	2950716	2844006	0
39	2480436	3133790	2949526	0
40	2629434	3197221	3053221	0
41	2778432	3260653	3156916	0
42	2927431	3324084	3260610	0
43	3076429	3387516	3364305	0
44	3225427	3450947	3468000	0
45	3286070	3455210	3468000	0
46	3346714	3459474	3468000	0
47	3407357	3463737	3468000	0
48	3468000	3468000	3468000	0
49	3350927	3350927	3350927	0
50	3233854	3233854	3233854	0
51	3116781	3116781	3116781	0
52	2999708	2999708	2999708	0
