DWFlood1	DWFlood2	DWFlood3	DWFlood4	DWFlood5	DWFlood6	DWFlood7	DWFlood8	DWFlood9	DWFlood10
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3327950	3327950	3327950	3327950	3327950	3327950	3327950	3327950	3327950	3327950
3187950	3187950	3187950	3187950	3187950	3187950	3187950	3187950	3187950	3187950
3047950	3047950	3047950	3047950	3047950	3047950	3047950	3047950	3047950	3047950
2907950	2907950	2907950	2907950	2907950	2907950	2907950	2907950	2907950	2907950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950	2767950
2807950	2792950	2767950	2737950	2712950	2687950	2677950	2677950	2677950	2677950
2847950	2817950	2767950	2707950	2657950	2607950	2587950	2587950	2587950	2587950
2887950	2842950	2767950	2677950	2602950	2527950	2497950	2497950	2497950	2497950
2927950	2867950	2767950	2647950	2547950	2447950	2407950	2407950	2407950	2407950
2967950	2892950	2767950	2617950	2492950	2367950	2317950	2317950	2317950	2317950
3017950	2936700	2799200	2630450	2478890	2328890	2261700	2230450	2211700	2211700
3067950	2980450	2830450	2642950	2464830	2289830	2205450	2142950	2105450	2105450
3117950	3024200	2861700	2655450	2450760	2250760	2149200	2055450	1999200	1999200
3167950	3067950	2892950	2667950	2436700	2211700	2092950	1967950	1892950	1892950
3242950	3136700	2949200	2699200	2407010	2175760	2042950	1911700	1811700	1786700
3317950	3205450	3005450	2730450	2377330	2139830	1992950	1855450	1730450	1680450
3392950	3274200	3061700	2761700	2347640	2103890	1942950	1799200	1649200	1574200
3467950	3342950	3117950	2792950	2317950	2067950	1892950	1742950	1567950	1467950
3467950	3374200	3155450	2836700	2374200	2086700	1911700	1749200	1574200	1467950
3467950	3405450	3192950	2880450	2430450	2105450	1930450	1755450	1580450	1467950
3467950	3436700	3230450	2924200	2486700	2124200	1949200	1761700	1586700	1467950
3467950	3467950	3267950	2967950	2542950	2142950	1967950	1767950	1592950	1467950
3467950	3467950	3307950	3067950	2727950	2407950	2267950	2107950	1967950	1867950
3467950	3467950	3347950	3167950	2912950	2672950	2567950	2447950	2342950	2267950
3467950	3467950	3387950	3267950	3097950	2937950	2867950	2787950	2717950	2667950
3467950	3467950	3427950	3367950	3282950	3202950	3167950	3127950	3092950	3067950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950	3467950
