DWRunoffAprJuly	JAN_DW	FEB_DW	MAR_DW	APR_DW
1200000	2967950	3167950	3467950	3467950
1400000	2892950	3067950	3342950	3467950
1600000	2830450	2980450	3230450	3367950
1800000	2767950	2892950	3117950	3267950
2000000	2692950	2780450	2955450	3117950
2200000	2617950	2667950	2792950	2967950
2400000	2555450	2552330	2555450	2755450
2600000	2492950	2436700	2317950	2542950
2800000	2430450	2324200	2192950	2342950
3000000	2367950	2211700	2067950	2142950
3200000	2317950	2092950	1892950	1967950
3400000	2317950	1967950	1742950	1767950
3600000	2317950	1892950	1567950	1592950
3800000	2317950	1892950	1467950	1467950
