week	DWRefillMin
1	241188
2	241188
3	241188
4	241188
5	241188
6	211040
7	180891
8	150743
9	120594
10	120594
11	120594
12	120594
13	120594
14	120594
15	120594
16	120594
17	120594
18	120594
19	120594
20	120594
21	120594
22	120594
23	120594
24	120594
25	120594
26	120594
27	120594
28	120594
29	120594
30	120594
31	120594
32	120594
33	120594
34	120594
35	120594
36	120594
37	120594
38	120594
39	120594
40	144713
41	168832
42	192951
43	217070
44	241188
45	241188
46	241188
47	241188
48	241188
49	241188
50	241188
51	241188
52	241188
