Elevation	Volume
1445	1452800
1445.1	1453700
1445.2	1454600
1445.3	1455500
1445.4	1456400
1445.5	1457300
1445.6	1458200
1445.7	1459100
1445.8	1460000
1445.9	1460900
1446	1461800
1446.1	1462700
1446.2	1463600
1446.3	1464500
1446.4	1465400
1446.5	1466300
1446.6	1467200
1446.7	1468100
1446.8	1469000
1446.9	1469900
1447	1470800
1447.1	1471700
1447.2	1472600
1447.3	1473500
1447.4	1474400
1447.5	1475300
1447.6	1476100
1447.7	1477000
1447.8	1477900
1447.9	1478800
1448	1479700
1448.1	1480600
1448.2	1481500
1448.3	1482400
1448.4	1483300
1448.5	1484200
1448.6	1485100
1448.7	1486000
1448.8	1486900
1448.9	1487800
1449	1488700
1449.1	1489600
1449.2	1490500
1449.3	1491400
1449.4	1492300
1449.5	1493200
1449.6	1494100
1449.7	1495000
1449.8	1495900
1449.9	1496800
1450	1497700
1450.1	1498600
1450.2	1499500
1450.3	1500500
1450.4	1501400
1450.5	1502300
1450.6	1503200
1450.7	1504200
1450.8	1505100
1450.9	1506000
1451	1506900
1451.1	1507900
1451.2	1508800
1451.3	1509700
1451.4	1510700
1451.5	1511600
1451.6	1512500
1451.7	1513400
1451.8	1514400
1451.9	1515300
1452	1516200
1452.1	1517100
1452.2	1518000
1452.3	1519000
1452.4	1519900
1452.5	1520800
1452.6	1521700
1452.7	1522700
1452.8	1523600
1452.9	1524500
1453	1525400
1453.1	1526400
1453.2	1527300
1453.3	1528200
1453.4	1529200
1453.5	1530100
1453.6	1531000
1453.7	1531900
1453.8	1532900
1453.9	1533800
1454	1534700
1454.1	1535600
1454.2	1536500
1454.3	1537500
1454.4	1538400
1454.5	1539300
1454.6	1540200
1454.7	1541200
1454.8	1542100
1454.9	1543000
1455	1543900
1455.1	1544900
1455.2	1545800
1455.3	1546700
1455.4	1547700
1455.5	1548600
1455.6	1549500
1455.7	1550400
1455.8	1551400
1455.9	1552300
1456	1553200
1456.1	1554100
1456.2	1555000
1456.3	1556000
1456.4	1556900
1456.5	1557800
1456.6	1558700
1456.7	1559700
1456.8	1560600
1456.9	1561500
1457	1562400
1457.1	1563400
1457.2	1564300
1457.3	1565200
1457.4	1566200
1457.5	1567100
1457.6	1568000
1457.7	1568900
1457.8	1569900
1457.9	1570800
1458	1571700
1458.1	1572600
1458.2	1573500
1458.3	1574500
1458.4	1575400
1458.5	1576300
1458.6	1577200
1458.7	1578200
1458.8	1579100
1458.9	1580000
1459	1580900
1459.1	1581900
1459.2	1582800
1459.3	1583700
1459.4	1584700
1459.5	1585600
1459.6	1586500
1459.7	1587400
1459.8	1588400
1459.9	1589300
1460	1590200
1460.1	1591100
1460.2	1592100
1460.3	1593000
1460.4	1594000
1460.5	1594900
1460.6	1595900
1460.7	1596800
1460.8	1597800
1460.9	1598700
1461	1599700
1461.1	1600600
1461.2	1601600
1461.3	1602500
1461.4	1603500
1461.5	1604400
1461.6	1605400
1461.7	1606300
1461.8	1607300
1461.9	1608200
1462	1609200
1462.1	1610100
1462.2	1611100
1462.3	1612000
1462.4	1613000
1462.5	1613900
1462.6	1614800
1462.7	1615800
1462.8	1616700
1462.9	1617700
1463	1618600
1463.1	1619600
1463.2	1620500
1463.3	1621500
1463.4	1622400
1463.5	1623400
1463.6	1624300
1463.7	1625300
1463.8	1626200
1463.9	1627200
1464	1628100
1464.1	1629100
1464.2	1630000
1464.3	1631000
1464.4	1631900
1464.5	1632900
1464.6	1633800
1464.7	1634800
1464.8	1635700
1464.9	1636700
1465	1637600
1465.1	1638500
1465.2	1639500
1465.3	1640400
1465.4	1641400
1465.5	1642300
1465.6	1643300
1465.7	1644200
1465.8	1645200
1465.9	1646100
1466	1647100
1466.1	1648000
1466.2	1649000
1466.3	1649900
1466.4	1650900
1466.5	1651800
1466.6	1652800
1466.7	1653700
1466.8	1654700
1466.9	1655600
1467	1656600
1467.1	1657500
1467.2	1658500
1467.3	1659400
1467.4	1660400
1467.5	1661300
1467.6	1662200
1467.7	1663200
1467.8	1664100
1467.9	1665100
1468	1666000
1468.1	1667000
1468.2	1667900
1468.3	1668900
1468.4	1669800
1468.5	1670800
1468.6	1671700
1468.7	1672700
1468.8	1673600
1468.9	1674600
1469	1675500
1469.1	1676500
1469.2	1677400
1469.3	1678400
1469.4	1679300
1469.5	1680300
1469.6	1681200
1469.7	1682200
1469.8	1683100
1469.9	1684100
1470	1685000
1470.1	1686000
1470.2	1686900
1470.3	1687900
1470.4	1688900
1470.5	1689800
1470.6	1690800
1470.7	1691800
1470.8	1692800
1470.9	1693700
1471	1694700
1471.1	1695700
1471.2	1696600
1471.3	1697600
1471.4	1698600
1471.5	1699600
1471.6	1700500
1471.7	1701500
1471.8	1702500
1471.9	1703400
1472	1704400
1472.1	1705400
1472.2	1706300
1472.3	1707300
1472.4	1708300
1472.5	1709300
1472.6	1710200
1472.7	1711200
1472.8	1712200
1472.9	1713100
1473	1714100
1473.1	1715100
1473.2	1716000
1473.3	1717000
1473.4	1718000
1473.5	1718900
1473.6	1719900
1473.7	1720900
1473.8	1721900
1473.9	1722800
1474	1723800
1474.1	1724800
1474.2	1725700
1474.3	1726700
1474.4	1727700
1474.5	1728700
1474.6	1729600
1474.7	1730600
1474.8	1731600
1474.9	1732500
1475	1733500
1475.1	1734500
1475.2	1735400
1475.3	1736400
1475.4	1737400
1475.5	1738300
1475.6	1739300
1475.7	1740300
1475.8	1741300
1475.9	1742200
1476	1743200
1476.1	1744200
1476.2	1745100
1476.3	1746100
1476.4	1747100
1476.5	1748100
1476.6	1749000
1476.7	1750000
1476.8	1751000
1476.9	1751900
1477	1752900
1477.1	1753900
1477.2	1754800
1477.3	1755800
1477.4	1756800
1477.5	1757800
1477.6	1758700
1477.7	1759700
1477.8	1760700
1477.9	1761600
1478	1762600
1478.1	1763600
1478.2	1764500
1478.3	1765500
1478.4	1766500
1478.5	1767400
1478.6	1768400
1478.7	1769400
1478.8	1770400
1478.9	1771300
1479	1772300
1479.1	1773300
1479.2	1774200
1479.3	1775200
1479.4	1776200
1479.5	1777200
1479.6	1778100
1479.7	1779100
1479.8	1780100
1479.9	1781000
1480	1782000
1480.1	1783000
1480.2	1784000
1480.3	1785100
1480.4	1786100
