time	ModDworshakFlowData
1	88924
2	63074
3	93219
4	84354
5	67723
6	58577
7	56120
8	176028
9	342027
10	876004
11	560049
12	161630
13	75510
14	56975
15	68162
16	50705
17	109054
18	55553
19	171990
20	262687
21	864798
22	608223
23	304153
24	120925
25	62336
26	60396
27	87929
28	104788
29	72378
30	97499
31	102930
32	302811
33	579507
34	815060
35	244798
36	96033
37	54496
38	56945
39	62419
40	77928
41	79457
42	80015
43	90706
44	386528
45	947805
46	1.65E+06
47	763998
48	212216
49	90214
50	63342
51	76823
52	191449
53	138794
54	144544
55	80394
56	214116
57	682805
58	1.05E+06
59	1.43E+06
60	277908
61	101396
62	87590
63	207269
64	323554
65	1.13E+06
66	852601
67	425791
68	898116
69	1.25E+06
70	690408
71	246911
72	104996
73	60658
74	56082
75	97711
76	172380
77	138622
78	134814
79	127031
80	250350
81	624640
82	1.11E+06
83	578228
84	176546
85	77807
86	54089
87	60025
88	60123
89	61858
90	93568
91	60650
92	217928
93	1.13E+06
94	1.39E+06
95	430331
96	134417
97	65284
98	56856
99	52183
100	49053
101	67592
102	42258
103	49983
104	123738
105	419204
106	942591
107	489894
108	148047
109	73713
110	51500
111	56429
112	115437
113	153502
114	155356
115	121239
116	356967
117	900470
118	1.07E+06
119	560376
120	169304
121	81397
122	60218
123	76423
124	90539
125	116312
126	100290
127	76470
128	286284
129	757988
130	956580
131	331347
132	135151
133	63076
134	53940
135	64216
136	62580
137	144431
138	135710
139	240576
140	490134
141	692891
142	750876
143	288563
144	103562
145	56511
146	58581
147	82673
148	105034
149	178321
150	155216
151	134151
152	240185
153	344170
154	527864
155	350983
156	130896
157	73489
158	107136
159	137013
160	223520
161	374558
162	181760
163	141762
164	192606
165	617917
166	529732
167	393885
168	191628
169	82506
170	63163
171	63889
172	189982
173	171198
174	175066
175	132753
176	299560
177	1.19E+06
178	1.13E+06
179	1.02E+06
180	401307
181	114087
182	70155
183	82613
184	86828
185	115824
186	69012
187	87246
188	117952
189	422982
190	602882
191	313257
192	124496
193	68939
194	59295
195	64010
196	81790
197	76976
198	196781
199	179120
200	208182
201	410576
202	1.13E+06
203	546215
204	170962
205	77004
206	78664
207	78341
208	174832
209	196573
210	213930
211	128286
212	377414
213	809132
214	1.11E+06
215	562132
216	239181
217	97604
218	80687
219	145836
220	224006
221	612746
222	246086
223	318347
224	450808
225	732104
226	1.25E+06
227	550648
228	189438
229	93867
230	88452
231	197800
232	236051
233	225692
234	322407
235	223367
236	264010
237	782206
238	1.75E+06
239	1.11E+06
240	275728
241	149505
