time	ModLittleGooseFlowData
1	1311750
2	1219800
3	1430720
4	1574490
5	1343920
6	1366920
7	1125270
8	2083950
9	2784060
10	5232610
11	5305090
12	1950000
13	1125170
14	1006510
15	1098590
16	1062190
17	1594280
18	1074840
19	1818390
20	2030450
21	4223130
22	4411400
23	3457050
24	1503050
25	1149280
26	1103820
27	1265520
28	1140140
29	1023700
30	1151860
31	1081440
32	1983480
33	3151710
34	4562470
35	2231570
36	1020480
37	755253
38	851201
39	1039000
40	1165820
41	1181290
42	1075820
43	1009120
44	3538530
45	4890910
46	8793150
47	6294190
48	2394820
49	1190780
50	1076210
51	1190410
52	1581600
53	1347140
54	1350990
55	1039260
56	2027690
57	3693960
58	5481780
59	9590280
60	2383480
61	1225570
62	1103050
63	1338700
64	1807360
65	3156260
66	3166610
67	2039860
68	3427820
69	5411600
70	4192490
71	1956840
72	1074410
73	797697
74	872325
75	1129450
76	1399970
77	1324260
78	1292570
79	1246850
80	1736840
81	3453750
82	5402440
83	4481440
84	1707510
85	1057920
86	929805
87	1097970
88	1212830
89	1136860
90	1292530
91	1133900
92	2333590
93	6674120
94	8392620
95	4146760
96	1529160
97	1150820
98	1062200
99	1056100
100	1059820
101	1099560
102	935290
103	950993
104	1596470
105	2637030
106	5398600
107	3691850
108	1513510
109	903342
110	925551
111	1123210
112	1370220
113	1851230
114	1595480
115	1606670
116	3002140
117	5939690
118	8321460
119	6797860
120	2669090
121	1306740
122	1152020
123	1296280
124	1463570
125	1722880
126	1491370
127	1427310
128	2947480
129	4732960
130	6054390
131	2826700
132	1579630
133	967128
134	1017930
135	1146800
136	1130370
137	1349890
138	1464250
139	2035740
140	3477540
141	5003070
142	6109270
143	3384250
144	1396180
145	907470
146	1117630
147	1380890
148	1434020
149	1664130
150	1579010
151	1573840
152	2279560
153	2767160
154	4645540
155	4212420
156	1888670
157	1308270
158	1425800
159	1559970
160	2006900
161	2777060
162	1748250
163	1769990
164	2116270
165	5225320
166	5607490
167	5568720
168	2497540
169	1238790
170	1168740
171	1266640
172	1766520
173	1960650
174	2614430
175	2613330
176	4042350
177	9892230
178	7991450
179	8754400
180	5129450
181	1806170
182	1398520
183	1660340
184	1672250
185	1655000
186	1391240
187	1354250
188	1715320
189	3012880
190	4477130
191	4061960
192	1894560
193	1231810
194	1152740
195	1182030
196	1392810
197	1260840
198	1696580
199	1949480
200	2165540
201	2847020
202	7169570
203	6070930
204	2278790
205	1251240
206	1313720
207	1671840
208	1818190
209	2081640
210	2278070
211	1878750
212	3776050
213	6471300
214	8342250
215	4944230
216	2226660
217	1304730
218	1437080
219	1804940
220	2299700
221	3887690
222	2213030
223	2658180
224	3528080
225	4529100
226	9240230
227	5694510
228	2286620
229	1338770
230	1314410
231	1764250
232	2197780
233	2366580
234	2646030
235	2255760
236	2498750
237	4882130
238	11469600
239	10532600
240	2975660
241	1602290
242	1290250
243	1408180
244	1649660
245	1646170
246	1558540
247	2035680
248	4036060
249	5919970
250	10849500
251	5319930
252	1888920
253	1199650
254	1166360
255	1411900
256	1690080
257	1826780
258	1926440
259	2498800
260	3969960
261	5772990
262	7191950
263	9523040
264	4377020
265	1840900
266	1604160
267	2216450
268	2640860
269	2769460
270	2586220
271	3532710
272	3214980
273	6627970
274	8567640
275	5806520
276	2798540
277	1489570
278	1509160
279	2207940
280	1982070
281	2301130
282	2005290
283	2335030
284	2945780
285	9213980
286	11557000
287	6909810
288	2831890
289	1426630
290	1272990
291	1286700
292	1451240
293	1533520
294	2673130
295	2653320
296	2578870
297	3905320
298	6428470
299	9337210
300	3794010
301	1511920
302	1295630
303	1318690
304	1476050
305	1800420
306	1866260
307	2350740
308	2629030
309	4369060
310	8076050
311	6127870
312	3247180
313	1516360
314	1356030
315	1307070
316	1452470
317	1518900
318	1482730
319	1347170
320	1486370
321	2915860
322	6141590
323	7709360
324	3233280
325	1363560
326	1190110
327	1444940
328	1866560
329	3347420
330	3310980
331	2228910
332	4083470
333	7857050
334	11494100
335	8587460
336	2707150
337	1550810
338	1383490
339	1768410
340	1872600
341	2091140
342	1769820
343	2455950
344	4091030
345	5212560
346	12129900
