Elevation	Volume
121	20000
121.1	20500
121.2	21000
121.3	21600
121.4	22100
121.5	22600
121.6	23100
121.7	23700
121.8	24200
121.9	24700
122	25200
122.1	25700
122.2	26300
122.3	26800
122.4	27300
122.5	27800
122.6	28400
122.7	28900
122.8	29400
122.9	29900
123	30400
123.1	31000
123.2	31500
123.3	32000
123.4	32500
123.5	33100
123.6	33600
123.7	34100
123.8	34600
123.9	35100
124	35700
124.1	36200
124.2	36700
124.3	37200
124.4	37800
124.5	38300
124.6	38800
124.7	39300
124.8	39800
124.9	40400
125	40900
125.1	41400
125.2	41900
125.3	42500
125.4	43000
125.5	43500
125.6	44000
125.7	44500
125.8	45100
125.9	45600
126	46100
126.1	46600
126.2	47200
126.3	47700
126.4	48200
126.5	48700
126.6	49200
126.7	49800
126.8	50300
126.9	50800
127	51300
127.1	51900
127.2	52400
127.3	52900
127.4	53400
127.5	53900
127.6	54500
127.7	55000
127.8	55500
127.9	56000
128	56600
128.1	57100
128.2	57600
128.3	58100
128.4	58600
128.5	59200
128.6	59700
128.7	60200
128.8	60700
128.9	61300
129	61800
129.1	62300
129.2	62800
129.3	63300
129.4	63900
129.5	64400
129.6	64900
129.7	65400
129.8	66000
129.9	66500
130	67000
130.1	67700
130.2	68500
130.3	69200
130.4	69900
130.5	70700
130.6	71400
130.7	72100
130.8	72800
130.9	73600
131	74300
131.1	75000
131.2	75800
131.3	76500
131.4	77200
131.5	77900
131.6	78700
131.7	79400
131.8	80100
131.9	80900
132	81600
132.1	82300
132.2	83100
132.3	83800
132.4	84500
132.5	85300
132.6	86000
132.7	86700
132.8	87400
132.9	88200
133	88900
133.1	89600
133.2	90400
133.3	91100
133.4	91800
133.5	92600
133.6	93300
133.7	94000
133.8	94700
133.9	95500
134	96200
134.1	96900
134.2	97700
134.3	98400
134.4	99100
134.5	99800
134.6	100600
134.7	101300
134.8	102000
134.9	102800
135	103500
135.1	104200
135.2	105000
135.3	105700
135.4	106400
135.5	107200
135.6	107900
135.7	108600
135.8	109300
135.9	110100
136	110800
136.1	111500
136.2	112300
136.3	113000
136.4	113700
136.5	114400
136.6	115200
136.7	115900
136.8	116600
136.9	117400
137	118100
137.1	118800
137.2	119600
137.3	120300
137.4	121000
137.5	121800
137.6	122500
137.7	123200
137.8	123900
137.9	124700
138	125400
138.1	126100
138.2	126900
138.3	127600
138.4	128300
138.5	129100
138.6	129800
138.7	130500
138.8	131200
138.9	132000
139	132700
139.1	133400
139.2	134200
139.3	134900
139.4	135600
139.5	136400
139.6	137100
139.7	137800
139.8	138500
139.9	139300
140	140000
140.1	140900
140.2	141800
140.3	142700
140.4	143600
140.5	144500
140.6	145400
140.7	146300
140.8	147200
140.9	148100
141	149000
141.1	149900
141.2	150800
141.3	151700
141.4	152600
141.5	153500
141.6	154400
141.7	155300
141.8	156200
141.9	157100
142	158000
142.1	158900
142.2	159800
142.3	160700
142.4	161600
142.5	162500
142.6	163400
142.7	164300
142.8	165200
142.9	166100
143	167000
143.1	167900
143.2	168800
143.3	169700
143.4	170600
143.5	171500
143.6	172400
143.7	173300
143.8	174200
143.9	175100
144	176000
144.1	176900
144.2	177800
144.3	178700
144.4	179600
144.5	180500
144.6	181400
144.7	182300
144.8	183200
144.9	184100
145	185000
145.1	185900
145.2	186800
145.3	187800
145.4	188700
145.5	189600
145.6	190500
145.7	191400
145.8	192400
145.9	193300
146	194200
146.1	195100
146.2	196000
146.3	197000
146.4	197900
146.5	198800
146.6	199700
146.7	200600
146.8	201600
146.9	202500
147	203400
147.1	204300
147.2	205200
147.3	206200
147.4	207100
147.5	208000
147.6	208900
147.7	209800
147.8	210800
147.9	211700
148	212600
148.1	213500
148.2	214400
148.3	215400
148.4	216300
148.5	217200
148.6	218100
148.7	219000
148.8	220000
148.9	220900
149	221800
149.1	222700
149.2	223600
149.3	224600
149.4	225500
149.5	226400
149.6	227300
149.7	228200
149.8	229200
149.9	230100
150	231000
150.1	231900
150.2	232800
150.3	233800
150.4	234700
150.5	235600
150.6	236500
150.7	237400
150.8	238400
150.9	239300
151	240200
151.1	241100
151.2	242000
151.3	243000
151.4	243900
151.5	244800
151.6	245700
151.7	246600
151.8	247600
151.9	248500
152	249400
152.1	250300
152.2	251200
152.3	252200
152.4	253100
152.5	254000
152.6	254900
152.7	255800
152.8	256800
152.9	257700
153	258600
153.1	259500
153.2	260400
153.3	261400
153.4	262300
153.5	263200
153.6	264100
153.7	265000
153.8	266000
153.9	266900
154	267800
154.1	268700
154.2	269600
154.3	270600
154.4	271500
154.5	272400
154.6	273300
154.7	274200
154.8	275200
154.9	276100
155	277000
155.1	278100
155.2	279100
155.3	280200
155.4	281200
155.5	282300
155.6	283400
155.7	284400
155.8	285500
155.9	286500
156	287600
156.1	288700
156.2	289700
156.3	290800
156.4	291800
156.5	292900
156.6	294000
156.7	295000
156.8	296100
156.9	297100
157	298200
157.1	299300
157.2	300300
157.3	301400
157.4	302400
157.5	303500
157.6	304600
157.7	305600
157.8	306700
157.9	307700
158	308800
158.1	309900
158.2	310900
158.3	312000
158.4	313000
158.5	314100
158.6	315200
158.7	316200
158.8	317300
158.9	318300
159	319400
159.1	320500
159.2	321500
159.3	322600
159.4	323600
159.5	324700
159.6	325800
159.7	326800
159.8	327900
159.9	328900
160	330000
