time	ModDallesFlowData
1	7.81E+06
2	4.89E+06
3	4.88E+06
4	4.46E+06
5	3.71E+06
6	3.27E+06
7	3.15E+06
8	5.32E+06
9	6.15E+06
10	1.70E+07
11	2.25E+07
12	1.05E+07
13	6.82E+06
14	4.34E+06
15	3.44E+06
16	2.89E+06
17	3.78E+06
18	2.49E+06
19	5.10E+06
20	4.76E+06
21	1.18E+07
22	1.56E+07
23	1.79E+07
24	1.20E+07
25	7.39E+06
26	4.87E+06
27	3.94E+06
28	3.45E+06
29	3.06E+06
30	3.18E+06
31	3.22E+06
32	5.11E+06
33	8.37E+06
34	1.80E+07
35	1.59E+07
36	9.70E+06
37	5.98E+06
38	4.84E+06
39	3.85E+06
40	4.01E+06
41	3.57E+06
42	3.62E+06
43	3.36E+06
44	1.05E+07
45	1.55E+07
46	3.00E+07
47	2.83E+07
48	1.44E+07
49	8.35E+06
50	5.08E+06
51	4.43E+06
52	6.11E+06
53	5.58E+06
54	5.14E+06
55	3.51E+06
56	5.80E+06
57	1.05E+07
58	2.25E+07
59	3.98E+07
60	2.06E+07
61	1.01E+07
62	6.24E+06
63	6.39E+06
64	9.06E+06
65	1.32E+07
66	1.18E+07
67	7.66E+06
68	1.05E+07
69	2.27E+07
70	2.66E+07
71	1.89E+07
72	1.09E+07
73	7.19E+06
74	4.75E+06
75	4.36E+06
76	6.62E+06
77	5.21E+06
78	5.17E+06
79	5.59E+06
80	5.95E+06
81	9.54E+06
82	2.20E+07
83	2.55E+07
84	1.67E+07
85	8.52E+06
86	5.32E+06
87	4.07E+06
88	3.65E+06
89	3.36E+06
90	3.80E+06
91	2.79E+06
92	5.80E+06
93	1.60E+07
94	2.85E+07
95	2.13E+07
96	1.05E+07
97	6.89E+06
98	4.63E+06
99	3.64E+06
100	3.05E+06
101	3.14E+06
102	2.32E+06
103	2.78E+06
104	4.29E+06
105	7.32E+06
106	1.86E+07
107	2.10E+07
108	1.22E+07
109	6.57E+06
110	4.89E+06
111	4.25E+06
112	5.73E+06
113	5.72E+06
114	5.78E+06
115	4.54E+06
116	8.49E+06
117	1.61E+07
118	2.79E+07
119	2.93E+07
120	1.47E+07
121	6.53E+06
122	5.57E+06
123	4.69E+06
124	4.20E+06
125	4.17E+06
126	4.15E+06
127	3.39E+06
128	6.65E+06
129	1.30E+07
130	2.44E+07
131	1.64E+07
132	1.27E+07
133	7.24E+06
134	4.74E+06
135	4.60E+06
136	4.46E+06
137	4.89E+06
138	3.92E+06
139	4.89E+06
140	8.79E+06
141	1.34E+07
142	2.17E+07
143	1.73E+07
144	1.03E+07
145	6.45E+06
146	5.72E+06
147	5.73E+06
148	4.71E+06
149	4.81E+06
150	4.55E+06
151	4.11E+06
152	6.61E+06
153	1.02E+07
154	1.68E+07
155	1.64E+07
156	1.02E+07
157	6.67E+06
158	6.60E+06
159	7.41E+06
160	6.92E+06
161	9.50E+06
162	5.43E+06
163	5.33E+06
164	5.73E+06
165	1.34E+07
166	2.06E+07
167	2.35E+07
168	1.62E+07
169	8.38E+06
170	5.04E+06
171	4.42E+06
172	5.04E+06
173	5.86E+06
174	6.09E+06
175	6.23E+06
176	7.82E+06
177	2.45E+07
178	2.24E+07
179	2.87E+07
180	2.21E+07
181	9.20E+06
182	5.09E+06
183	4.94E+06
184	4.38E+06
185	4.13E+06
186	3.52E+06
187	3.32E+06
188	4.12E+06
189	6.90E+06
190	1.52E+07
191	1.70E+07
192	8.95E+06
193	6.42E+06
194	5.02E+06
195	4.59E+06
196	4.39E+06
197	3.48E+06
198	4.51E+06
199	4.77E+06
200	5.34E+06
201	6.94E+06
202	2.31E+07
203	2.49E+07
204	1.26E+07
205	6.43E+06
206	4.75E+06
207	4.52E+06
208	5.14E+06
209	5.33E+06
210	6.17E+06
211	4.49E+06
212	8.46E+06
213	1.62E+07
214	3.28E+07
215	2.76E+07
216	1.53E+07
217	7.87E+06
218	5.84E+06
219	5.04E+06
220	5.69E+06
221	8.99E+06
222	5.67E+06
223	6.62E+06
224	8.68E+06
225	1.35E+07
226	3.18E+07
227	2.51E+07
228	1.43E+07
229	7.35E+06
230	5.55E+06
231	8.15E+06
232	7.48E+06
233	6.43E+06
234	6.73E+06
235	5.53E+06
236	6.20E+06
237	1.27E+07
238	3.76E+07
239	4.60E+07
240	1.54E+07
241	1.00E+07
242	6.20E+06
243	5.46E+06
244	5.02E+06
245	4.40E+06
246	3.61E+06
247	5.59E+06
248	9.28E+06
249	1.59E+07
250	3.58E+07
251	2.09E+07
252	1.01E+07
253	6.90E+06
254	4.83E+06
255	4.37E+06
256	5.55E+06
257	6.03E+06
258	4.93E+06
259	6.44E+06
260	1.03E+07
261	1.35E+07
262	2.39E+07
263	4.01E+07
264	2.48E+07
265	9.93E+06
266	6.10E+06
267	6.79E+06
268	8.30E+06
269	9.26E+06
270	8.26E+06
271	1.06E+07
272	8.42E+06
273	1.71E+07
274	3.41E+07
275	2.58E+07
276	1.93E+07
277	8.78E+06
278	6.08E+06
279	7.84E+06
280	6.17E+06
281	6.21E+06
282	5.21E+06
283	6.09E+06
284	6.84E+06
285	2.05E+07
286	3.39E+07
287	2.46E+07
288	1.47E+07
289	7.79E+06
290	4.70E+06
291	4.08E+06
292	3.63E+06
293	3.74E+06
294	7.05E+06
295	7.21E+06
296	6.39E+06
297	8.98E+06
298	2.35E+07
299	3.35E+07
300	1.87E+07
301	8.65E+06
302	5.56E+06
303	5.21E+06
304	5.34E+06
305	5.77E+06
306	5.29E+06
307	6.34E+06
308	7.12E+06
309	1.09E+07
310	3.02E+07
311	3.08E+07
312	2.64E+07
313	1.15E+07
314	8.12E+06
315	5.69E+06
316	6.48E+06
317	5.55E+06
318	4.55E+06
319	4.09E+06
320	4.29E+06
321	7.75E+06
322	1.88E+07
323	3.43E+07
324	2.25E+07
325	9.10E+06
326	5.56E+06
327	6.02E+06
328	7.63E+06
329	9.53E+06
330	8.89E+06
331	5.47E+06
332	9.54E+06
333	2.19E+07
334	3.94E+07
335	3.74E+07
336	1.73E+07
337	8.42E+06
338	5.80E+06
339	6.03E+06
340	5.36E+06
341	6.22E+06
342	4.34E+06
343	5.34E+06
344	9.35E+06
345	1.22E+07
346	4.15E+07
347	2.74E+07
348	1.13E+07
349	6.65E+06
350	4.88E+06
351	4.98E+06
352	4.59E+06
353	4.87E+06
354	4.83E+06
355	7.90E+06
356	7.48E+06
357	1.35E+07
358	3.53E+07
359	2.64E+07
360	1.11E+07
361	6.95E+06
362	5.12E+06
363	5.55E+06
364	6.55E+06
365	7.54E+06
366	8.67E+06
367	5.98E+06
368	6.92E+06
369	1.34E+07
370	2.63E+07
371	3.62E+07
372	2.04E+07
373	8.63E+06
374	8.92E+06
375	9.93E+06
376	9.32E+06
377	7.45E+06
378	5.16E+06
379	5.66E+06
380	8.27E+06
381	1.67E+07
382	2.11E+07
383	2.80E+07
384	1.67E+07
385	7.79E+06
386	5.55E+06
387	4.99E+06
388	5.49E+06
389	4.22E+06
390	4.37E+06
391	8.67E+06
392	8.42E+06
393	1.07E+07
394	2.91E+07
395	3.75E+07
396	1.17E+07
397	7.14E+06
398	4.65E+06
399	5.20E+06
400	4.36E+06
401	4.31E+06
402	4.69E+06
403	5.46E+06
404	5.59E+06
405	1.63E+07
406	2.29E+07
407	2.76E+07
408	1.40E+07
409	8.46E+06
410	4.94E+06
411	6.07E+06
412	6.67E+06
413	7.45E+06
414	5.24E+06
415	8.92E+06
416	6.87E+06
417	1.06E+07
418	2.19E+07
419	2.59E+07
420	1.45E+07
421	7.68E+06
422	5.85E+06
423	4.65E+06
424	4.74E+06
425	4.35E+06
426	4.05E+06
427	3.71E+06
428	4.71E+06
429	9.48E+06
430	2.28E+07
431	4.08E+07
432	1.98E+07
433	8.99E+06
434	6.19E+06
435	6.47E+06
436	5.82E+06
437	1.02E+07
438	9.03E+06
439	9.37E+06
440	8.78E+06
441	1.77E+07
442	2.83E+07
443	3.44E+07
444	1.70E+07
445	1.04E+07
446	6.08E+06
447	6.18E+06
448	5.72E+06
449	4.82E+06
450	4.90E+06
451	3.94E+06
452	6.35E+06
453	1.23E+07
454	2.19E+07
455	2.38E+07
456	1.51E+07
457	7.52E+06
458	5.08E+06
459	4.48E+06
460	4.80E+06
461	5.83E+06
462	6.06E+06
463	5.79E+06
464	6.13E+06
465	7.55E+06
466	2.44E+07
467	4.27E+07
468	1.96E+07
469	8.40E+06
470	5.59E+06
471	5.59E+06
472	6.07E+06
473	5.17E+06
474	5.67E+06
475	7.78E+06
476	9.14E+06
477	7.17E+06
478	1.97E+07
479	2.78E+07
480	1.65E+07
481	8.77E+06
482	7.45E+06
483	6.95E+06
484	7.29E+06
485	6.29E+06
486	7.64E+06
487	5.12E+06
488	7.55E+06
489	2.16E+07
490	3.51E+07
491	2.91E+07
492	1.41E+07
493	6.73E+06
494	5.03E+06
495	5.46E+06
496	4.92E+06
497	4.45E+06
498	7.01E+06
499	6.54E+06
500	6.89E+06
501	7.20E+06
502	2.33E+07
503	3.13E+07
504	1.32E+07
505	6.93E+06
506	5.04E+06
507	4.59E+06
508	5.05E+06
509	5.32E+06
510	8.27E+06
511	1.01E+07
512	8.61E+06
513	1.44E+07
514	3.87E+07
515	3.77E+07
516	1.93E+07
517	1.03E+07
518	6.22E+06
519	5.43E+06
520	5.56E+06
521	4.93E+06
522	6.40E+06
523	7.07E+06
524	1.97E+07
525	1.37E+07
526	3.42E+07
527	4.75E+07
528	2.16E+07
529	1.10E+07
530	6.44E+06
531	6.09E+06
532	4.93E+06
533	5.24E+06
534	5.69E+06
535	3.96E+06
536	5.88E+06
537	6.76E+06
538	1.78E+07
539	1.79E+07
540	1.10E+07
541	6.34E+06
542	4.33E+06
543	4.68E+06
544	7.42E+06
545	8.92E+06
546	1.39E+07
547	8.59E+06
548	1.05E+07
549	1.98E+07
550	2.87E+07
551	4.99E+07
552	2.40E+07
553	1.05E+07
554	5.65E+06
555	4.75E+06
556	4.53E+06
557	4.53E+06
558	5.28E+06
559	4.68E+06
560	7.12E+06
561	8.50E+06
562	2.51E+07
563	3.69E+07
564	2.17E+07
565	8.93E+06
566	6.25E+06
567	6.83E+06
568	7.57E+06
569	1.10E+07
570	8.05E+06
571	6.13E+06
572	7.23E+06
573	1.56E+07
574	3.52E+07
575	2.68E+07
576	2.12E+07
577	1.46E+07
578	9.24E+06
579	5.31E+06
580	4.28E+06
581	3.63E+06
582	3.55E+06
583	3.34E+06
584	3.79E+06
585	6.13E+06
586	1.35E+07
587	1.44E+07
588	7.38E+06
589	6.43E+06
590	4.57E+06
591	3.89E+06
592	4.54E+06
593	8.84E+06
594	5.77E+06
595	5.30E+06
596	8.49E+06
597	1.45E+07
598	2.35E+07
599	2.72E+07
600	1.77E+07
601	8.15E+06
602	7.92E+06
603	5.85E+06
604	4.86E+06
605	3.72E+06
606	3.34E+06
607	4.68E+06
608	7.71E+06
609	8.98E+06
610	2.53E+07
611	1.94E+07
612	1.10E+07
613	6.19E+06
614	4.66E+06
615	3.73E+06
616	3.33E+06
617	4.59E+06
618	4.87E+06
619	4.64E+06
620	6.78E+06
621	1.32E+07
622	3.13E+07
623	2.32E+07
624	1.17E+07
625	6.24E+06
626	5.54E+06
627	5.16E+06
628	5.52E+06
629	8.70E+06
630	7.95E+06
631	7.79E+06
632	7.32E+06
633	9.98E+06
634	2.55E+07
635	2.68E+07
636	1.80E+07
637	9.96E+06
638	5.42E+06
639	5.29E+06
640	5.78E+06
641	6.20E+06
642	5.72E+06
643	1.18E+07
644	1.19E+07
645	1.32E+07
646	2.92E+07
647	3.88E+07
648	2.25E+07
649	1.04E+07
650	7.38E+06
651	6.75E+06
652	5.70E+06
653	6.12E+06
654	8.01E+06
655	8.66E+06
656	1.58E+07
657	1.43E+07
658	2.70E+07
659	2.87E+07
660	1.88E+07
661	1.01E+07
662	6.16E+06
663	5.34E+06
664	8.37E+06
665	5.95E+06
666	8.99E+06
667	7.27E+06
668	1.23E+07
669	1.61E+07
670	2.27E+07
671	3.49E+07
672	1.90E+07
673	9.43E+06
674	6.19E+06
675	5.80E+06
676	6.02E+06
677	5.02E+06
678	4.34E+06
679	4.09E+06
680	6.14E+06
681	1.49E+07
682	2.62E+07
683	2.20E+07
684	1.02E+07
685	5.90E+06
686	5.73E+06
687	6.01E+06
688	6.90E+06
689	4.50E+06
690	5.57E+06
691	9.72E+06
692	1.66E+07
693	1.59E+07
694	2.24E+07
695	2.85E+07
696	1.25E+07
697	6.86E+06
698	5.35E+06
699	5.37E+06
700	5.52E+06
701	4.83E+06
702	4.06E+06
703	4.52E+06
704	8.97E+06
705	1.11E+07
706	2.36E+07
707	1.55E+07
708	9.35E+06
709	5.83E+06
710	4.18E+06
711	3.20E+06
712	3.36E+06
713	3.75E+06
714	3.45E+06
715	3.46E+06
716	5.11E+06
717	1.25E+07
718	1.96E+07
719	1.94E+07
720	1.02E+07
721	5.85E+06
722	3.88E+06
723	4.66E+06
724	5.42E+06
725	4.38E+06
726	4.13E+06
727	3.58E+06
728	8.74E+06
729	1.60E+07
730	2.40E+07
731	2.34E+07
732	1.12E+07
733	7.62E+06
734	5.21E+06
735	4.55E+06
736	7.27E+06
737	6.25E+06
738	6.13E+06
739	4.76E+06
740	6.67E+06
741	1.63E+07
742	2.00E+07
743	3.02E+07
744	1.71E+07
745	8.69E+06
746	5.04E+06
747	4.89E+06
748	9.47E+06
749	6.89E+06
750	6.25E+06
751	7.63E+06
752	7.58E+06
753	1.22E+07
754	2.71E+07
755	2.88E+07
756	2.11E+07
757	1.01E+07
758	5.41E+06
759	4.13E+06
760	4.69E+06
761	4.80E+06
762	4.28E+06
763	5.47E+06
764	7.67E+06
765	1.01E+07
766	1.90E+07
767	1.54E+07
768	9.25E+06
769	5.38E+06
770	3.78E+06
771	4.35E+06
772	4.40E+06
773	3.72E+06
774	3.83E+06
775	3.43E+06
776	8.51E+06
777	1.19E+07
778	2.91E+07
779	1.93E+07
780	1.23E+07
781	8.24E+06
782	5.24E+06
783	4.32E+06
784	3.66E+06
785	4.02E+06
786	4.29E+06
787	3.08E+06
788	6.01E+06
789	1.32E+07
790	2.06E+07
791	1.63E+07
792	1.05E+07
793	5.62E+06
794	3.62E+06
795	3.43E+06
796	3.57E+06
797	4.21E+06
798	5.50E+06
799	9.68E+06
800	1.10E+07
801	1.03E+07
802	2.39E+07
803	2.90E+07
804	1.50E+07
805	7.70E+06
806	5.24E+06
807	6.36E+06
808	9.97E+06
809	1.49E+07
810	9.26E+06
811	1.51E+07
812	1.20E+07
813	2.00E+07
814	2.63E+07
815	3.40E+07
816	2.00E+07
817	8.72E+06
818	5.42E+06
819	5.02E+06
820	5.45E+06
821	6.76E+06
822	1.18E+07
823	9.55E+06
824	1.40E+07
825	1.89E+07
826	4.10E+07
827	4.18E+07
828	1.99E+07
829	9.53E+06
830	7.57E+06
831	8.99E+06
832	7.59E+06
833	5.90E+06
834	6.03E+06
835	6.25E+06
836	9.04E+06
837	1.23E+07
838	3.33E+07
839	2.38E+07
840	1.37E+07
841	7.09E+06
842	4.99E+06
843	4.22E+06
844	5.12E+06
845	6.53E+06
846	8.08E+06
847	6.52E+06
848	1.19E+07
849	1.48E+07
850	2.54E+07
851	3.62E+07
852	2.16E+07
853	1.23E+07
854	5.78E+06
