week	PELFlood
1	558270
2	558270
3	558270
4	558270
5	558270
6	558270
7	558270
8	557970
9	557670
10	557370
11	557070
12	556770
13	556470
14	556170
15	555870
16	555570
17	555270
18	554970
19	554670
20	554370
21	551179
22	547988
23	544797
24	541606
25	538415
26	535225
27	532034
28	528843
29	525652
30	522461
31	519270
32	528045
33	536820
34	545595
35	554370
36	555345
37	556320
38	557295
39	558270
40	558270
41	558270
42	558270
43	558270
44	558270
45	558270
46	558270
47	558270
48	558270
49	558270
50	558270
51	558270
52	558270
